Scenario,Entry_Year,Nationality,EB_Category,Total_Created,Aged_Out,Saved,Exited,Still_Dependent,AgeOut_Pct,Save_Pct,Exit_Pct
Capped,2059,India,EB-5,759,0,0,37,722,0.00,0.00,4.87
Capped,2059,Other,EB-1,8270,0,8270,0,0,0.00,100.00,0.00
Capped,2059,Other,EB-2,13100,34,0,1590,11476,0.26,0.00,12.14
Capped,2059,Other,EB-3,17000,29,0,2554,14417,0.17,0.00,15.02
Capped,2059,Other,EB-4,11127,85,0,2625,8417,0.76,0.00,23.59
Capped,2059,Other,EB-5,1286,0,1286,0,0,0.00,100.00,0.00
Capped,2060,China,EB-1,1818,0,0,93,1725,0.00,0.00,5.12
Capped,2060,China,EB-2,2625,0,0,173,2452,0.00,0.00,6.59
Capped,2060,China,EB-3,2297,0,0,210,2087,0.00,0.00,9.14
Capped,2060,China,EB-4,58,0,58,0,0,0.00,100.00,0.00
Capped,2060,China,EB-5,1586,0,0,81,1505,0.00,0.00,5.11
Capped,2060,India,EB-1,4651,0,0,169,4482,0.00,0.00,3.63
Capped,2060,India,EB-2,18543,0,0,771,17772,0.00,0.00,4.16
Capped,2060,India,EB-3,4764,0,0,294,4470,0.00,0.00,6.17
Capped,2060,India,EB-4,959,2,0,120,837,0.21,0.00,12.51
Capped,2060,India,EB-5,697,0,0,31,666,0.00,0.00,4.45
Capped,2060,Other,EB-1,8086,0,8086,0,0,0.00,100.00,0.00
Capped,2060,Other,EB-2,12997,12,0,1086,11899,0.09,0.00,8.36
Capped,2060,Other,EB-3,17211,0,0,1730,15481,0.00,0.00,10.05
Capped,2060,Other,EB-4,11177,21,0,1811,9345,0.19,0.00,16.20
Capped,2060,Other,EB-5,1341,0,1341,0,0,0.00,100.00,0.00
Capped,2061,China,EB-1,1829,0,0,41,1788,0.00,0.00,2.24
Capped,2061,China,EB-2,2575,0,0,73,2502,0.00,0.00,2.83
Capped,2061,China,EB-3,2327,0,0,108,2219,0.00,0.00,4.64
Capped,2061,China,EB-4,55,0,55,0,0,0.00,100.00,0.00
Capped,2061,China,EB-5,1636,0,0,38,1598,0.00,0.00,2.32
Capped,2061,India,EB-1,4699,0,0,85,4614,0.00,0.00,1.81
Capped,2061,India,EB-2,18374,0,0,395,17979,0.00,0.00,2.15
Capped,2061,India,EB-3,4633,0,0,128,4505,0.00,0.00,2.76
Capped,2061,India,EB-4,907,0,0,31,876,0.00,0.00,3.42
Capped,2061,India,EB-5,662,0,0,16,646,0.00,0.00,2.42
Capped,2061,Other,EB-1,8168,0,8168,0,0,0.00,100.00,0.00
Capped,2061,Other,EB-2,12936,0,0,550,12386,0.00,0.00,4.25
Capped,2061,Other,EB-3,17158,0,0,876,16282,0.00,0.00,5.11
Capped,2061,Other,EB-4,11202,0,0,893,10309,0.00,0.00,7.97
Capped,2061,Other,EB-5,1288,0,1288,0,0,0.00,100.00,0.00
