metric,mean,lo_p025,hi_p975
AgeOuts_EB1_2009_2040_Uncapped,475.2,438.2,515.4
AgeOuts_EB1_2009_2040_Capped,1851.5,1766.5,1929.6
AgeOuts_EB1_2009_2040_Cap_minus_Unc,1376.3,1287.2,1454.1
AgeOuts_EB1_2025_2040_Uncapped,473.3,436.0,512.1
AgeOuts_EB1_2025_2040_Capped,1849.6,1765.0,1928.3
AgeOuts_EB1_2025_2040_Cap_minus_Unc,1376.3,1287.2,1454.1
AgeOuts_EB2_2009_2040_Uncapped,87599.6,87033.1,88222.8
AgeOuts_EB2_2009_2040_Capped,114073.8,113233.6,114589.1
AgeOuts_EB2_2009_2040_Cap_minus_Unc,26474.2,25897.5,27123.1
AgeOuts_EB2_2025_2040_Uncapped,81792.8,81222.4,82449.8
AgeOuts_EB2_2025_2040_Capped,108267.0,107494.8,108831.7
AgeOuts_EB2_2025_2040_Cap_minus_Unc,26474.2,25897.5,27123.1
AgeOuts_EB3_2009_2040_Uncapped,38773.4,38416.9,39254.0
AgeOuts_EB3_2009_2040_Capped,52536.0,52078.8,53160.0
AgeOuts_EB3_2009_2040_Cap_minus_Unc,13762.6,13333.0,14261.1
AgeOuts_EB3_2025_2040_Uncapped,30432.6,30088.9,30879.2
AgeOuts_EB3_2025_2040_Capped,44195.2,43782.3,44749.8
AgeOuts_EB3_2025_2040_Cap_minus_Unc,13762.6,13333.0,14261.1
AgeOuts_EB4_2009_2040_Uncapped,39837.2,39358.2,40360.8
AgeOuts_EB4_2009_2040_Capped,39619.8,39149.8,39993.2
AgeOuts_EB4_2009_2040_Cap_minus_Unc,-217.4,-637.5,184.8
AgeOuts_EB4_2025_2040_Uncapped,34597.1,34237.5,35023.5
AgeOuts_EB4_2025_2040_Capped,34379.7,33990.0,34717.8
AgeOuts_EB4_2025_2040_Cap_minus_Unc,-217.4,-637.5,184.8
AgeOuts_EB5_2009_2040_Uncapped,238.9,204.7,281.9
AgeOuts_EB5_2009_2040_Capped,429.1,381.8,480.9
AgeOuts_EB5_2009_2040_Cap_minus_Unc,190.2,158.0,228.1
AgeOuts_EB5_2025_2040_Uncapped,120.6,98.4,140.8
AgeOuts_EB5_2025_2040_Capped,310.8,282.0,359.0
AgeOuts_EB5_2025_2040_Cap_minus_Unc,190.2,158.0,228.1
