run_index,seed,final_cumul_aged_out_unc,final_cumul_exited_unc,final_cumul_visas_unc,final_cumul_conversions_unc,final_backlog_total_unc,final_aged_out_India_unc,final_exited_India_unc,final_backlog_India_unc,final_ageout_pct_India_unc,final_aged_out_China_unc,final_exited_China_unc,final_backlog_China_unc,final_ageout_pct_China_unc,final_aged_out_Other_unc,final_exited_Other_unc,final_backlog_Other_unc,final_ageout_pct_Other_unc,final_aged_out_EB1_unc,final_exited_EB1_unc,final_aged_out_EB2_unc,final_exited_EB2_unc,final_aged_out_EB3_unc,final_exited_EB3_unc,final_aged_out_EB4_unc,final_exited_EB4_unc,final_aged_out_EB5_unc,final_exited_EB5_unc,final_cumul_aged_out_cap,final_cumul_exited_cap,final_cumul_visas_cap,final_cumul_conversions_cap,final_backlog_total_cap,final_aged_out_India_cap,final_exited_India_cap,final_backlog_India_cap,final_ageout_pct_India_cap,final_aged_out_China_cap,final_exited_China_cap,final_backlog_China_cap,final_ageout_pct_China_cap,final_aged_out_Other_cap,final_exited_Other_cap,final_backlog_Other_cap,final_ageout_pct_Other_cap,final_aged_out_EB1_cap,final_exited_EB1_cap,final_aged_out_EB2_cap,final_exited_EB2_cap,final_aged_out_EB3_cap,final_exited_EB3_cap,final_aged_out_EB4_cap,final_exited_EB4_cap,final_aged_out_EB5_cap,final_exited_EB5_cap,diff_aged_out_India,diff_exited_India,diff_backlog_India,diff_ageout_pct_India,diff_aged_out_China,diff_exited_China,diff_backlog_China,diff_ageout_pct_China,diff_aged_out_Other,diff_exited_Other,diff_backlog_Other,diff_ageout_pct_Other,diff_aged_out_EB1,diff_exited_EB1,diff_aged_out_EB2,diff_exited_EB2,diff_aged_out_EB3,diff_exited_EB3,diff_aged_out_EB4,diff_exited_EB4,diff_aged_out_EB5,diff_exited_EB5,diff_backlog_total,diff_cumul_aged_out
15,15,166922.0,1624991.0,5249356.0,2439853.0,2468578.0,65988.0,22128.0,649768.0,39.532236613508104,13005.0,9303.0,245841.0,7.791064089814404,87929.0,76022.0,1572969.0,52.67669929667749,485.0,3175.0,87263.0,36913.0,38469.0,23411.0,40484.0,43346.0,221.0,608.0,208185.0,1696795.0,5249356.0,2437233.0,2399394.0,148076.0,47139.0,850862.0,71.127122511228,16159.0,11938.0,296582.0,7.761846434661479,43950.0,57969.0,1251950.0,21.111031054110526,1828.0,2780.0,113169.0,44298.0,52327.0,26256.0,40456.0,43142.0,405.0,570.0,82088.0,25011.0,201094.0,31.59488589771989,3154.0,2635.0,50741.0,-0.029217655152925737,-43979.0,-18053.0,-321019.0,-31.565668242566964,1343.0,-395.0,25906.0,7385.0,13858.0,2845.0,-28.0,-204.0,184.0,-38.0,-69184.0,41263.0
16,16,166849.0,1625428.0,5249356.0,2440645.0,2467349.0,66547.0,21909.0,649696.0,39.88456628448478,13085.0,9477.0,246119.0,7.842420392091053,87217.0,75930.0,1571534.0,52.27301332342417,475.0,3059.0,87554.0,36972.0,38652.0,23384.0,39934.0,43304.0,234.0,597.0,208686.0,1695631.0,5249356.0,2438100.0,2399691.0,149257.0,47560.0,851866.0,71.52228707244377,16210.0,11663.0,297272.0,7.767650920521741,43219.0,57665.0,1250553.0,20.71006200703449,1831.0,2810.0,114277.0,44334.0,52427.0,25970.0,39717.0,43214.0,434.0,560.0,82710.0,25651.0,202170.0,31.637720787958997,3125.0,2186.0,51153.0,-0.07476947156931146,-43998.0,-18265.0,-320981.0,-31.562951316389682,1356.0,-249.0,26723.0,7362.0,13775.0,2586.0,-217.0,-90.0,200.0,-37.0,-67658.0,41837.0
17,17,167301.0,1624744.0,5249356.0,2440604.0,2468074.0,66303.0,22030.0,648741.0,39.630964548926784,13384.0,9605.0,246048.0,7.999952181995326,87614.0,76187.0,1573285.0,52.36908326907789,456.0,3054.0,87774.0,37127.0,38876.0,23664.0,39988.0,43369.0,207.0,608.0,208317.0,1696437.0,5249356.0,2438069.0,2398916.0,148633.0,47287.0,850510.0,71.34943379560957,16513.0,12001.0,297861.0,7.92686146593893,43171.0,57838.0,1250545.0,20.723704738451495,1840.0,2858.0,114109.0,44345.0,52302.0,26082.0,39678.0,43259.0,388.0,582.0,82330.0,25257.0,201769.0,31.718469246682787,3129.0,2396.0,51813.0,-0.07309071605639605,-44443.0,-18349.0,-322740.0,-31.645378530626395,1384.0,-196.0,26335.0,7218.0,13426.0,2418.0,-310.0,-110.0,181.0,-26.0,-69158.0,41016.0
18,18,166379.0,1626946.0,5249356.0,2440537.0,2465939.0,66243.0,21798.0,648446.0,39.81451986128057,13267.0,9394.0,245924.0,7.973963060241978,86869.0,75733.0,1571569.0,52.21151707847745,477.0,3029.0,87250.0,36777.0,38444.0,23392.0,39952.0,43117.0,256.0,610.0,208080.0,1698070.0,5249356.0,2437283.0,2398069.0,148743.0,47151.0,850463.0,71.48356401384083,16292.0,11769.0,297826.0,7.829680891964629,43045.0,57836.0,1249780.0,20.68675509419454,1775.0,2827.0,114164.0,44410.0,52342.0,25822.0,39359.0,43101.0,440.0,596.0,82500.0,25353.0,202017.0,31.66904415256026,3025.0,2375.0,51902.0,-0.14428216827734897,-43824.0,-17897.0,-321789.0,-31.524761984282907,1298.0,-202.0,26914.0,7633.0,13898.0,2430.0,-593.0,-16.0,184.0,-14.0,-67870.0,41701.0
19,19,167067.0,1625985.0,5249356.0,2439959.0,2467478.0,66286.0,22200.0,649935.0,39.676297533324956,13437.0,9510.0,246163.0,8.042880999838388,87344.0,76042.0,1571380.0,52.280821466836656,478.0,3092.0,87720.0,37149.0,38795.0,23618.0,39834.0,43294.0,240.0,599.0,208223.0,1697472.0,5249356.0,2436716.0,2399234.0,149186.0,47583.0,851549.0,71.64722437002636,16372.0,11951.0,297246.0,7.862724098682662,42665.0,57888.0,1250439.0,20.490051531290973,1847.0,2835.0,114143.0,44814.0,52600.0,26051.0,39194.0,43155.0,439.0,567.0,82900.0,25383.0,201614.0,31.97092683670141,2935.0,2441.0,51083.0,-0.18015690115572625,-44679.0,-18154.0,-320941.0,-31.790769935545683,1369.0,-257.0,26423.0,7665.0,13805.0,2433.0,-640.0,-139.0,199.0,-32.0,-68244.0,41156.0
20,20,167635.0,1623966.0,5249356.0,2440004.0,2469452.0,66359.0,22404.0,649028.0,39.58540877501715,13433.0,9290.0,246916.0,8.013243057833984,87843.0,75898.0,1573508.0,52.40134816714887,474.0,3141.0,87889.0,37197.0,39018.0,23597.0,40012.0,43084.0,242.0,573.0,209159.0,1695810.0,5249356.0,2436072.0,2401540.0,149015.0,47224.0,851446.0,71.24484244044005,16496.0,11925.0,298083.0,7.88682294331107,43648.0,57918.0,1252011.0,20.868334616248884,1914.0,2769.0,114208.0,44289.0,52719.0,26213.0,39918.0,43240.0,400.0,556.0,82656.0,24820.0,202418.0,31.659433665422902,3063.0,2635.0,51167.0,-0.12642011452291424,-44195.0,-17980.0,-321497.0,-31.533013550899984,1440.0,-372.0,26319.0,7092.0,13701.0,2616.0,-94.0,156.0,158.0,-17.0,-67912.0,41524.0
21,21,166511.0,1625197.0,5249356.0,2438758.0,2469467.0,66075.0,21981.0,650185.0,39.682063046885794,13243.0,9369.0,246259.0,7.95322831524644,87193.0,76259.0,1573023.0,52.36470863786777,517.0,3080.0,87165.0,36769.0,38548.0,23644.0,40036.0,43523.0,245.0,593.0,208383.0,1696892.0,5249356.0,2436243.0,2400287.0,149107.0,47414.0,852484.0,71.55430145453325,16394.0,11911.0,297286.0,7.867244448923377,42882.0,57666.0,1250517.0,20.578454096543386,1883.0,2742.0,114300.0,44309.0,52381.0,26035.0,39407.0,43305.0,412.0,600.0,83032.0,25433.0,202299.0,31.87223840764745,3151.0,2542.0,51027.0,-0.08598386632306276,-44311.0,-18593.0,-322506.0,-31.786254541324386,1366.0,-338.0,27135.0,7540.0,13833.0,2391.0,-629.0,-218.0,167.0,7.0,-69180.0,41872.0
22,22,167120.0,1624611.0,5249356.0,2440053.0,2468758.0,66496.0,22039.0,649835.0,39.7893729056965,13145.0,9337.0,245512.0,7.865605552896122,87479.0,75963.0,1573411.0,52.34502154140737,479.0,3042.0,87585.0,36893.0,38818.0,23402.0,40034.0,43353.0,204.0,649.0,208808.0,1697708.0,5249356.0,2437649.0,2398065.0,149331.0,47443.0,851458.0,71.51593808666334,16217.0,11975.0,297213.0,7.76646488640282,43260.0,57742.0,1249394.0,20.717597026933834,1930.0,2805.0,114214.0,44542.0,52552.0,25868.0,39706.0,43356.0,406.0,589.0,82835.0,25404.0,201623.0,31.726565180966837,3072.0,2638.0,51701.0,-0.09914066649330255,-44219.0,-18221.0,-324017.0,-31.627424514473535,1451.0,-237.0,26629.0,7649.0,13734.0,2466.0,-328.0,3.0,202.0,-60.0,-70693.0,41688.0
23,23,166586.0,1625792.0,5249356.0,2439299.0,2468331.0,66250.0,21875.0,649639.0,39.769248316185035,13338.0,9556.0,247349.0,8.006675230811712,86998.0,76196.0,1571343.0,52.224076453003256,493.0,3007.0,87808.0,36883.0,38704.0,23696.0,39328.0,43439.0,253.0,602.0,208031.0,1696802.0,5249356.0,2437092.0,2399528.0,148853.0,47705.0,851100.0,71.55327811720369,16454.0,11989.0,298175.0,7.909398118549639,42724.0,57970.0,1250253.0,20.537323764246675,1816.0,2983.0,114601.0,44508.0,52075.0,26095.0,39108.0,43499.0,431.0,579.0,82603.0,25830.0,201461.0,31.784029801018654,3116.0,2433.0,50826.0,-0.09727711226207347,-44274.0,-18226.0,-321090.0,-31.68675268875658,1323.0,-24.0,26793.0,7625.0,13371.0,2399.0,-220.0,60.0,178.0,-23.0,-68803.0,41445.0
24,24,167637.0,1624938.0,5249356.0,2439890.0,2468594.0,66642.0,21953.0,650228.0,39.753753646271406,13218.0,9509.0,246641.0,7.884894146280356,87777.0,75946.0,1571725.0,52.361352207448235,459.0,3040.0,87844.0,36844.0,39040.0,23405.0,40002.0,43479.0,292.0,640.0,209369.0,1695843.0,5249356.0,2437614.0,2399965.0,149675.0,47469.0,851709.0,71.488615793169,16265.0,11724.0,297998.0,7.768580830973066,43429.0,57846.0,1250258.0,20.742803375857935,1737.0,2679.0,114278.0,44347.0,53081.0,26064.0,39752.0,43368.0,521.0,581.0,83033.0,25516.0,201481.0,31.734862146897598,3047.0,2215.0,51357.0,-0.1163133153072895,-44348.0,-18100.0,-321467.0,-31.6185488315903,1278.0,-361.0,26434.0,7503.0,14041.0,2659.0,-250.0,-111.0,229.0,-59.0,-68629.0,41732.0
25,25,166071.0,1626210.0,5249356.0,2440068.0,2467144.0,65975.0,22120.0,649143.0,39.726984241679766,13059.0,9476.0,246397.0,7.863504163881713,87037.0,75811.0,1571604.0,52.40951159443852,473.0,2981.0,87116.0,37102.0,38093.0,23701.0,40126.0,43053.0,263.0,570.0,208333.0,1696192.0,5249356.0,2438386.0,2398844.0,148823.0,46971.0,851442.0,71.43515429624688,15969.0,11990.0,297668.0,7.665132264211623,43541.0,57765.0,1249734.0,20.899713439541504,1852.0,2823.0,114090.0,44232.0,51934.0,25798.0,40015.0,43299.0,442.0,574.0,82848.0,24851.0,202299.0,31.708170054567113,2910.0,2514.0,51271.0,-0.19837189967009028,-43496.0,-18046.0,-321870.0,-31.509798154897016,1379.0,-158.0,26974.0,7130.0,13841.0,2097.0,-111.0,246.0,179.0,4.0,-68300.0,42262.0
