dimension,group,difference_backlog_start_2025,difference_new_principal_records,difference_principal_conversions,difference_principal_exits,difference_backlog_end_2040,accounting_residual,case,role,seed
joint,EB-4 / ROW,0,0,-9192,1281,7911,0,catchall_60_65,primary,2016
joint,EB-5 / India,0,0,-2119,193,1926,0,catchall_60_65,primary,2016
joint,EB-5 / China,0,0,-6664,1235,5429,0,catchall_60_65,primary,2016
joint,EB-5 / ROW,0,0,8293,-1025,-7268,0,catchall_60_65,primary,2016
overall,All,0,0,-3600,21094,-17494,0,catchall_60_65,primary,2017
nationality,India,0,0,-475704,148108,327596,0,catchall_60_65,primary,2017
nationality,China,0,0,-64165,9089,55076,0,catchall_60_65,primary,2017
nationality,ROW,0,0,536269,-136103,-400166,0,catchall_60_65,primary,2017
category,EB-1,0,0,-3444,-744,4188,0,catchall_60_65,primary,2017
category,EB-2,0,0,-8397,26799,-18402,0,catchall_60_65,primary,2017
category,EB-3,0,0,11108,-5514,-5594,0,catchall_60_65,primary,2017
category,EB-4,0,0,-2401,92,2309,0,catchall_60_65,primary,2017
category,EB-5,0,0,-466,461,5,0,catchall_60_65,primary,2017
joint,EB-1 / India,0,0,-40062,3832,36230,0,catchall_60_65,primary,2017
joint,EB-1 / China,0,0,-28693,3840,24853,0,catchall_60_65,primary,2017
joint,EB-1 / ROW,0,0,65311,-8416,-56895,0,catchall_60_65,primary,2017
joint,EB-2 / India,0,0,-280412,93307,187105,0,catchall_60_65,primary,2017
joint,EB-2 / China,0,0,-13733,773,12960,0,catchall_60_65,primary,2017
joint,EB-2 / ROW,0,0,285748,-67281,-218467,0,catchall_60_65,primary,2017
joint,EB-3 / India,0,0,-156743,51986,104757,0,catchall_60_65,primary,2017
joint,EB-3 / China,0,0,-18534,4281,14253,0,catchall_60_65,primary,2017
joint,EB-3 / ROW,0,0,186385,-61781,-124604,0,catchall_60_65,primary,2017
joint,EB-4 / India,0,0,3616,-1216,-2400,0,catchall_60_65,primary,2017
joint,EB-4 / China,0,0,3371,-1083,-2288,0,catchall_60_65,primary,2017
joint,EB-4 / ROW,0,0,-9388,2391,6997,0,catchall_60_65,primary,2017
joint,EB-5 / India,0,0,-2103,199,1904,0,catchall_60_65,primary,2017
joint,EB-5 / China,0,0,-6576,1278,5298,0,catchall_60_65,primary,2017
joint,EB-5 / ROW,0,0,8213,-1016,-7197,0,catchall_60_65,primary,2017
overall,All,0,0,-3696,21700,-18004,0,catchall_60_65,primary,2018
nationality,India,0,0,-475946,149099,326847,0,catchall_60_65,primary,2018
nationality,China,0,0,-63745,9158,54587,0,catchall_60_65,primary,2018
nationality,ROW,0,0,535995,-136557,-399438,0,catchall_60_65,primary,2018
category,EB-1,0,0,-3300,-720,4020,0,catchall_60_65,primary,2018
category,EB-2,0,0,-8290,27593,-19303,0,catchall_60_65,primary,2018
category,EB-3,0,0,10781,-5036,-5745,0,catchall_60_65,primary,2018
category,EB-4,0,0,-2375,-636,3011,0,catchall_60_65,primary,2018
category,EB-5,0,0,-512,499,13,0,catchall_60_65,primary,2018
joint,EB-1 / India,0,0,-39639,3842,35797,0,catchall_60_65,primary,2018
joint,EB-1 / China,0,0,-28799,3924,24875,0,catchall_60_65,primary,2018
joint,EB-1 / ROW,0,0,65138,-8486,-56652,0,catchall_60_65,primary,2018
joint,EB-2 / India,0,0,-280868,93962,186906,0,catchall_60_65,primary,2018
joint,EB-2 / China,0,0,-13337,901,12436,0,catchall_60_65,primary,2018
joint,EB-2 / ROW,0,0,285915,-67270,-218645,0,catchall_60_65,primary,2018
joint,EB-3 / India,0,0,-156721,52235,104486,0,catchall_60_65,primary,2018
joint,EB-3 / China,0,0,-18517,4250,14267,0,catchall_60_65,primary,2018
joint,EB-3 / ROW,0,0,186019,-61521,-124498,0,catchall_60_65,primary,2018
joint,EB-4 / India,0,0,3480,-1229,-2251,0,catchall_60_65,primary,2018
joint,EB-4 / China,0,0,3351,-1076,-2275,0,catchall_60_65,primary,2018
joint,EB-4 / ROW,0,0,-9206,1669,7537,0,catchall_60_65,primary,2018
joint,EB-5 / India,0,0,-2198,289,1909,0,catchall_60_65,primary,2018
joint,EB-5 / China,0,0,-6443,1159,5284,0,catchall_60_65,primary,2018
joint,EB-5 / ROW,0,0,8129,-949,-7180,0,catchall_60_65,primary,2018
overall,All,0,0,-5006,21370,-16364,0,catchall_60_65,primary,2019
nationality,India,0,0,-475994,148235,327759,0,catchall_60_65,primary,2019
nationality,China,0,0,-63894,9101,54793,0,catchall_60_65,primary,2019
nationality,ROW,0,0,534882,-135966,-398916,0,catchall_60_65,primary,2019
category,EB-1,0,0,-3547,-730,4277,0,catchall_60_65,primary,2019
category,EB-2,0,0,-9259,26452,-17193,0,catchall_60_65,primary,2019
category,EB-3,0,0,10829,-4377,-6452,0,catchall_60_65,primary,2019
category,EB-4,0,0,-2514,-413,2927,0,catchall_60_65,primary,2019
category,EB-5,0,0,-515,438,77,0,catchall_60_65,primary,2019
joint,EB-1 / India,0,0,-39358,3654,35704,0,catchall_60_65,primary,2019
joint,EB-1 / China,0,0,-28849,3968,24881,0,catchall_60_65,primary,2019
joint,EB-1 / ROW,0,0,64660,-8352,-56308,0,catchall_60_65,primary,2019
joint,EB-2 / India,0,0,-280741,92996,187745,0,catchall_60_65,primary,2019
joint,EB-2 / China,0,0,-13688,711,12977,0,catchall_60_65,primary,2019
joint,EB-2 / ROW,0,0,285170,-67255,-217915,0,catchall_60_65,primary,2019
joint,EB-3 / India,0,0,-157108,52458,104650,0,catchall_60_65,primary,2019
joint,EB-3 / China,0,0,-18256,4315,13941,0,catchall_60_65,primary,2019
joint,EB-3 / ROW,0,0,186193,-61150,-125043,0,catchall_60_65,primary,2019
joint,EB-4 / India,0,0,3467,-1140,-2327,0,catchall_60_65,primary,2019
joint,EB-4 / China,0,0,3405,-1106,-2299,0,catchall_60_65,primary,2019
joint,EB-4 / ROW,0,0,-9386,1833,7553,0,catchall_60_65,primary,2019
joint,EB-5 / India,0,0,-2254,267,1987,0,catchall_60_65,primary,2019
joint,EB-5 / China,0,0,-6506,1213,5293,0,catchall_60_65,primary,2019
joint,EB-5 / ROW,0,0,8245,-1042,-7203,0,catchall_60_65,primary,2019
overall,All,0,0,-3227,22133,-18906,0,catchall_60_65,primary,2020
nationality,India,0,0,-475121,147695,327426,0,catchall_60_65,primary,2020
nationality,China,0,0,-63581,9177,54404,0,catchall_60_65,primary,2020
nationality,ROW,0,0,535475,-134739,-400736,0,catchall_60_65,primary,2020
category,EB-1,0,0,-3223,-689,3912,0,catchall_60_65,primary,2020
category,EB-2,0,0,-8054,26199,-18145,0,catchall_60_65,primary,2020
category,EB-3,0,0,10662,-4622,-6040,0,catchall_60_65,primary,2020
category,EB-4,0,0,-2052,841,1211,0,catchall_60_65,primary,2020
category,EB-5,0,0,-560,404,156,0,catchall_60_65,primary,2020
joint,EB-1 / India,0,0,-39480,3818,35662,0,catchall_60_65,primary,2020
joint,EB-1 / China,0,0,-28488,3786,24702,0,catchall_60_65,primary,2020
joint,EB-1 / ROW,0,0,64745,-8293,-56452,0,catchall_60_65,primary,2020
joint,EB-2 / India,0,0,-280528,92906,187622,0,catchall_60_65,primary,2020
joint,EB-2 / China,0,0,-13469,720,12749,0,catchall_60_65,primary,2020
joint,EB-2 / ROW,0,0,285943,-67427,-218516,0,catchall_60_65,primary,2020
joint,EB-3 / India,0,0,-156534,51948,104586,0,catchall_60_65,primary,2020
joint,EB-3 / China,0,0,-18432,4592,13840,0,catchall_60_65,primary,2020
joint,EB-3 / ROW,0,0,185628,-61162,-124466,0,catchall_60_65,primary,2020
joint,EB-4 / India,0,0,3504,-1178,-2326,0,catchall_60_65,primary,2020
joint,EB-4 / China,0,0,3451,-1106,-2345,0,catchall_60_65,primary,2020
joint,EB-4 / ROW,0,0,-9007,3125,5882,0,catchall_60_65,primary,2020
joint,EB-5 / India,0,0,-2083,201,1882,0,catchall_60_65,primary,2020
joint,EB-5 / China,0,0,-6643,1185,5458,0,catchall_60_65,primary,2020
joint,EB-5 / ROW,0,0,8166,-982,-7184,0,catchall_60_65,primary,2020
overall,All,0,0,-3596,21205,-17609,0,catchall_60_65,primary,2021
nationality,India,0,0,-475267,148293,326974,0,catchall_60_65,primary,2021
nationality,China,0,0,-64118,8687,55431,0,catchall_60_65,primary,2021
nationality,ROW,0,0,535789,-135775,-400014,0,catchall_60_65,primary,2021
category,EB-1,0,0,-3343,-642,3985,0,catchall_60_65,primary,2021
category,EB-2,0,0,-8705,27422,-18717,0,catchall_60_65,primary,2021
category,EB-3,0,0,11172,-5513,-5659,0,catchall_60_65,primary,2021
category,EB-4,0,0,-2164,-355,2519,0,catchall_60_65,primary,2021
category,EB-5,0,0,-556,293,263,0,catchall_60_65,primary,2021
joint,EB-1 / India,0,0,-39693,3875,35818,0,catchall_60_65,primary,2021
joint,EB-1 / China,0,0,-28553,3871,24682,0,catchall_60_65,primary,2021
joint,EB-1 / ROW,0,0,64903,-8388,-56515,0,catchall_60_65,primary,2021
joint,EB-2 / India,0,0,-280005,93565,186440,0,catchall_60_65,primary,2021
joint,EB-2 / China,0,0,-14045,719,13326,0,catchall_60_65,primary,2021
joint,EB-2 / ROW,0,0,285345,-66862,-218483,0,catchall_60_65,primary,2021
joint,EB-3 / India,0,0,-156872,51825,105047,0,catchall_60_65,primary,2021
joint,EB-3 / China,0,0,-18173,4094,14079,0,catchall_60_65,primary,2021
joint,EB-3 / ROW,0,0,186217,-61432,-124785,0,catchall_60_65,primary,2021
joint,EB-4 / India,0,0,3488,-1163,-2325,0,catchall_60_65,primary,2021
joint,EB-4 / China,0,0,3378,-1111,-2267,0,catchall_60_65,primary,2021
joint,EB-4 / ROW,0,0,-9030,1919,7111,0,catchall_60_65,primary,2021
joint,EB-5 / India,0,0,-2185,191,1994,0,catchall_60_65,primary,2021
joint,EB-5 / China,0,0,-6725,1114,5611,0,catchall_60_65,primary,2021
joint,EB-5 / ROW,0,0,8354,-1012,-7342,0,catchall_60_65,primary,2021
overall,All,0,0,-3244,20225,-16981,0,catchall_60_65,primary,2022
nationality,India,0,0,-474509,147763,326746,0,catchall_60_65,primary,2022
nationality,China,0,0,-64171,9470,54701,0,catchall_60_65,primary,2022
nationality,ROW,0,0,535436,-137008,-398428,0,catchall_60_65,primary,2022
category,EB-1,0,0,-3265,-768,4033,0,catchall_60_65,primary,2022
category,EB-2,0,0,-8316,26699,-18383,0,catchall_60_65,primary,2022
category,EB-3,0,0,11050,-4969,-6081,0,catchall_60_65,primary,2022
category,EB-4,0,0,-2241,-1056,3297,0,catchall_60_65,primary,2022
category,EB-5,0,0,-472,319,153,0,catchall_60_65,primary,2022
joint,EB-1 / India,0,0,-39561,3871,35690,0,catchall_60_65,primary,2022
joint,EB-1 / China,0,0,-28678,3948,24730,0,catchall_60_65,primary,2022
joint,EB-1 / ROW,0,0,64974,-8587,-56387,0,catchall_60_65,primary,2022
joint,EB-2 / India,0,0,-280472,92888,187584,0,catchall_60_65,primary,2022
joint,EB-2 / China,0,0,-13655,957,12698,0,catchall_60_65,primary,2022
joint,EB-2 / ROW,0,0,285811,-67146,-218665,0,catchall_60_65,primary,2022
joint,EB-3 / India,0,0,-155994,52029,103965,0,catchall_60_65,primary,2022
joint,EB-3 / China,0,0,-18595,4407,14188,0,catchall_60_65,primary,2022
joint,EB-3 / ROW,0,0,185639,-61405,-124234,0,catchall_60_65,primary,2022
joint,EB-4 / India,0,0,3648,-1166,-2482,0,catchall_60_65,primary,2022
joint,EB-4 / China,0,0,3390,-1043,-2347,0,catchall_60_65,primary,2022
joint,EB-4 / ROW,0,0,-9279,1153,8126,0,catchall_60_65,primary,2022
joint,EB-5 / India,0,0,-2130,141,1989,0,catchall_60_65,primary,2022
joint,EB-5 / China,0,0,-6633,1201,5432,0,catchall_60_65,primary,2022
joint,EB-5 / ROW,0,0,8291,-1023,-7268,0,catchall_60_65,primary,2022
overall,All,0,0,-3403,20695,-17292,0,catchall_60_65,primary,2023
nationality,India,0,0,-474354,147562,326792,0,catchall_60_65,primary,2023
nationality,China,0,0,-64672,9427,55245,0,catchall_60_65,primary,2023
nationality,ROW,0,0,535623,-136294,-399329,0,catchall_60_65,primary,2023
category,EB-1,0,0,-3152,-668,3820,0,catchall_60_65,primary,2023
category,EB-2,0,0,-8629,26543,-17914,0,catchall_60_65,primary,2023
category,EB-3,0,0,11032,-5380,-5652,0,catchall_60_65,primary,2023
category,EB-4,0,0,-2217,-234,2451,0,catchall_60_65,primary,2023
category,EB-5,0,0,-437,434,3,0,catchall_60_65,primary,2023
joint,EB-1 / India,0,0,-39519,3752,35767,0,catchall_60_65,primary,2023
joint,EB-1 / China,0,0,-28636,3922,24714,0,catchall_60_65,primary,2023
joint,EB-1 / ROW,0,0,65003,-8342,-56661,0,catchall_60_65,primary,2023
joint,EB-2 / India,0,0,-279686,92585,187101,0,catchall_60_65,primary,2023
joint,EB-2 / China,0,0,-14092,1173,12919,0,catchall_60_65,primary,2023
joint,EB-2 / ROW,0,0,285149,-67215,-217934,0,catchall_60_65,primary,2023
joint,EB-3 / India,0,0,-156570,52286,104284,0,catchall_60_65,primary,2023
joint,EB-3 / China,0,0,-18674,4131,14543,0,catchall_60_65,primary,2023
joint,EB-3 / ROW,0,0,186276,-61797,-124479,0,catchall_60_65,primary,2023
joint,EB-4 / India,0,0,3549,-1261,-2288,0,catchall_60_65,primary,2023
joint,EB-4 / China,0,0,3380,-1068,-2312,0,catchall_60_65,primary,2023
joint,EB-4 / ROW,0,0,-9146,2095,7051,0,catchall_60_65,primary,2023
joint,EB-5 / India,0,0,-2128,200,1928,0,catchall_60_65,primary,2023
joint,EB-5 / China,0,0,-6650,1269,5381,0,catchall_60_65,primary,2023
joint,EB-5 / ROW,0,0,8341,-1035,-7306,0,catchall_60_65,primary,2023
overall,All,0,0,-3179,21569,-18390,0,catchall_60_65,primary,2024
nationality,India,0,0,-474202,148417,325785,0,catchall_60_65,primary,2024
nationality,China,0,0,-63666,8731,54935,0,catchall_60_65,primary,2024
nationality,ROW,0,0,534689,-135579,-399110,0,catchall_60_65,primary,2024
category,EB-1,0,0,-3096,-951,4047,0,catchall_60_65,primary,2024
category,EB-2,0,0,-8287,26590,-18303,0,catchall_60_65,primary,2024
category,EB-3,0,0,10972,-4735,-6237,0,catchall_60_65,primary,2024
category,EB-4,0,0,-2225,241,1984,0,catchall_60_65,primary,2024
category,EB-5,0,0,-543,424,119,0,catchall_60_65,primary,2024
joint,EB-1 / India,0,0,-39414,3839,35575,0,catchall_60_65,primary,2024
joint,EB-1 / China,0,0,-28632,3594,25038,0,catchall_60_65,primary,2024
joint,EB-1 / ROW,0,0,64950,-8384,-56566,0,catchall_60_65,primary,2024
joint,EB-2 / India,0,0,-280092,93356,186736,0,catchall_60_65,primary,2024
joint,EB-2 / China,0,0,-13541,584,12957,0,catchall_60_65,primary,2024
joint,EB-2 / ROW,0,0,285346,-67350,-217996,0,catchall_60_65,primary,2024
joint,EB-3 / India,0,0,-156067,52297,103770,0,catchall_60_65,primary,2024
joint,EB-3 / China,0,0,-18203,4394,13809,0,catchall_60_65,primary,2024
joint,EB-3 / ROW,0,0,185242,-61426,-123816,0,catchall_60_65,primary,2024
joint,EB-4 / India,0,0,3540,-1312,-2228,0,catchall_60_65,primary,2024
joint,EB-4 / China,0,0,3349,-1017,-2332,0,catchall_60_65,primary,2024
joint,EB-4 / ROW,0,0,-9114,2570,6544,0,catchall_60_65,primary,2024
joint,EB-5 / India,0,0,-2169,237,1932,0,catchall_60_65,primary,2024
joint,EB-5 / China,0,0,-6639,1176,5463,0,catchall_60_65,primary,2024
joint,EB-5 / ROW,0,0,8265,-989,-7276,0,catchall_60_65,primary,2024
overall,All,0,0,-4048,21542,-17494,0,catchall_60_65,primary,2025
nationality,India,0,0,-475414,147439,327975,0,catchall_60_65,primary,2025
nationality,China,0,0,-63953,8805,55148,0,catchall_60_65,primary,2025
nationality,ROW,0,0,535319,-134702,-400617,0,catchall_60_65,primary,2025
category,EB-1,0,0,-3246,-562,3808,0,catchall_60_65,primary,2025
category,EB-2,0,0,-8553,26480,-17927,0,catchall_60_65,primary,2025
category,EB-3,0,0,10559,-5598,-4961,0,catchall_60_65,primary,2025
category,EB-4,0,0,-2291,711,1580,0,catchall_60_65,primary,2025
category,EB-5,0,0,-517,511,6,0,catchall_60_65,primary,2025
joint,EB-1 / India,0,0,-39732,4008,35724,0,catchall_60_65,primary,2025
joint,EB-1 / China,0,0,-28711,3845,24866,0,catchall_60_65,primary,2025
joint,EB-1 / ROW,0,0,65197,-8415,-56782,0,catchall_60_65,primary,2025
joint,EB-2 / India,0,0,-280400,92859,187541,0,catchall_60_65,primary,2025
joint,EB-2 / China,0,0,-13782,643,13139,0,catchall_60_65,primary,2025
joint,EB-2 / ROW,0,0,285629,-67022,-218607,0,catchall_60_65,primary,2025
joint,EB-3 / India,0,0,-156718,51507,105211,0,catchall_60_65,primary,2025
joint,EB-3 / China,0,0,-18231,4122,14109,0,catchall_60_65,primary,2025
joint,EB-3 / ROW,0,0,185508,-61227,-124281,0,catchall_60_65,primary,2025
joint,EB-4 / India,0,0,3584,-1154,-2430,0,catchall_60_65,primary,2025
joint,EB-4 / China,0,0,3502,-1095,-2407,0,catchall_60_65,primary,2025
joint,EB-4 / ROW,0,0,-9377,2960,6417,0,catchall_60_65,primary,2025
joint,EB-5 / India,0,0,-2148,219,1929,0,catchall_60_65,primary,2025
joint,EB-5 / China,0,0,-6731,1290,5441,0,catchall_60_65,primary,2025
joint,EB-5 / ROW,0,0,8362,-998,-7364,0,catchall_60_65,primary,2025
overall,All,0,0,-3976,21220,-17244,0,catchall_60_65,primary,2026
nationality,India,0,0,-474501,146782,327719,0,catchall_60_65,primary,2026
nationality,China,0,0,-64251,9292,54959,0,catchall_60_65,primary,2026
nationality,ROW,0,0,534776,-134854,-399922,0,catchall_60_65,primary,2026
category,EB-1,0,0,-3077,-887,3964,0,catchall_60_65,primary,2026
category,EB-2,0,0,-9358,26897,-17539,0,catchall_60_65,primary,2026
category,EB-3,0,0,11104,-5197,-5907,0,catchall_60_65,primary,2026
category,EB-4,0,0,-2097,-12,2109,0,catchall_60_65,primary,2026
category,EB-5,0,0,-548,419,129,0,catchall_60_65,primary,2026
joint,EB-1 / India,0,0,-39206,3651,35555,0,catchall_60_65,primary,2026
joint,EB-1 / China,0,0,-28700,3918,24782,0,catchall_60_65,primary,2026
joint,EB-1 / ROW,0,0,64829,-8456,-56373,0,catchall_60_65,primary,2026
joint,EB-2 / India,0,0,-280393,92724,187669,0,catchall_60_65,primary,2026
joint,EB-2 / China,0,0,-13656,743,12913,0,catchall_60_65,primary,2026
joint,EB-2 / ROW,0,0,284691,-66570,-218121,0,catchall_60_65,primary,2026
joint,EB-3 / India,0,0,-156172,51521,104651,0,catchall_60_65,primary,2026
joint,EB-3 / China,0,0,-18659,4508,14151,0,catchall_60_65,primary,2026
joint,EB-3 / ROW,0,0,185935,-61226,-124709,0,catchall_60_65,primary,2026
joint,EB-4 / India,0,0,3439,-1311,-2128,0,catchall_60_65,primary,2026
joint,EB-4 / China,0,0,3367,-1094,-2273,0,catchall_60_65,primary,2026
joint,EB-4 / ROW,0,0,-8903,2393,6510,0,catchall_60_65,primary,2026
joint,EB-5 / India,0,0,-2169,197,1972,0,catchall_60_65,primary,2026
joint,EB-5 / China,0,0,-6603,1217,5386,0,catchall_60_65,primary,2026
joint,EB-5 / ROW,0,0,8224,-995,-7229,0,catchall_60_65,primary,2026
overall,All,0,0,-3721,21710,-17989,0,catchall_60_65,primary,2027
nationality,India,0,0,-474747,147187,327560,0,catchall_60_65,primary,2027
nationality,China,0,0,-63978,9310,54668,0,catchall_60_65,primary,2027
nationality,ROW,0,0,535004,-134787,-400217,0,catchall_60_65,primary,2027
category,EB-1,0,0,-3197,-708,3905,0,catchall_60_65,primary,2027
category,EB-2,0,0,-8514,26601,-18087,0,catchall_60_65,primary,2027
category,EB-3,0,0,10856,-5244,-5612,0,catchall_60_65,primary,2027
category,EB-4,0,0,-2407,563,1844,0,catchall_60_65,primary,2027
category,EB-5,0,0,-459,498,-39,0,catchall_60_65,primary,2027
joint,EB-1 / India,0,0,-39616,3868,35748,0,catchall_60_65,primary,2027
joint,EB-1 / China,0,0,-28486,3758,24728,0,catchall_60_65,primary,2027
joint,EB-1 / ROW,0,0,64905,-8334,-56571,0,catchall_60_65,primary,2027
joint,EB-2 / India,0,0,-280563,92770,187793,0,catchall_60_65,primary,2027
joint,EB-2 / China,0,0,-13552,759,12793,0,catchall_60_65,primary,2027
joint,EB-2 / ROW,0,0,285601,-66928,-218673,0,catchall_60_65,primary,2027
joint,EB-3 / India,0,0,-156019,51667,104352,0,catchall_60_65,primary,2027
joint,EB-3 / China,0,0,-18859,4594,14265,0,catchall_60_65,primary,2027
joint,EB-3 / ROW,0,0,185734,-61505,-124229,0,catchall_60_65,primary,2027
joint,EB-4 / India,0,0,3465,-1312,-2153,0,catchall_60_65,primary,2027
joint,EB-4 / China,0,0,3479,-1102,-2377,0,catchall_60_65,primary,2027
joint,EB-4 / ROW,0,0,-9351,2977,6374,0,catchall_60_65,primary,2027
joint,EB-5 / India,0,0,-2014,194,1820,0,catchall_60_65,primary,2027
joint,EB-5 / China,0,0,-6560,1301,5259,0,catchall_60_65,primary,2027
joint,EB-5 / ROW,0,0,8115,-997,-7118,0,catchall_60_65,primary,2027
overall,All,0,0,-4016,21784,-17768,0,catchall_60_65,primary,2028
nationality,India,0,0,-475322,147711,327611,0,catchall_60_65,primary,2028
nationality,China,0,0,-64484,9294,55190,0,catchall_60_65,primary,2028
nationality,ROW,0,0,535790,-135221,-400569,0,catchall_60_65,primary,2028
category,EB-1,0,0,-3364,-895,4259,0,catchall_60_65,primary,2028
