dimension,group,quantity,policy,value,case,role,seed
category,EB-3,principal_backlog_2024,Historical,288273.0,catchall_60_65,primary,2015
category,EB-4,principal_backlog_2024,Historical,301029.0,catchall_60_65,primary,2015
category,EB-5,principal_backlog_2024,Historical,20031.0,catchall_60_65,primary,2015
joint,EB-1 / India,principal_backlog_2024,Historical,18717.0,catchall_60_65,primary,2015
joint,EB-1 / China,principal_backlog_2024,Historical,12898.0,catchall_60_65,primary,2015
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2015
joint,EB-2 / India,principal_backlog_2024,Historical,392328.0,catchall_60_65,primary,2015
joint,EB-2 / China,principal_backlog_2024,Historical,71864.0,catchall_60_65,primary,2015
joint,EB-2 / ROW,principal_backlog_2024,Historical,43620.0,catchall_60_65,primary,2015
joint,EB-3 / India,principal_backlog_2024,Historical,173833.0,catchall_60_65,primary,2015
joint,EB-3 / China,principal_backlog_2024,Historical,40104.0,catchall_60_65,primary,2015
joint,EB-3 / ROW,principal_backlog_2024,Historical,74336.0,catchall_60_65,primary,2015
joint,EB-4 / India,principal_backlog_2024,Historical,7159.0,catchall_60_65,primary,2015
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2015
joint,EB-4 / ROW,principal_backlog_2024,Historical,293870.0,catchall_60_65,primary,2015
joint,EB-5 / India,principal_backlog_2024,Historical,2152.0,catchall_60_65,primary,2015
joint,EB-5 / China,principal_backlog_2024,Historical,17879.0,catchall_60_65,primary,2015
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2015
overall,All,age21_events_2009_2024,Historical,23452.0,catchall_60_65,primary,2016
overall,All,principal_exits_2009_2024,Historical,239793.0,catchall_60_65,primary,2016
nationality,India,age21_events_2009_2024,Historical,14415.0,catchall_60_65,primary,2016
nationality,India,principal_exits_2009_2024,Historical,96152.0,catchall_60_65,primary,2016
nationality,China,age21_events_2009_2024,Historical,2111.0,catchall_60_65,primary,2016
nationality,China,principal_exits_2009_2024,Historical,32566.0,catchall_60_65,primary,2016
nationality,ROW,age21_events_2009_2024,Historical,6926.0,catchall_60_65,primary,2016
nationality,ROW,principal_exits_2009_2024,Historical,111075.0,catchall_60_65,primary,2016
category,EB-1,age21_events_2009_2024,Historical,2.0,catchall_60_65,primary,2016
category,EB-1,principal_exits_2009_2024,Historical,2366.0,catchall_60_65,primary,2016
category,EB-2,age21_events_2009_2024,Historical,6317.0,catchall_60_65,primary,2016
category,EB-2,principal_exits_2009_2024,Historical,68564.0,catchall_60_65,primary,2016
category,EB-3,age21_events_2009_2024,Historical,9726.0,catchall_60_65,primary,2016
category,EB-3,principal_exits_2009_2024,Historical,84850.0,catchall_60_65,primary,2016
category,EB-4,age21_events_2009_2024,Historical,7187.0,catchall_60_65,primary,2016
category,EB-4,principal_exits_2009_2024,Historical,82074.0,catchall_60_65,primary,2016
category,EB-5,age21_events_2009_2024,Historical,220.0,catchall_60_65,primary,2016
category,EB-5,principal_exits_2009_2024,Historical,1939.0,catchall_60_65,primary,2016
overall,All,principal_backlog_2024,Historical,1148610.0,catchall_60_65,primary,2016
nationality,India,principal_backlog_2024,Historical,593581.0,catchall_60_65,primary,2016
nationality,China,principal_backlog_2024,Historical,142493.0,catchall_60_65,primary,2016
nationality,ROW,principal_backlog_2024,Historical,412536.0,catchall_60_65,primary,2016
category,EB-1,principal_backlog_2024,Historical,31699.0,catchall_60_65,primary,2016
category,EB-2,principal_backlog_2024,Historical,507469.0,catchall_60_65,primary,2016
category,EB-3,principal_backlog_2024,Historical,288019.0,catchall_60_65,primary,2016
category,EB-4,principal_backlog_2024,Historical,301420.0,catchall_60_65,primary,2016
category,EB-5,principal_backlog_2024,Historical,20003.0,catchall_60_65,primary,2016
joint,EB-1 / India,principal_backlog_2024,Historical,18885.0,catchall_60_65,primary,2016
joint,EB-1 / China,principal_backlog_2024,Historical,12814.0,catchall_60_65,primary,2016
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2016
joint,EB-2 / India,principal_backlog_2024,Historical,391562.0,catchall_60_65,primary,2016
joint,EB-2 / China,principal_backlog_2024,Historical,71806.0,catchall_60_65,primary,2016
joint,EB-2 / ROW,principal_backlog_2024,Historical,44101.0,catchall_60_65,primary,2016
joint,EB-3 / India,principal_backlog_2024,Historical,173807.0,catchall_60_65,primary,2016
joint,EB-3 / China,principal_backlog_2024,Historical,40038.0,catchall_60_65,primary,2016
joint,EB-3 / ROW,principal_backlog_2024,Historical,74174.0,catchall_60_65,primary,2016
joint,EB-4 / India,principal_backlog_2024,Historical,7159.0,catchall_60_65,primary,2016
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2016
joint,EB-4 / ROW,principal_backlog_2024,Historical,294261.0,catchall_60_65,primary,2016
joint,EB-5 / India,principal_backlog_2024,Historical,2168.0,catchall_60_65,primary,2016
joint,EB-5 / China,principal_backlog_2024,Historical,17835.0,catchall_60_65,primary,2016
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2016
overall,All,age21_events_2009_2024,Historical,23036.0,catchall_60_65,primary,2017
overall,All,principal_exits_2009_2024,Historical,240516.0,catchall_60_65,primary,2017
nationality,India,age21_events_2009_2024,Historical,14068.0,catchall_60_65,primary,2017
nationality,India,principal_exits_2009_2024,Historical,96390.0,catchall_60_65,primary,2017
nationality,China,age21_events_2009_2024,Historical,2047.0,catchall_60_65,primary,2017
nationality,China,principal_exits_2009_2024,Historical,32791.0,catchall_60_65,primary,2017
nationality,ROW,age21_events_2009_2024,Historical,6921.0,catchall_60_65,primary,2017
nationality,ROW,principal_exits_2009_2024,Historical,111335.0,catchall_60_65,primary,2017
category,EB-1,age21_events_2009_2024,Historical,0.0,catchall_60_65,primary,2017
category,EB-1,principal_exits_2009_2024,Historical,2377.0,catchall_60_65,primary,2017
category,EB-2,age21_events_2009_2024,Historical,6201.0,catchall_60_65,primary,2017
category,EB-2,principal_exits_2009_2024,Historical,68912.0,catchall_60_65,primary,2017
category,EB-3,age21_events_2009_2024,Historical,9514.0,catchall_60_65,primary,2017
category,EB-3,principal_exits_2009_2024,Historical,85121.0,catchall_60_65,primary,2017
category,EB-4,age21_events_2009_2024,Historical,7097.0,catchall_60_65,primary,2017
category,EB-4,principal_exits_2009_2024,Historical,82163.0,catchall_60_65,primary,2017
category,EB-5,age21_events_2009_2024,Historical,224.0,catchall_60_65,primary,2017
category,EB-5,principal_exits_2009_2024,Historical,1943.0,catchall_60_65,primary,2017
overall,All,principal_backlog_2024,Historical,1147359.0,catchall_60_65,primary,2017
nationality,India,principal_backlog_2024,Historical,593522.0,catchall_60_65,primary,2017
nationality,China,principal_backlog_2024,Historical,142681.0,catchall_60_65,primary,2017
nationality,ROW,principal_backlog_2024,Historical,411156.0,catchall_60_65,primary,2017
category,EB-1,principal_backlog_2024,Historical,31558.0,catchall_60_65,primary,2017
category,EB-2,principal_backlog_2024,Historical,506605.0,catchall_60_65,primary,2017
category,EB-3,principal_backlog_2024,Historical,287792.0,catchall_60_65,primary,2017
category,EB-4,principal_backlog_2024,Historical,301434.0,catchall_60_65,primary,2017
category,EB-5,principal_backlog_2024,Historical,19970.0,catchall_60_65,primary,2017
joint,EB-1 / India,principal_backlog_2024,Historical,18769.0,catchall_60_65,primary,2017
joint,EB-1 / China,principal_backlog_2024,Historical,12789.0,catchall_60_65,primary,2017
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2017
joint,EB-2 / India,principal_backlog_2024,Historical,391892.0,catchall_60_65,primary,2017
joint,EB-2 / China,principal_backlog_2024,Historical,71747.0,catchall_60_65,primary,2017
joint,EB-2 / ROW,principal_backlog_2024,Historical,42966.0,catchall_60_65,primary,2017
joint,EB-3 / India,principal_backlog_2024,Historical,173712.0,catchall_60_65,primary,2017
joint,EB-3 / China,principal_backlog_2024,Historical,40335.0,catchall_60_65,primary,2017
joint,EB-3 / ROW,principal_backlog_2024,Historical,73745.0,catchall_60_65,primary,2017
joint,EB-4 / India,principal_backlog_2024,Historical,6989.0,catchall_60_65,primary,2017
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2017
joint,EB-4 / ROW,principal_backlog_2024,Historical,294445.0,catchall_60_65,primary,2017
joint,EB-5 / India,principal_backlog_2024,Historical,2160.0,catchall_60_65,primary,2017
joint,EB-5 / China,principal_backlog_2024,Historical,17810.0,catchall_60_65,primary,2017
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2017
overall,All,age21_events_2009_2024,Historical,23386.0,catchall_60_65,primary,2018
overall,All,principal_exits_2009_2024,Historical,239315.0,catchall_60_65,primary,2018
nationality,India,age21_events_2009_2024,Historical,14309.0,catchall_60_65,primary,2018
nationality,India,principal_exits_2009_2024,Historical,96475.0,catchall_60_65,primary,2018
nationality,China,age21_events_2009_2024,Historical,2007.0,catchall_60_65,primary,2018
nationality,China,principal_exits_2009_2024,Historical,32194.0,catchall_60_65,primary,2018
nationality,ROW,age21_events_2009_2024,Historical,7070.0,catchall_60_65,primary,2018
nationality,ROW,principal_exits_2009_2024,Historical,110646.0,catchall_60_65,primary,2018
category,EB-1,age21_events_2009_2024,Historical,3.0,catchall_60_65,primary,2018
category,EB-1,principal_exits_2009_2024,Historical,2368.0,catchall_60_65,primary,2018
category,EB-2,age21_events_2009_2024,Historical,6325.0,catchall_60_65,primary,2018
category,EB-2,principal_exits_2009_2024,Historical,68560.0,catchall_60_65,primary,2018
category,EB-3,age21_events_2009_2024,Historical,9570.0,catchall_60_65,primary,2018
category,EB-3,principal_exits_2009_2024,Historical,84647.0,catchall_60_65,primary,2018
category,EB-4,age21_events_2009_2024,Historical,7267.0,catchall_60_65,primary,2018
category,EB-4,principal_exits_2009_2024,Historical,81761.0,catchall_60_65,primary,2018
category,EB-5,age21_events_2009_2024,Historical,221.0,catchall_60_65,primary,2018
category,EB-5,principal_exits_2009_2024,Historical,1979.0,catchall_60_65,primary,2018
overall,All,principal_backlog_2024,Historical,1148115.0,catchall_60_65,primary,2018
nationality,India,principal_backlog_2024,Historical,594891.0,catchall_60_65,primary,2018
nationality,China,principal_backlog_2024,Historical,142410.0,catchall_60_65,primary,2018
nationality,ROW,principal_backlog_2024,Historical,410814.0,catchall_60_65,primary,2018
category,EB-1,principal_backlog_2024,Historical,31537.0,catchall_60_65,primary,2018
category,EB-2,principal_backlog_2024,Historical,507616.0,catchall_60_65,primary,2018
category,EB-3,principal_backlog_2024,Historical,287419.0,catchall_60_65,primary,2018
category,EB-4,principal_backlog_2024,Historical,301577.0,catchall_60_65,primary,2018
category,EB-5,principal_backlog_2024,Historical,19966.0,catchall_60_65,primary,2018
joint,EB-1 / India,principal_backlog_2024,Historical,18859.0,catchall_60_65,primary,2018
joint,EB-1 / China,principal_backlog_2024,Historical,12678.0,catchall_60_65,primary,2018
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2018
joint,EB-2 / India,principal_backlog_2024,Historical,392599.0,catchall_60_65,primary,2018
joint,EB-2 / China,principal_backlog_2024,Historical,71550.0,catchall_60_65,primary,2018
joint,EB-2 / ROW,principal_backlog_2024,Historical,43467.0,catchall_60_65,primary,2018
joint,EB-3 / India,principal_backlog_2024,Historical,174076.0,catchall_60_65,primary,2018
joint,EB-3 / China,principal_backlog_2024,Historical,40389.0,catchall_60_65,primary,2018
joint,EB-3 / ROW,principal_backlog_2024,Historical,72954.0,catchall_60_65,primary,2018
joint,EB-4 / India,principal_backlog_2024,Historical,7184.0,catchall_60_65,primary,2018
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2018
joint,EB-4 / ROW,principal_backlog_2024,Historical,294393.0,catchall_60_65,primary,2018
joint,EB-5 / India,principal_backlog_2024,Historical,2173.0,catchall_60_65,primary,2018
joint,EB-5 / China,principal_backlog_2024,Historical,17793.0,catchall_60_65,primary,2018
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2018
overall,All,age21_events_2009_2024,Historical,23192.0,catchall_60_65,primary,2019
overall,All,principal_exits_2009_2024,Historical,239462.0,catchall_60_65,primary,2019
nationality,India,age21_events_2009_2024,Historical,14113.0,catchall_60_65,primary,2019
nationality,India,principal_exits_2009_2024,Historical,96366.0,catchall_60_65,primary,2019
nationality,China,age21_events_2009_2024,Historical,2131.0,catchall_60_65,primary,2019
nationality,China,principal_exits_2009_2024,Historical,32358.0,catchall_60_65,primary,2019
nationality,ROW,age21_events_2009_2024,Historical,6948.0,catchall_60_65,primary,2019
nationality,ROW,principal_exits_2009_2024,Historical,110738.0,catchall_60_65,primary,2019
category,EB-1,age21_events_2009_2024,Historical,3.0,catchall_60_65,primary,2019
category,EB-1,principal_exits_2009_2024,Historical,2310.0,catchall_60_65,primary,2019
category,EB-2,age21_events_2009_2024,Historical,6292.0,catchall_60_65,primary,2019
category,EB-2,principal_exits_2009_2024,Historical,68754.0,catchall_60_65,primary,2019
