dimension,group,quantity,policy,value,case,role,seed
category,EB-3,principal_backlog_2040,Capped,553261.0,catchall_60_65,primary,2014
category,EB-3,principal_backlog_2040,Uncapped,558371.0,catchall_60_65,primary,2014
category,EB-3,principal_backlog_2040,Capped minus uncapped,-5110.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Capped,49489.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Uncapped,49738.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Capped minus uncapped,-249.0,catchall_60_65,primary,2014
category,EB-4,principal_exits_2025_2040,Capped,519634.0,catchall_60_65,primary,2014
category,EB-4,principal_exits_2025_2040,Uncapped,520474.0,catchall_60_65,primary,2014
category,EB-4,principal_exits_2025_2040,Capped minus uncapped,-840.0,catchall_60_65,primary,2014
category,EB-4,principal_backlog_2040,Capped,1023818.0,catchall_60_65,primary,2014
category,EB-4,principal_backlog_2040,Uncapped,1020775.0,catchall_60_65,primary,2014
category,EB-4,principal_backlog_2040,Capped minus uncapped,3043.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Capped,1056.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Uncapped,557.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Capped minus uncapped,499.0,catchall_60_65,primary,2014
category,EB-5,principal_exits_2025_2040,Capped,3712.0,catchall_60_65,primary,2014
category,EB-5,principal_exits_2025_2040,Uncapped,3364.0,catchall_60_65,primary,2014
category,EB-5,principal_exits_2025_2040,Capped minus uncapped,348.0,catchall_60_65,primary,2014
category,EB-5,principal_backlog_2040,Capped,26496.0,catchall_60_65,primary,2014
category,EB-5,principal_backlog_2040,Uncapped,26339.0,catchall_60_65,primary,2014
category,EB-5,principal_backlog_2040,Capped minus uncapped,157.0,catchall_60_65,primary,2014
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1458.0,catchall_60_65,primary,2014
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,927.0,catchall_60_65,primary,2014
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-557.0,catchall_60_65,primary,2014
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,75311.0,catchall_60_65,primary,2014
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,514.0,catchall_60_65,primary,2014
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-34686.0,catchall_60_65,primary,2014
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,43847.0,catchall_60_65,primary,2014
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,2160.0,catchall_60_65,primary,2014
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-22545.0,catchall_60_65,primary,2014
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-710.0,catchall_60_65,primary,2014
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-116.0,catchall_60_65,primary,2014
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,577.0,catchall_60_65,primary,2014
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,173.0,catchall_60_65,primary,2014
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,564.0,catchall_60_65,primary,2014
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-238.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Capped,267097.0,catchall_60_65,primary,2015
overall,All,age21_events_2025_2040,Uncapped,200127.0,catchall_60_65,primary,2015
overall,All,age21_events_2025_2040,Capped minus uncapped,66970.0,catchall_60_65,primary,2015
overall,All,principal_exits_2025_2040,Capped,1093559.0,catchall_60_65,primary,2015
overall,All,principal_exits_2025_2040,Uncapped,1072476.0,catchall_60_65,primary,2015
overall,All,principal_exits_2025_2040,Capped minus uncapped,21083.0,catchall_60_65,primary,2015
overall,All,principal_conversions_2025_2040,Capped,1263537.0,catchall_60_65,primary,2015
overall,All,principal_conversions_2025_2040,Uncapped,1266944.0,catchall_60_65,primary,2015
overall,All,principal_conversions_2025_2040,Capped minus uncapped,-3407.0,catchall_60_65,primary,2015
overall,All,principal_backlog_2040,Capped,2773472.0,catchall_60_65,primary,2015
overall,All,principal_backlog_2040,Uncapped,2791148.0,catchall_60_65,primary,2015
overall,All,principal_backlog_2040,Capped minus uncapped,-17676.0,catchall_60_65,primary,2015
nationality,India,age21_events_2025_2040,Capped,193965.0,catchall_60_65,primary,2015
nationality,India,age21_events_2025_2040,Uncapped,73691.0,catchall_60_65,primary,2015
nationality,India,age21_events_2025_2040,Capped minus uncapped,120274.0,catchall_60_65,primary,2015
nationality,India,principal_exits_2025_2040,Capped,335262.0,catchall_60_65,primary,2015
nationality,India,principal_exits_2025_2040,Uncapped,187149.0,catchall_60_65,primary,2015
nationality,India,principal_exits_2025_2040,Capped minus uncapped,148113.0,catchall_60_65,primary,2015
nationality,India,principal_backlog_2040,Capped,1077844.0,catchall_60_65,primary,2015
nationality,India,principal_backlog_2040,Uncapped,751196.0,catchall_60_65,primary,2015
nationality,India,principal_backlog_2040,Capped minus uncapped,326648.0,catchall_60_65,primary,2015
nationality,China,age21_events_2025_2040,Capped,18575.0,catchall_60_65,primary,2015
nationality,China,age21_events_2025_2040,Uncapped,14413.0,catchall_60_65,primary,2015
nationality,China,age21_events_2025_2040,Capped minus uncapped,4162.0,catchall_60_65,primary,2015
nationality,China,principal_exits_2025_2040,Capped,104230.0,catchall_60_65,primary,2015
nationality,China,principal_exits_2025_2040,Uncapped,94925.0,catchall_60_65,primary,2015
nationality,China,principal_exits_2025_2040,Capped minus uncapped,9305.0,catchall_60_65,primary,2015
nationality,China,principal_backlog_2040,Capped,340564.0,catchall_60_65,primary,2015
nationality,China,principal_backlog_2040,Uncapped,285874.0,catchall_60_65,primary,2015
nationality,China,principal_backlog_2040,Capped minus uncapped,54690.0,catchall_60_65,primary,2015
nationality,ROW,age21_events_2025_2040,Capped,54557.0,catchall_60_65,primary,2015
nationality,ROW,age21_events_2025_2040,Uncapped,112023.0,catchall_60_65,primary,2015
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-57466.0,catchall_60_65,primary,2015
nationality,ROW,principal_exits_2025_2040,Capped,654067.0,catchall_60_65,primary,2015
nationality,ROW,principal_exits_2025_2040,Uncapped,790402.0,catchall_60_65,primary,2015
nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,-136335.0,catchall_60_65,primary,2015
nationality,ROW,principal_backlog_2040,Capped,1355064.0,catchall_60_65,primary,2015
nationality,ROW,principal_backlog_2040,Uncapped,1754078.0,catchall_60_65,primary,2015
nationality,ROW,principal_backlog_2040,Capped minus uncapped,-399014.0,catchall_60_65,primary,2015
category,EB-1,age21_events_2025_2040,Capped,2508.0,catchall_60_65,primary,2015
category,EB-1,age21_events_2025_2040,Uncapped,788.0,catchall_60_65,primary,2015
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1720.0,catchall_60_65,primary,2015
category,EB-1,principal_exits_2025_2040,Capped,15843.0,catchall_60_65,primary,2015
category,EB-1,principal_exits_2025_2040,Uncapped,16624.0,catchall_60_65,primary,2015
category,EB-1,principal_exits_2025_2040,Capped minus uncapped,-781.0,catchall_60_65,primary,2015
category,EB-1,principal_backlog_2040,Capped,129386.0,catchall_60_65,primary,2015
category,EB-1,principal_backlog_2040,Uncapped,125384.0,catchall_60_65,primary,2015
category,EB-1,principal_backlog_2040,Capped minus uncapped,4002.0,catchall_60_65,primary,2015
category,EB-2,age21_events_2025_2040,Capped,150087.0,catchall_60_65,primary,2015
category,EB-2,age21_events_2025_2040,Uncapped,108289.0,catchall_60_65,primary,2015
category,EB-2,age21_events_2025_2040,Capped minus uncapped,41798.0,catchall_60_65,primary,2015
category,EB-2,principal_exits_2025_2040,Capped,309315.0,catchall_60_65,primary,2015
category,EB-2,principal_exits_2025_2040,Uncapped,282869.0,catchall_60_65,primary,2015
category,EB-2,principal_exits_2025_2040,Capped minus uncapped,26446.0,catchall_60_65,primary,2015
category,EB-2,principal_backlog_2040,Capped,1041938.0,catchall_60_65,primary,2015
category,EB-2,principal_backlog_2040,Uncapped,1060050.0,catchall_60_65,primary,2015
category,EB-2,principal_backlog_2040,Capped minus uncapped,-18112.0,catchall_60_65,primary,2015
category,EB-3,age21_events_2025_2040,Capped,63668.0,catchall_60_65,primary,2015
category,EB-3,age21_events_2025_2040,Uncapped,40542.0,catchall_60_65,primary,2015
category,EB-3,age21_events_2025_2040,Capped minus uncapped,23126.0,catchall_60_65,primary,2015
category,EB-3,principal_exits_2025_2040,Capped,245309.0,catchall_60_65,primary,2015
category,EB-3,principal_exits_2025_2040,Uncapped,249889.0,catchall_60_65,primary,2015
category,EB-3,principal_exits_2025_2040,Capped minus uncapped,-4580.0,catchall_60_65,primary,2015
category,EB-3,principal_backlog_2040,Capped,552364.0,catchall_60_65,primary,2015
category,EB-3,principal_backlog_2040,Uncapped,558730.0,catchall_60_65,primary,2015
category,EB-3,principal_backlog_2040,Capped minus uncapped,-6366.0,catchall_60_65,primary,2015
category,EB-4,age21_events_2025_2040,Capped,49707.0,catchall_60_65,primary,2015
category,EB-4,age21_events_2025_2040,Uncapped,49894.0,catchall_60_65,primary,2015
category,EB-4,age21_events_2025_2040,Capped minus uncapped,-187.0,catchall_60_65,primary,2015
category,EB-4,principal_exits_2025_2040,Capped,519270.0,catchall_60_65,primary,2015
category,EB-4,principal_exits_2025_2040,Uncapped,519707.0,catchall_60_65,primary,2015
