scenario,entry_cohort_window,dimension,group,outcome_observation_end_year,total_created,aged_out,saved,exited,still_dependent,aged_out_fraction_pct,saved_fraction_pct,exited_fraction_pct,still_dependent_fraction_pct,case,role,seed
Uncapped,entries_2009_2024,joint,EB-4 / India,2040,9769,2135,4366,3104,164,21.854846964888935,44.69239430852697,31.773978912887706,1.6787798136963865,catchall_60_65,primary,2051
Uncapped,entries_2009_2024,joint,EB-4 / China,2040,507,0,500,7,0,0.0,98.61932938856016,1.3806706114398422,0.0,catchall_60_65,primary,2051
Uncapped,entries_2009_2024,joint,EB-4 / ROW,2040,140773,27039,59607,52549,1578,19.207518487209907,42.34263672721332,37.328891193623775,1.1209535919530023,catchall_60_65,primary,2051
Uncapped,entries_2009_2024,joint,EB-5 / India,2040,4047,26,3938,83,0,0.6424511984185817,97.30664689893749,2.050901902643934,0.0,catchall_60_65,primary,2051
Uncapped,entries_2009_2024,joint,EB-5 / China,2040,27629,414,26078,1137,0,1.498425567338666,94.38633320062253,4.1152412320388,0.0,catchall_60_65,primary,2051
Uncapped,entries_2009_2024,joint,EB-5 / ROW,2040,15176,0,15176,0,0,0.0,100.0,0.0,0.0,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,overall,All,2040,1412496,114115,235276,246876,816229,8.07896093157078,16.65675513417383,17.477996397865905,57.78628753638948,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,nationality,India,2040,468830,28964,68879,55649,315338,6.177932299554209,14.691679286735065,11.869760894140732,67.26062751957,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,nationality,China,2040,134027,7912,40496,18399,67220,5.903288143433786,30.214807464167666,13.727830959433547,50.154073432965,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,nationality,ROW,2040,809639,77239,125901,172828,433671,9.539930759264314,15.550263759527395,21.346303723017297,53.563501758190995,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,category,EB-1,2040,235391,818,159113,8670,66790,0.3475069140281489,67.59519267941425,3.6832334286357593,28.374066977921842,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,category,EB-2,2040,540491,53635,0,84954,401902,9.923384478187426,0.0,15.717930548334754,74.35868497347782,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,category,EB-3,2040,387455,30917,39411,88102,229025,7.97950729762166,10.17176188202501,22.73864061632964,59.11009020402369,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,category,EB-4,2040,192573,28375,0,63116,101082,14.734672046444725,0.0,32.77510346725657,52.4902244862987,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,category,EB-5,2040,56586,370,36752,2034,17430,0.653871982469162,64.94892729650444,3.5945286820061497,30.80267203902025,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-1 / India,2040,75422,154,51459,2120,21689,0.204184455463923,68.22810320596112,2.8108509453475112,28.75686139322744,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-1 / China,2040,30281,24,20527,1228,8502,0.0792576202899508,67.78838215382584,4.055348238169149,28.077011987715068,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-1 / ROW,2040,129688,640,87127,5322,36599,0.49349207328357286,67.1820060452779,4.1036950218987105,28.22080685953982,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-2 / India,2040,292320,23358,0,36646,232316,7.99055829228243,0.0,12.536261631089218,79.47318007662835,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-2 / China,2040,41028,4711,0,7113,29204,11.482402261869943,0.0,17.33694062591401,71.18065711221605,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-2 / ROW,2040,207143,25566,0,41195,140382,12.34219838469077,0.0,19.887227663980923,67.77057395132832,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-3 / India,2040,75039,2925,10104,12414,49596,3.897973054011914,13.464998200935513,16.543397433334665,66.0936313117179,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-3 / China,2040,37034,3062,3585,8952,21435,8.268077982394557,9.680293784090296,24.1723821353351,57.87924609818005,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-3 / ROW,2040,275382,24930,25722,66736,157994,9.052879273155108,9.340479769919602,24.233973171812245,57.372667785113045,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-4 / India,2040,14752,2414,0,4152,8186,16.363882863340564,0.0,28.14533622559653,55.490780911062906,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-4 / China,2040,838,115,0,267,456,13.723150357995227,0.0,31.86157517899761,54.41527446300716,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-4 / ROW,2040,176983,25846,0,58697,92440,14.603662498658062,0.0,33.16533226355074,52.2310052377912,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-5 / India,2040,11297,113,7316,317,3551,1.0002655572275825,64.7605558997964,2.806054704788882,31.43312383818713,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-5 / China,2040,24846,0,16384,839,7623,0.0,65.94220397649521,3.376801094743621,30.68099492876117,catchall_60_65,primary,2051
Uncapped,entries_2025_2040,joint,EB-5 / ROW,2040,20443,257,13052,878,6256,1.2571540380570367,63.84581519346476,4.294868659198748,30.60216210927946,catchall_60_65,primary,2051
Capped,all_entries_2009_2040,overall,All,2040,2553317,290820,1158654,388315,715528,11.389890091986228,45.378384274259716,15.20825655412156,28.023469079632495,catchall_60_65,primary,2051
Capped,all_entries_2009_2040,nationality,India,2040,896891,208142,154494,158651,375604,23.207056375858382,17.225504548490285,17.688994537797793,41.87844453785354,catchall_60_65,primary,2051
