scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2012,China,EB-3,2061,total_created,2,128.0,16.97056274847714,11.999999999999998,,,2,0,0
Uncapped,2012,China,EB-4,2061,total_created,2,10.5,4.949747468305833,3.4999999999999996,,,2,0,0
Uncapped,2012,China,EB-5,2061,total_created,2,1532.0,2.8284271247461903,2.0,,,2,0,0
Uncapped,2012,ROW,EB-1,2061,total_created,2,5731.5,31.81980515339464,22.5,,,2,0,0
Uncapped,2012,ROW,EB-2,2061,total_created,2,8946.5,40.30508652763321,28.499999999999996,,,2,0,0
Uncapped,2012,ROW,EB-3,2061,total_created,2,2463.0,57.982756057296896,41.0,,,2,0,0
Uncapped,2012,ROW,EB-4,2061,total_created,2,5886.0,114.5512985522207,81.0,,,2,0,0
Uncapped,2012,ROW,EB-5,2061,total_created,2,608.5,81.31727983645297,57.5,,,2,0,0
Uncapped,2013,India,EB-1,2061,total_created,2,2522.5,17.67766952966369,12.5,,,2,0,0
Uncapped,2013,India,EB-2,2061,total_created,2,10081.0,9.899494936611665,6.999999999999999,,,2,0,0
Uncapped,2013,India,EB-3,2061,total_created,2,1589.0,25.45584412271571,18.0,,,2,0,0
Uncapped,2013,India,EB-4,2061,total_created,2,734.5,43.1335136523794,30.499999999999996,,,2,0,0
Uncapped,2013,India,EB-5,2061,total_created,2,29.5,3.5355339059327378,2.5,,,2,0,0
Uncapped,2013,China,EB-1,2061,total_created,2,947.5,20.506096654409877,14.499999999999998,,,2,0,0
Uncapped,2013,China,EB-2,2061,total_created,2,686.0,4.242640687119285,2.9999999999999996,,,2,0,0
Uncapped,2013,China,EB-3,2061,total_created,2,110.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2013,China,EB-4,2061,total_created,2,43.5,16.263455967290593,11.5,,,2,0,0
Uncapped,2013,China,EB-5,2061,total_created,2,1586.0,16.97056274847714,11.999999999999998,,,2,0,0
Uncapped,2013,ROW,EB-1,2061,total_created,2,6232.5,139.30003589374985,98.49999999999999,,,2,0,0
Uncapped,2013,ROW,EB-2,2061,total_created,2,7675.5,28.991378028648448,20.5,,,2,0,0
Uncapped,2013,ROW,EB-3,2061,total_created,2,2237.5,91.21677477306463,64.5,,,2,0,0
Uncapped,2013,ROW,EB-4,2061,total_created,2,11073.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2013,ROW,EB-5,2061,total_created,2,601.0,9.899494936611665,6.999999999999999,,,2,0,0
Uncapped,2014,India,EB-1,2061,total_created,2,3398.5,28.991378028648448,20.5,,,2,0,0
Uncapped,2014,India,EB-2,2061,total_created,2,11859.5,71.4177848998413,50.49999999999999,,,2,0,0
Uncapped,2014,India,EB-3,2061,total_created,2,1823.5,50.204581464244875,35.5,,,2,0,0
Uncapped,2014,India,EB-4,2061,total_created,2,546.5,33.23401871576773,23.499999999999996,,,2,0,0
Uncapped,2014,India,EB-5,2061,total_created,2,90.0,9.899494936611665,6.999999999999999,,,2,0,0
Uncapped,2014,China,EB-1,2061,total_created,2,1128.5,7.7781745930520225,5.499999999999999,,,2,0,0
Uncapped,2014,China,EB-2,2061,total_created,2,828.5,27.577164466275352,19.499999999999996,,,2,0,0
Uncapped,2014,China,EB-3,2061,total_created,2,1266.0,104.65180361560904,74.0,,,2,0,0
Uncapped,2014,China,EB-4,2061,total_created,2,31.0,0.0,0.0,,,2,0,0
Uncapped,2014,China,EB-5,2061,total_created,2,2144.0,103.23759005323593,72.99999999999999,,,2,0,0
Uncapped,2014,ROW,EB-1,2061,total_created,2,6222.0,50.91168824543142,36.0,,,2,0,0
Uncapped,2014,ROW,EB-2,2061,total_created,2,9162.0,14.142135623730951,10.0,,,2,0,0
Uncapped,2014,ROW,EB-3,2061,total_created,2,2768.5,58.68986283848344,41.49999999999999,,,2,0,0
Uncapped,2014,ROW,EB-4,2061,total_created,2,9209.5,180.31222920256963,127.5,,,2,0,0
Uncapped,2014,ROW,EB-5,2061,total_created,2,801.0,69.29646455628166,49.0,,,2,0,0
Uncapped,2015,India,EB-1,2061,total_created,2,3209.0,36.76955262170047,25.999999999999996,,,2,0,0
Uncapped,2015,India,EB-2,2061,total_created,2,14826.0,18.384776310850235,12.999999999999998,,,2,0,0
Uncapped,2015,India,EB-3,2061,total_created,2,2859.0,70.71067811865476,50.0,,,2,0,0
Uncapped,2015,India,EB-4,2061,total_created,2,1026.5,78.48885271170677,55.49999999999999,,,2,0,0
Uncapped,2015,India,EB-5,2061,total_created,2,245.5,10.606601717798213,7.5,,,2,0,0
Uncapped,2015,China,EB-1,2061,total_created,2,1312.5,20.506096654409877,14.499999999999998,,,2,0,0
Uncapped,2015,China,EB-2,2061,total_created,2,1092.0,114.5512985522207,81.0,,,2,0,0
Uncapped,2015,China,EB-3,2061,total_created,2,443.5,9.192388155425117,6.499999999999999,,,2,0,0
Uncapped,2015,China,EB-4,2061,total_created,2,56.5,6.363961030678928,4.5,,,2,0,0
Uncapped,2015,China,EB-5,2061,total_created,2,3488.0,4.242640687119285,2.9999999999999996,,,2,0,0
