case,role,age,median_age,near_zero_age,age_curve_S,conditional_annual_age_exit,age_only_retention_from_35,age_only_retention_from_45
catchall_60_65,primary,35,60,65,0.9999995961390896,3.2388953086215366e-07,1.0,
catchall_60_65,primary,36,60,65,0.9999992722496895,5.836431291594835e-07,0.9999996761104691,
catchall_60_65,primary,37,60,65,0.9999986886069852,1.0517139652499452e-06,0.999999092467529,
catchall_60_65,primary,38,60,65,0.9999976368943991,1.8951672283717969e-06,0.9999980407545183,
catchall_60_65,primary,39,60,65,0.9999957417316493,3.4150477060679307e-06,0.999996145591003,
catchall_60_65,primary,40,60,65,0.9999923266984854,6.1538204759736814e-06,0.9999927305564599,
catchall_60_65,primary,41,60,65,0.9999861729252295,1.108895769963425e-05,0.9999865767807188,
catchall_60_65,primary,42,60,65,0.9999750841208577,1.998171539752125e-05,0.9999754879718686,
catchall_60_65,primary,43,60,65,0.9999551029033221,3.600541756421105e-05,0.9999555067462634,
catchall_60_65,primary,44,60,65,0.9999190991022966,6.487694565182611e-05,0.9999195029306973,
catchall_60_65,primary,45,60,65,0.9998542274052479,0.00011689349572985286,0.9998546312074494,1.0
catchall_60_65,primary,46,60,65,0.9997373509493862,0.00021059574708726103,0.999737754704386,0.9998831065042701
catchall_60_65,primary,47,60,65,0.999526810515072,0.00037934602491973557,0.9995272141850426,0.999672535374456
catchall_60_65,primary,48,60,65,0.9991476439927024,0.0006831081805525052,0.9991480475095424,0.9992933135719402
catchall_60_65,primary,49,60,65,0.9984651180635112,0.0012294360419105033,0.9984655213047057,0.9986106881346678
catchall_60_65,primary,50,60,65,0.9972375690607735,0.0022105257540327994,0.9972379718062087,0.997382960162838
catchall_60_65,primary,51,60,65,0.9950331497314756,0.00396752614490703,0.9950335515866316,0.9951782194427646
catchall_60_65,primary,52,60,65,0.9910853296948667,0.007098663875114486,0.9910857299556519,0.9912298238382833
catchall_60_65,primary,53,60,65,0.9840499480678059,0.012630112269292892,0.9840503454872742,0.9841934164958664
catchall_60_65,primary,54,60,65,0.9716212867451176,0.02225279235858213,0.9716216791451335,0.9717629431508247
catchall_60_65,primary,55,60,65,0.9500000000000001,0.038553205355886466,0.9500003836680199,0.9501385041551247
catchall_60_65,primary,56,60,65,0.9133744549119079,0.06495935461926405,0.9133748237882958,0.9135076192878974
catchall_60_65,primary,57,60,65,0.8540422397951083,0.10478946132556455,0.8540425847095241,0.8541667538991752
catchall_60_65,primary,58,60,65,0.7645476135377003,0.15883601968644978,0.7645479223087203,0.7646590798758746
catchall_60_65,primary,59,60,65,0.643109913742598,0.22252792358582285,0.643110173469658,0.6432036752112876
catchall_60_65,primary,60,60,65,0.5,0.28621982748519603,0.5000002019305367,0.5000728969237498
catchall_60_65,primary,61,60,65,0.356890086257402,0.34026638584608115,0.3568902303914153,0.3569421186362119
catchall_60_65,primary,62,60,65,0.23545238646229966,0.38009649255238176,0.2354524815523532,0.23548671397162496
catchall_60_65,primary,63,60,65,0.14595776020489165,0.40650264181575924,0.14595781915154937,0.14597903994832434
catchall_60_65,primary,64,60,65,0.0866255450880921,0.42280305481306335,0.08662558007277774,0.08663817455960224
catchall_60_65,primary,65,60,65,0.05000000000000001,0.4324257349023529,0.05000002019305368,0.05000728969237499
catchall_60_65,primary,66,60,65,0.028378713254882358,0.43795718329653144,0.028378724715939958,0.028382850696674875
catchall_60_65,primary,67,60,65,0.015950051932194138,0.44108832102673856,0.015950058373799234,0.01595237735163315
catchall_60_65,primary,68,60,65,0.008914670305133338,0.4428453214176128,0.008914673905421657,0.008915970009216314
catchall_60_65,primary,69,60,65,0.004966850268524517,0.44382641112973487,0.0049668522744419985,0.004967574404735119
catchall_60_65,primary,70,60,65,0.0027624309392265205,0.44437273899109364,0.002762432054864845,0.0027628336846616023
catchall_60_65,primary,71,60,65,0.0015348819364886922,0.44467650114672597,0.0015348825563677587,0.0015351057128316706
catchall_60_65,primary,72,60,65,0.0008523560072975894,0.44484525142455833,0.0008523563515310014,0.0008524802755593327
catchall_60_65,primary,73,60,65,0.00047318948492806054,0.4449389536759163,0.0004731896760308739,0.00047325847304366457
catchall_60_65,primary,74,60,65,0.0002626490506137235,0.4449909702259932,0.00026264915668745104,0.0002626873432293546
catchall_60_65,primary,75,60,65,0.00014577259475218667,0.4450198417540816,0.00014577265362406328,0.0001457938474996356
catchall_60_65,primary,76,60,65,8.090089770348669e-05,0.4450358654562486,8.090093037621008e-05,8.091269255662904e-05
catchall_60_65,primary,77,60,65,4.489709667782805e-05,0.4450447582139454,4.489711481001771e-05,4.490364239829427e-05
catchall_60_65,primary,78,60,65,2.4915879142335934e-05,0.4450496933511702,2.491588920488963e-05,2.491951172421993e-05
catchall_60_65,primary,79,60,65,1.3827074770464509e-05,0.44505243212393886,1.3827080354681769e-05,1.382909067289496e-05
catchall_60_65,primary,80,60,65,7.673301514709726e-06,0.4450539520044178,7.673304613657512e-06,7.67442023486058e-06
catchall_60_65,primary,81,60,65,4.258268350666677e-06,0.445054795457681,4.258270070415504e-06,4.258889179993206e-06
catchall_60_65,primary,82,60,65,2.3631056008568025e-06,0.4450552635285159,2.3631065552231674e-06,2.3634501271143994e-06
catchall_60_65,primary,83,60,65,1.3113930149217664e-06,0.4450555232821152,1.311393544542357e-06,1.3115842079549958e-06
catchall_60_65,primary,84,60,65,7.27750310437249e-07,0.44505566743098646,7.277506043472706e-07,7.278564119550267e-07
catchall_60_65,primary,85,60,65,4.0386091030249154e-07,0.4450557474255993,4.038610734061923e-07,4.039197907384592e-07
catchall_55_60,sensitivity,35,55,60,0.9999923266984854,6.1538204759736814e-06,1.0,
catchall_55_60,sensitivity,36,55,60,0.9999861729252295,1.108895769963425e-05,0.999993846179524,
catchall_55_60,sensitivity,37,55,60,0.9999750841208577,1.998171539752125e-05,0.9999827572900638,
catchall_55_60,sensitivity,38,55,60,0.9999551029033221,3.600541756421105e-05,0.9999627759192051,
catchall_55_60,sensitivity,39,55,60,0.9999190991022966,6.487694565182611e-05,0.9999267718419095,
catchall_55_60,sensitivity,40,55,60,0.9998542274052479,0.00011689349572985286,0.9998618996470768,
catchall_55_60,sensitivity,41,55,60,0.9997373509493862,0.00021059574708726103,0.99974502229438,
catchall_55_60,sensitivity,42,55,60,0.999526810515072,0.00037934602491973557,0.9995344802445132,
catchall_55_60,sensitivity,43,55,60,0.9991476439927024,0.0006831081805525052,0.9991553108126622,
catchall_55_60,sensitivity,44,55,60,0.9984651180635112,0.0012294360419105033,0.9984727796462036,
catchall_55_60,sensitivity,45,55,60,0.9972375690607735,0.0022105257540327994,0.99724522122404,1.0
catchall_55_60,sensitivity,46,55,60,0.9950331497314756,0.00396752614490703,0.9950407849794382,0.9977894742459672
catchall_55_60,sensitivity,47,55,60,0.9910853296948667,0.007098663875114486,0.9910929346497833,0.9938307184197832
catchall_55_60,sensitivity,48,55,60,0.9840499480678059,0.012630112269292892,0.9840574990377037,0.9867758482009577
catchall_55_60,sensitivity,49,55,60,0.9716212867451176,0.02225279235858213,0.971628742345418,0.9743127584535528
catchall_55_60,sensitivity,50,55,60,0.9500000000000001,0.038553205355886466,0.950007289692375,0.9526315789473684
catchall_55_60,sensitivity,51,55,60,0.9133744549119079,0.06495935461926405,0.9133814635632758,0.9159045780557081
catchall_55_60,sensitivity,52,55,60,0.8540422397951083,0.10478946132556455,0.8540487931690065,0.85640800777238
catchall_55_60,sensitivity,53,55,60,0.7645476135377003,0.15883601968644978,0.7645534801870778,0.7666654739630124
catchall_55_60,sensitivity,54,55,60,0.643109913742598,0.22252792358582285,0.6431148485567395,0.6448913816477021
catchall_55_60,sensitivity,55,55,60,0.5,0.28621982748519603,0.5000038366801973,0.5013850415512465
catchall_55_60,sensitivity,56,55,60,0.356890086257402,0.34026638584608115,0.3568928248036551,0.3578787014547909
catchall_55_60,sensitivity,57,55,60,0.23545238646229966,0.38009649255238176,0.23545419317331676,0.23610460913948053
catchall_55_60,sensitivity,58,55,60,0.14595776020489165,0.40650264181575924,0.14595888019138809,0.14636207533011295
catchall_55_60,sensitivity,59,55,60,0.0866255450880921,0.42280305481306335,0.08662620979711895,0.08686550504678488
catchall_55_60,sensitivity,60,55,60,0.05000000000000001,0.4324257349023529,0.05000038366801974,0.050138504155124664
catchall_55_60,sensitivity,61,55,60,0.028378713254882358,0.43795718329653144,0.0283789310149767,0.028457324648940203
catchall_55_60,sensitivity,62,55,60,0.015950051932194138,0.44108832102673856,0.015950174322690927,0.015994234901535394
catchall_55_60,sensitivity,63,55,60,0.008914670305133338,0.4428453214176128,0.00891473871061139,0.008939364682709885
catchall_55_60,sensitivity,64,55,60,0.004966850268524517,0.44382641112973487,0.004966888380956653,0.004980608856525969
catchall_55_60,sensitivity,65,55,60,0.0027624309392265205,0.44437273899109364,0.0027624521363546826,0.0027700831024930757
catchall_55_60,sensitivity,66,55,60,0.0015348819364886922,0.44467650114672597,0.001534893714190954,0.0015391336870052813
catchall_55_60,sensitivity,67,55,60,0.0008523560072975894,0.44484525142455833,0.0008523625477324179,0.0008547171042707128
catchall_55_60,sensitivity,68,55,60,0.00047318948492806054,0.4449389536759163,0.0004731931158815133,0.00047450025912453714
catchall_55_60,sensitivity,69,55,60,0.0002626490506137235,0.4449909702259932,0.0002626510660145462,0.0002633766103107144
catchall_55_60,sensitivity,70,55,60,0.00014577259475218667,0.4450198417540816,0.00014577371331784186,0.00014617639695371627
catchall_55_60,sensitivity,71,55,60,8.090089770348669e-05,0.4450358654562486,8.090151848523102e-05,8.112499991319164e-05
catchall_55_60,sensitivity,72,55,60,4.489709667782805e-05,0.4450447582139454,4.489744118943153e-05,4.5021465366686296e-05
catchall_55_60,sensitivity,73,55,60,2.4915879142335934e-05,0.4450496933511702,2.4916070330856143e-05,2.4984898198131875e-05
catchall_55_60,sensitivity,74,55,60,1.3827074770464509e-05,0.44505243212393886,1.3827180870592426e-05,1.386537691664308e-05
catchall_55_60,sensitivity,75,55,60,7.673301514709726e-06,0.4450539520044178,7.673360394717664e-06,7.694557197575957e-06
catchall_55_60,sensitivity,76,55,60,4.258268350666677e-06,0.445054795457681,4.258301025894389e-06,4.270064107870739e-06
catchall_55_60,sensitivity,77,55,60,2.3631056008568025e-06,0.4450552635285159,2.3631237338177285e-06,2.3696515997511427e-06
catchall_55_60,sensitivity,78,55,60,1.3113930149217664e-06,0.4450555232821152,1.3114030777129888e-06,1.3150256825531285e-06
catchall_55_60,sensitivity,79,55,60,7.27750310437249e-07,0.44505566743098646,7.277558947276583e-07,7.297662392750253e-07
catchall_55_60,sensitivity,80,55,60,4.0386091030249154e-07,0.4450557474255993,4.038640092728056e-07,4.049796385858779e-07
catchall_55_60,sensitivity,81,55,60,2.2412029101183328e-07,0.4450557918181556,2.2412201076759797e-07,2.24741122842891e-07
catchall_55_60,sensitivity,82,55,60,1.2437425743304637e-07,0.4450558164535485,1.2437521180154746e-07,1.2471878446194676e-07
catchall_55_60,sensitivity,83,55,60,6.90207707453781e-08,0.445055830124816,6.902130036662673e-08,6.921196401614091e-08
