case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,nationality,ROW,principal_backlog_2040,Capped minus uncapped,50,-399626.46,954.1553206466792,134.9379395068983,-399897.62794178235,-399355.2920582177,0,0,50
catchall_60_65,primary,category,EB-1,age21_events_2025_2040,Capped,50,2513.86,63.49289209776773,8.979250911895463,2495.8155197194847,2531.9044802805156,50,0,0
catchall_60_65,primary,category,EB-1,age21_events_2025_2040,Uncapped,50,749.94,32.23030010561427,4.558052752871469,740.7802500583008,759.0997499416993,50,0,0
catchall_60_65,primary,category,EB-1,age21_events_2025_2040,Capped minus uncapped,50,1763.92,64.39921409078067,9.107424197335055,1745.6179458590038,1782.2220541409963,50,0,0
catchall_60_65,primary,category,EB-1,principal_exits_2025_2040,Capped,50,15781.78,127.79117052952495,18.072400651438716,15745.46215117539,15818.097848824611,50,0,0
catchall_60_65,primary,category,EB-1,principal_exits_2025_2040,Uncapped,50,16534.0,136.6477670688327,19.32491254567428,16495.165134288523,16572.834865711477,50,0,0
catchall_60_65,primary,category,EB-1,principal_exits_2025_2040,Capped minus uncapped,50,-752.22,118.07681519127404,16.698583344532125,-785.7770595843106,-718.6629404156895,0,0,50
catchall_60_65,primary,category,EB-1,principal_backlog_2040,Capped,50,129345.56,327.7745093499368,46.35431565228674,129252.4075151311,129438.7124848689,50,0,0
catchall_60_65,primary,category,EB-1,principal_backlog_2040,Uncapped,50,125335.5,322.10425806130615,45.552421024842246,125243.95898271719,125427.04101728281,50,0,0
catchall_60_65,primary,category,EB-1,principal_backlog_2040,Capped minus uncapped,50,4010.06,190.56590375371294,26.950088561438672,3955.901769388493,4064.218230611507,50,0,0
catchall_60_65,primary,category,EB-2,age21_events_2025_2040,Capped,50,149846.08,404.2582948803794,57.170756332165446,149731.19106378692,149960.96893621306,50,0,0
catchall_60_65,primary,category,EB-2,age21_events_2025_2040,Uncapped,50,108480.26,344.84973420850054,48.76911710984185,108382.2547899194,108578.26521008059,50,0,0
catchall_60_65,primary,category,EB-2,age21_events_2025_2040,Capped minus uncapped,50,41365.82,352.1097167830806,49.7958336917982,41265.751525700754,41465.888474299245,50,0,0
catchall_60_65,primary,category,EB-2,principal_exits_2025_2040,Capped,50,309215.96,532.7671298924864,75.34465006805426,309064.5492569731,309367.37074302696,50,0,0
catchall_60_65,primary,category,EB-2,principal_exits_2025_2040,Uncapped,50,282662.88,431.7029704482905,61.05201957247239,282540.19137329044,282785.5686267096,50,0,0
catchall_60_65,primary,category,EB-2,principal_exits_2025_2040,Capped minus uncapped,50,26553.08,607.0916563284933,85.85572539833012,26380.54646027375,26725.613539726255,50,0,0
catchall_60_65,primary,category,EB-2,principal_backlog_2040,Capped,50,1041792.14,645.4909857256422,91.2862106402781,1041608.6934916059,1041975.5865083941,50,0,0
catchall_60_65,primary,category,EB-2,principal_backlog_2040,Uncapped,50,1059789.0,607.0168944964231,85.84515247864397,1059616.4877073513,1059961.5122926487,50,0,0
catchall_60_65,primary,category,EB-2,principal_backlog_2040,Capped minus uncapped,50,-17996.86,712.9208677500395,100.82223600709015,-18199.46986883185,-17794.25013116815,0,0,50
catchall_60_65,primary,category,EB-3,age21_events_2025_2040,Capped,50,63563.84,264.77686871039475,37.44510387329206,63488.5912465045,63639.088753495496,50,0,0
catchall_60_65,primary,category,EB-3,age21_events_2025_2040,Uncapped,50,40211.84,229.95947824052186,32.521181292398666,40146.4862393926,40277.19376060739,50,0,0
