annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
0,5014,EB-1,China,0,Uncapped,2011,catchall_60_65,primary,2014
0,20304,EB-1,ROW,0,Uncapped,2011,catchall_60_65,primary,2014
697,14130,EB-2,India,37750,Uncapped,2011,catchall_60_65,primary,2014
230,8157,EB-2,China,8004,Uncapped,2011,catchall_60_65,primary,2014
72,34262,EB-2,ROW,2955,Uncapped,2011,catchall_60_65,primary,2014
2352,2789,EB-3,India,87880,Uncapped,2011,catchall_60_65,primary,2014
1020,2789,EB-3,China,25703,Uncapped,2011,catchall_60_65,primary,2014
2350,34262,EB-3,ROW,58666,Uncapped,2011,catchall_60_65,primary,2014
7,93,EB-4,India,209,Uncapped,2011,catchall_60_65,primary,2014
0,14,EB-4,China,12,Uncapped,2011,catchall_60_65,primary,2014
245,6274,EB-4,ROW,4896,Uncapped,2011,catchall_60_65,primary,2014
0,54,EB-5,India,0,Uncapped,2011,catchall_60_65,primary,2014
0,2656,EB-5,China,0,Uncapped,2011,catchall_60_65,primary,2014
0,1181,EB-5,ROW,0,Uncapped,2011,catchall_60_65,primary,2014
0,8479,EB-1,India,0,Uncapped,2012,catchall_60_65,primary,2014
0,5557,EB-1,China,0,Uncapped,2012,catchall_60_65,primary,2014
0,20952,EB-1,ROW,0,Uncapped,2012,catchall_60_65,primary,2014
939,12757,EB-2,India,53654,Uncapped,2012,catchall_60_65,primary,2014
257,3486,EB-2,China,9661,Uncapped,2012,catchall_60_65,primary,2014
81,35577,EB-2,ROW,3409,Uncapped,2012,catchall_60_65,primary,2014
2416,2896,EB-3,India,88328,Uncapped,2012,catchall_60_65,primary,2014
945,2896,EB-3,China,23607,Uncapped,2012,catchall_60_65,primary,2014
1869,35577,EB-3,ROW,45384,Uncapped,2012,catchall_60_65,primary,2014
13,390,EB-4,India,532,Uncapped,2012,catchall_60_65,primary,2014
1,17,EB-4,China,22,Uncapped,2012,catchall_60_65,primary,2014
592,7071,EB-4,ROW,11107,Uncapped,2012,catchall_60_65,primary,2014
0,98,EB-5,India,0,Uncapped,2012,catchall_60_65,primary,2014
0,7045,EB-5,China,0,Uncapped,2012,catchall_60_65,primary,2014
0,1849,EB-5,ROW,0,Uncapped,2012,catchall_60_65,primary,2014
0,11129,EB-1,India,0,Uncapped,2013,catchall_60_65,primary,2014
0,6792,EB-1,China,0,Uncapped,2013,catchall_60_65,primary,2014
0,23213,EB-1,ROW,0,Uncapped,2013,catchall_60_65,primary,2014
1168,16533,EB-2,India,66252,Uncapped,2013,catchall_60_65,primary,2014
322,3229,EB-2,China,10876,Uncapped,2013,catchall_60_65,primary,2014
0,38690,EB-2,ROW,0,Uncapped,2013,catchall_60_65,primary,2014
2401,3229,EB-3,India,87893,Uncapped,2013,catchall_60_65,primary,2014
848,3229,EB-3,China,21437,Uncapped,2013,catchall_60_65,primary,2014
