case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
historical_replay,replay,category,EB-3,principal_exits_2025_2040,Uncapped,1,252845.0,,,,,1,0,0
historical_replay,replay,category,EB-3,principal_exits_2025_2040,Capped minus uncapped,1,-7493.0,,,,,0,0,1
historical_replay,replay,category,EB-3,principal_backlog_2040,Capped,1,557431.0,,,,,1,0,0
historical_replay,replay,category,EB-3,principal_backlog_2040,Uncapped,1,561432.0,,,,,1,0,0
historical_replay,replay,category,EB-3,principal_backlog_2040,Capped minus uncapped,1,-4001.0,,,,,0,0,1
historical_replay,replay,category,EB-4,age21_events_2025_2040,Capped,1,49401.0,,,,,1,0,0
historical_replay,replay,category,EB-4,age21_events_2025_2040,Uncapped,1,49504.0,,,,,1,0,0
historical_replay,replay,category,EB-4,age21_events_2025_2040,Capped minus uncapped,1,-103.0,,,,,0,0,1
historical_replay,replay,category,EB-4,principal_exits_2025_2040,Capped,1,519699.0,,,,,1,0,0
historical_replay,replay,category,EB-4,principal_exits_2025_2040,Uncapped,1,519813.0,,,,,1,0,0
historical_replay,replay,category,EB-4,principal_exits_2025_2040,Capped minus uncapped,1,-114.0,,,,,0,0,1
historical_replay,replay,category,EB-4,principal_backlog_2040,Capped,1,1022443.0,,,,,1,0,0
historical_replay,replay,category,EB-4,principal_backlog_2040,Uncapped,1,1020228.0,,,,,1,0,0
historical_replay,replay,category,EB-4,principal_backlog_2040,Capped minus uncapped,1,2215.0,,,,,1,0,0
historical_replay,replay,category,EB-5,age21_events_2025_2040,Capped,1,1597.0,,,,,1,0,0
historical_replay,replay,category,EB-5,age21_events_2025_2040,Uncapped,1,678.0,,,,,1,0,0
historical_replay,replay,category,EB-5,age21_events_2025_2040,Capped minus uncapped,1,919.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_exits_2025_2040,Capped,1,4271.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_exits_2025_2040,Uncapped,1,3726.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_exits_2025_2040,Capped minus uncapped,1,545.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_backlog_2040,Capped,1,28062.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_backlog_2040,Uncapped,1,28182.0,,,,,1,0,0
historical_replay,replay,category,EB-5,principal_backlog_2040,Capped minus uncapped,1,-120.0,,,,,0,0,1
historical_replay,replay,joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1,1475.0,,,,,1,0,0
historical_replay,replay,joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,1,940.0,,,,,1,0,0
historical_replay,replay,joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-568.0,,,,,0,0,1
historical_replay,replay,joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,1,73989.0,,,,,1,0,0
historical_replay,replay,joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,1,466.0,,,,,1,0,0
historical_replay,replay,joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-36812.0,,,,,0,0,1
historical_replay,replay,joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,1,42738.0,,,,,1,0,0
historical_replay,replay,joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,1,1584.0,,,,,1,0,0
historical_replay,replay,joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-22832.0,,,,,0,0,1
historical_replay,replay,joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,1,-816.0,,,,,0,0,1
historical_replay,replay,joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,1,-122.0,,,,,0,0,1
historical_replay,replay,joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,1,835.0,,,,,1,0,0
historical_replay,replay,joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,1,205.0,,,,,1,0,0
historical_replay,replay,joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,1,1098.0,,,,,1,0,0
historical_replay,replay,joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-384.0,,,,,0,0,1
