category,model_entry_year,nationality,principal_and_active_derivative_backlog,principal_backlog,scenario,year,case,role,seed
EB-1,2022,China,4819,2338,Uncapped,2023,catchall_60_65,primary,2014
EB-1,2023,China,14321,6988,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2016,China,4020,2285,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2017,China,9286,5220,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2018,China,12229,6916,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2019,China,15880,9035,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2020,China,16916,9517,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2021,China,15526,8791,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2022,China,17051,9557,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2023,China,21598,12093,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2013,China,213,121,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2014,China,5126,2686,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2015,China,1788,918,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2016,China,4717,2503,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2017,China,6797,3543,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2018,China,6504,3418,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2019,China,6126,3241,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2020,China,7575,3932,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2021,China,17492,9109,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2022,China,7051,3698,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2023,China,6223,3236,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2017,China,5831,2457,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2018,China,20921,8675,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2019,China,5476,2280,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2020,China,3822,1613,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2021,China,3396,1391,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2022,China,786,328,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2023,China,2887,1221,Uncapped,2023,catchall_60_65,primary,2014
EB-1,2022,India,10708,4450,Uncapped,2023,catchall_60_65,primary,2014
EB-1,2023,India,26067,10792,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2013,India,21524,9526,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2014,India,48241,21236,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2015,India,61649,27084,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2016,India,94397,41392,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2017,India,82949,36209,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2018,India,80106,34979,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2019,India,90773,39644,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2020,India,74957,32610,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2021,India,81877,35663,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2022,India,100141,43601,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2023,India,88077,38378,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2009,India,71995,32561,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2010,India,11050,4925,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2011,India,11665,5175,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2012,India,7137,3124,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2013,India,5961,2582,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2014,India,6967,2973,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2015,India,11846,5112,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2016,India,19272,8278,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2017,India,16387,7038,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2018,India,16196,6970,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2019,India,22703,9758,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2020,India,18913,8165,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2021,India,103814,44401,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2022,India,36333,15483,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2023,India,28625,12199,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2016,India,677,292,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2017,India,1184,518,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2018,India,1022,436,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2019,India,1372,632,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2020,India,1647,762,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2021,India,1325,589,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2022,India,3280,1366,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2023,India,3811,1681,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2019,India,930,354,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2020,India,731,277,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2021,India,888,348,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2022,India,238,94,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2023,India,1030,393,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2022,ROW,24237,10843,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2023,ROW,65179,29328,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2022,ROW,41143,19700,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2023,ROW,83147,39543,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2016,ROW,31407,18570,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2017,ROW,25228,15146,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2018,ROW,17523,9258,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2019,ROW,38729,26299,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2020,ROW,53460,40542,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2021,ROW,40720,24422,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2022,ROW,61729,34599,Uncapped,2023,catchall_60_65,primary,2014
EB-4,2023,ROW,82462,63025,Uncapped,2023,catchall_60_65,primary,2014
EB-1,2023,China,13332,6513,Uncapped,2024,catchall_60_65,primary,2014
EB-1,2024,China,12921,6287,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2016,China,645,368,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2017,China,9038,5096,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2018,China,11887,6755,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2019,China,15533,8843,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2020,China,16447,9269,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2021,China,15042,8533,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2022,China,16595,9301,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2023,China,21103,11807,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2024,China,20888,11792,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2014,China,1911,1004,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2015,China,1714,884,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2016,China,4520,2420,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2017,China,6487,3422,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2018,China,6267,3307,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2019,China,5918,3139,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2020,China,7305,3797,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2021,China,16848,8791,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2022,China,6774,3554,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2023,China,6019,3127,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2024,China,13454,7009,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2018,China,19014,7961,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2019,China,5376,2239,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2020,China,3775,1594,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2021,China,3365,1378,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2022,China,779,325,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2023,China,2859,1211,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2024,China,7021,2893,Uncapped,2024,catchall_60_65,primary,2014
EB-1,2023,India,24042,9956,Uncapped,2024,catchall_60_65,primary,2014
EB-1,2024,India,21050,8705,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2013,India,17730,7924,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2014,India,47313,20971,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2015,India,60428,26676,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2016,India,92681,40786,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2017,India,81492,35653,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2018,India,78953,34514,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2019,India,89390,39071,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2020,India,73488,32001,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2021,India,80355,35000,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2022,India,98306,42805,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2023,India,86491,37703,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2024,India,87361,38038,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2009,India,66235,30396,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2010,India,10732,4838,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2011,India,11365,5093,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2012,India,7005,3087,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2013,India,5830,2544,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2014,India,6845,2938,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2015,India,11555,5007,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2016,India,18798,8085,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2017,India,16012,6887,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2018,India,15871,6832,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2019,India,22246,9572,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2020,India,18392,7942,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2021,India,101117,43249,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2022,India,35392,15072,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2023,India,27804,11853,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2024,India,22878,9844,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2017,India,943,425,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2018,India,957,414,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2019,India,1327,614,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2020,India,1572,734,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2021,India,1264,568,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2022,India,3174,1330,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2023,India,3657,1607,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2024,India,3346,1597,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2019,India,94,34,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2020,India,717,274,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2021,India,886,347,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2022,India,234,92,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2023,India,1015,389,Uncapped,2024,catchall_60_65,primary,2014
EB-5,2024,India,2682,1016,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2023,ROW,46980,21101,Uncapped,2024,catchall_60_65,primary,2014
EB-2,2024,ROW,52416,23404,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2023,ROW,79864,37995,Uncapped,2024,catchall_60_65,primary,2014
EB-3,2024,ROW,76329,36234,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2016,ROW,19338,11692,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2017,ROW,23726,14452,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2018,ROW,16596,8849,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2019,ROW,36883,25297,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2020,ROW,50435,38422,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2021,ROW,38484,23143,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2022,ROW,58475,32891,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2023,ROW,78299,59898,Uncapped,2024,catchall_60_65,primary,2014
EB-4,2024,ROW,100158,80022,Uncapped,2024,catchall_60_65,primary,2014
EB-1,2022,China,4819,2338,Capped,2023,catchall_60_65,primary,2014
EB-1,2023,China,14321,6988,Capped,2023,catchall_60_65,primary,2014
EB-2,2016,China,4020,2285,Capped,2023,catchall_60_65,primary,2014
EB-2,2017,China,9286,5220,Capped,2023,catchall_60_65,primary,2014
EB-2,2018,China,12229,6916,Capped,2023,catchall_60_65,primary,2014
EB-2,2019,China,15880,9035,Capped,2023,catchall_60_65,primary,2014
EB-2,2020,China,16916,9517,Capped,2023,catchall_60_65,primary,2014
EB-2,2021,China,15526,8791,Capped,2023,catchall_60_65,primary,2014
EB-2,2022,China,17051,9557,Capped,2023,catchall_60_65,primary,2014
EB-2,2023,China,21598,12093,Capped,2023,catchall_60_65,primary,2014
EB-3,2013,China,213,121,Capped,2023,catchall_60_65,primary,2014
EB-3,2014,China,5126,2686,Capped,2023,catchall_60_65,primary,2014
EB-3,2015,China,1788,918,Capped,2023,catchall_60_65,primary,2014
EB-3,2016,China,4717,2503,Capped,2023,catchall_60_65,primary,2014
EB-3,2017,China,6797,3543,Capped,2023,catchall_60_65,primary,2014
EB-3,2018,China,6504,3418,Capped,2023,catchall_60_65,primary,2014
EB-3,2019,China,6126,3241,Capped,2023,catchall_60_65,primary,2014
EB-3,2020,China,7575,3932,Capped,2023,catchall_60_65,primary,2014
EB-3,2021,China,17492,9109,Capped,2023,catchall_60_65,primary,2014
EB-3,2022,China,7051,3698,Capped,2023,catchall_60_65,primary,2014
EB-3,2023,China,6223,3236,Capped,2023,catchall_60_65,primary,2014
EB-5,2017,China,5831,2457,Capped,2023,catchall_60_65,primary,2014
EB-5,2018,China,20921,8675,Capped,2023,catchall_60_65,primary,2014
EB-5,2019,China,5476,2280,Capped,2023,catchall_60_65,primary,2014
EB-5,2020,China,3822,1613,Capped,2023,catchall_60_65,primary,2014
EB-5,2021,China,3396,1391,Capped,2023,catchall_60_65,primary,2014
EB-5,2022,China,786,328,Capped,2023,catchall_60_65,primary,2014
EB-5,2023,China,2887,1221,Capped,2023,catchall_60_65,primary,2014
EB-1,2022,India,10708,4450,Capped,2023,catchall_60_65,primary,2014
EB-1,2023,India,26067,10792,Capped,2023,catchall_60_65,primary,2014
EB-2,2013,India,21524,9526,Capped,2023,catchall_60_65,primary,2014
EB-2,2014,India,48241,21236,Capped,2023,catchall_60_65,primary,2014
EB-2,2015,India,61649,27084,Capped,2023,catchall_60_65,primary,2014
EB-2,2016,India,94397,41392,Capped,2023,catchall_60_65,primary,2014
EB-2,2017,India,82949,36209,Capped,2023,catchall_60_65,primary,2014
EB-2,2018,India,80106,34979,Capped,2023,catchall_60_65,primary,2014
EB-2,2019,India,90773,39644,Capped,2023,catchall_60_65,primary,2014
EB-2,2020,India,74957,32610,Capped,2023,catchall_60_65,primary,2014
EB-2,2021,India,81877,35663,Capped,2023,catchall_60_65,primary,2014
EB-2,2022,India,100141,43601,Capped,2023,catchall_60_65,primary,2014
EB-2,2023,India,88077,38378,Capped,2023,catchall_60_65,primary,2014
EB-3,2009,India,71995,32561,Capped,2023,catchall_60_65,primary,2014
EB-3,2010,India,11050,4925,Capped,2023,catchall_60_65,primary,2014
EB-3,2011,India,11665,5175,Capped,2023,catchall_60_65,primary,2014
EB-3,2012,India,7137,3124,Capped,2023,catchall_60_65,primary,2014
EB-3,2013,India,5961,2582,Capped,2023,catchall_60_65,primary,2014
EB-3,2014,India,6967,2973,Capped,2023,catchall_60_65,primary,2014
EB-3,2015,India,11846,5112,Capped,2023,catchall_60_65,primary,2014
EB-3,2016,India,19272,8278,Capped,2023,catchall_60_65,primary,2014
EB-3,2017,India,16387,7038,Capped,2023,catchall_60_65,primary,2014
EB-3,2018,India,16196,6970,Capped,2023,catchall_60_65,primary,2014
EB-3,2019,India,22703,9758,Capped,2023,catchall_60_65,primary,2014
EB-3,2020,India,18913,8165,Capped,2023,catchall_60_65,primary,2014
EB-3,2021,India,103814,44401,Capped,2023,catchall_60_65,primary,2014
EB-3,2022,India,36333,15483,Capped,2023,catchall_60_65,primary,2014
EB-3,2023,India,28625,12199,Capped,2023,catchall_60_65,primary,2014
EB-4,2016,India,677,292,Capped,2023,catchall_60_65,primary,2014
EB-4,2017,India,1184,518,Capped,2023,catchall_60_65,primary,2014
EB-4,2018,India,1022,436,Capped,2023,catchall_60_65,primary,2014
EB-4,2019,India,1372,632,Capped,2023,catchall_60_65,primary,2014
EB-4,2020,India,1647,762,Capped,2023,catchall_60_65,primary,2014
EB-4,2021,India,1325,589,Capped,2023,catchall_60_65,primary,2014
EB-4,2022,India,3280,1366,Capped,2023,catchall_60_65,primary,2014
EB-4,2023,India,3811,1681,Capped,2023,catchall_60_65,primary,2014
EB-5,2019,India,930,354,Capped,2023,catchall_60_65,primary,2014
EB-5,2020,India,731,277,Capped,2023,catchall_60_65,primary,2014
EB-5,2021,India,888,348,Capped,2023,catchall_60_65,primary,2014
EB-5,2022,India,238,94,Capped,2023,catchall_60_65,primary,2014
EB-5,2023,India,1030,393,Capped,2023,catchall_60_65,primary,2014
EB-2,2022,ROW,24237,10843,Capped,2023,catchall_60_65,primary,2014
EB-2,2023,ROW,65179,29328,Capped,2023,catchall_60_65,primary,2014
EB-3,2022,ROW,41143,19700,Capped,2023,catchall_60_65,primary,2014
EB-3,2023,ROW,83147,39543,Capped,2023,catchall_60_65,primary,2014
EB-4,2016,ROW,31407,18570,Capped,2023,catchall_60_65,primary,2014
EB-4,2017,ROW,25228,15146,Capped,2023,catchall_60_65,primary,2014
EB-4,2018,ROW,17523,9258,Capped,2023,catchall_60_65,primary,2014
EB-4,2019,ROW,38729,26299,Capped,2023,catchall_60_65,primary,2014
EB-4,2020,ROW,53460,40542,Capped,2023,catchall_60_65,primary,2014
EB-4,2021,ROW,40720,24422,Capped,2023,catchall_60_65,primary,2014
EB-4,2022,ROW,61729,34599,Capped,2023,catchall_60_65,primary,2014
EB-4,2023,ROW,82462,63025,Capped,2023,catchall_60_65,primary,2014
EB-1,2023,China,13332,6513,Capped,2024,catchall_60_65,primary,2014
EB-1,2024,China,12921,6287,Capped,2024,catchall_60_65,primary,2014
EB-2,2016,China,645,368,Capped,2024,catchall_60_65,primary,2014
EB-2,2017,China,9038,5096,Capped,2024,catchall_60_65,primary,2014
EB-2,2018,China,11887,6755,Capped,2024,catchall_60_65,primary,2014
EB-2,2019,China,15533,8843,Capped,2024,catchall_60_65,primary,2014
EB-2,2020,China,16447,9269,Capped,2024,catchall_60_65,primary,2014
EB-2,2021,China,15042,8533,Capped,2024,catchall_60_65,primary,2014
EB-2,2022,China,16595,9301,Capped,2024,catchall_60_65,primary,2014
EB-2,2023,China,21103,11807,Capped,2024,catchall_60_65,primary,2014
EB-2,2024,China,20888,11792,Capped,2024,catchall_60_65,primary,2014
EB-3,2014,China,1911,1004,Capped,2024,catchall_60_65,primary,2014
EB-3,2015,China,1714,884,Capped,2024,catchall_60_65,primary,2014
EB-3,2016,China,4520,2420,Capped,2024,catchall_60_65,primary,2014
EB-3,2017,China,6487,3422,Capped,2024,catchall_60_65,primary,2014
EB-3,2018,China,6267,3307,Capped,2024,catchall_60_65,primary,2014
EB-3,2019,China,5918,3139,Capped,2024,catchall_60_65,primary,2014
EB-3,2020,China,7305,3797,Capped,2024,catchall_60_65,primary,2014
EB-3,2021,China,16848,8791,Capped,2024,catchall_60_65,primary,2014
EB-3,2022,China,6774,3554,Capped,2024,catchall_60_65,primary,2014
EB-3,2023,China,6019,3127,Capped,2024,catchall_60_65,primary,2014
EB-3,2024,China,13454,7009,Capped,2024,catchall_60_65,primary,2014
EB-5,2018,China,19014,7961,Capped,2024,catchall_60_65,primary,2014
EB-5,2019,China,5376,2239,Capped,2024,catchall_60_65,primary,2014
EB-5,2020,China,3775,1594,Capped,2024,catchall_60_65,primary,2014
EB-5,2021,China,3365,1378,Capped,2024,catchall_60_65,primary,2014
EB-5,2022,China,779,325,Capped,2024,catchall_60_65,primary,2014
EB-5,2023,China,2859,1211,Capped,2024,catchall_60_65,primary,2014
EB-5,2024,China,7021,2893,Capped,2024,catchall_60_65,primary,2014
EB-1,2023,India,24042,9956,Capped,2024,catchall_60_65,primary,2014
EB-1,2024,India,21050,8705,Capped,2024,catchall_60_65,primary,2014
EB-2,2013,India,17730,7924,Capped,2024,catchall_60_65,primary,2014
EB-2,2014,India,47313,20971,Capped,2024,catchall_60_65,primary,2014
EB-2,2015,India,60428,26676,Capped,2024,catchall_60_65,primary,2014
EB-2,2016,India,92681,40786,Capped,2024,catchall_60_65,primary,2014
EB-2,2017,India,81492,35653,Capped,2024,catchall_60_65,primary,2014
EB-2,2018,India,78953,34514,Capped,2024,catchall_60_65,primary,2014
EB-2,2019,India,89390,39071,Capped,2024,catchall_60_65,primary,2014
EB-2,2020,India,73488,32001,Capped,2024,catchall_60_65,primary,2014
EB-2,2021,India,80355,35000,Capped,2024,catchall_60_65,primary,2014
EB-2,2022,India,98306,42805,Capped,2024,catchall_60_65,primary,2014
EB-2,2023,India,86491,37703,Capped,2024,catchall_60_65,primary,2014
EB-2,2024,India,87361,38038,Capped,2024,catchall_60_65,primary,2014
EB-3,2009,India,66235,30396,Capped,2024,catchall_60_65,primary,2014
EB-3,2010,India,10732,4838,Capped,2024,catchall_60_65,primary,2014
EB-3,2011,India,11365,5093,Capped,2024,catchall_60_65,primary,2014
EB-3,2012,India,7005,3087,Capped,2024,catchall_60_65,primary,2014
EB-3,2013,India,5830,2544,Capped,2024,catchall_60_65,primary,2014
EB-3,2014,India,6845,2938,Capped,2024,catchall_60_65,primary,2014
EB-3,2015,India,11555,5007,Capped,2024,catchall_60_65,primary,2014
EB-3,2016,India,18798,8085,Capped,2024,catchall_60_65,primary,2014
EB-3,2017,India,16012,6887,Capped,2024,catchall_60_65,primary,2014
EB-3,2018,India,15871,6832,Capped,2024,catchall_60_65,primary,2014
EB-3,2019,India,22246,9572,Capped,2024,catchall_60_65,primary,2014
EB-3,2020,India,18392,7942,Capped,2024,catchall_60_65,primary,2014
EB-3,2021,India,101117,43249,Capped,2024,catchall_60_65,primary,2014
EB-3,2022,India,35392,15072,Capped,2024,catchall_60_65,primary,2014
EB-3,2023,India,27804,11853,Capped,2024,catchall_60_65,primary,2014
EB-3,2024,India,22878,9844,Capped,2024,catchall_60_65,primary,2014
EB-4,2017,India,943,425,Capped,2024,catchall_60_65,primary,2014
EB-4,2018,India,957,414,Capped,2024,catchall_60_65,primary,2014
EB-4,2019,India,1327,614,Capped,2024,catchall_60_65,primary,2014
EB-4,2020,India,1572,734,Capped,2024,catchall_60_65,primary,2014
EB-4,2021,India,1264,568,Capped,2024,catchall_60_65,primary,2014
EB-4,2022,India,3174,1330,Capped,2024,catchall_60_65,primary,2014
EB-4,2023,India,3657,1607,Capped,2024,catchall_60_65,primary,2014
EB-4,2024,India,3346,1597,Capped,2024,catchall_60_65,primary,2014
EB-5,2019,India,94,34,Capped,2024,catchall_60_65,primary,2014
EB-5,2020,India,717,274,Capped,2024,catchall_60_65,primary,2014
EB-5,2021,India,886,347,Capped,2024,catchall_60_65,primary,2014
EB-5,2022,India,234,92,Capped,2024,catchall_60_65,primary,2014
EB-5,2023,India,1015,389,Capped,2024,catchall_60_65,primary,2014
EB-5,2024,India,2682,1016,Capped,2024,catchall_60_65,primary,2014
EB-2,2023,ROW,46980,21101,Capped,2024,catchall_60_65,primary,2014
EB-2,2024,ROW,52416,23404,Capped,2024,catchall_60_65,primary,2014
EB-3,2023,ROW,79864,37995,Capped,2024,catchall_60_65,primary,2014
EB-3,2024,ROW,76329,36234,Capped,2024,catchall_60_65,primary,2014
EB-4,2016,ROW,19338,11692,Capped,2024,catchall_60_65,primary,2014
EB-4,2017,ROW,23726,14452,Capped,2024,catchall_60_65,primary,2014
EB-4,2018,ROW,16596,8849,Capped,2024,catchall_60_65,primary,2014
EB-4,2019,ROW,36883,25297,Capped,2024,catchall_60_65,primary,2014
EB-4,2020,ROW,50435,38422,Capped,2024,catchall_60_65,primary,2014
EB-4,2021,ROW,38484,23143,Capped,2024,catchall_60_65,primary,2014
EB-4,2022,ROW,58475,32891,Capped,2024,catchall_60_65,primary,2014
EB-4,2023,ROW,78299,59898,Capped,2024,catchall_60_65,primary,2014
EB-4,2024,ROW,100158,80022,Capped,2024,catchall_60_65,primary,2014
EB-1,2022,China,4761,2332,Uncapped,2023,catchall_60_65,primary,2015
EB-1,2023,China,14837,7181,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2016,China,3982,2261,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2017,China,9099,5146,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2018,China,11603,6569,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2019,China,16381,9221,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2020,China,16967,9646,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2021,China,16048,9032,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2022,China,16748,9462,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2023,China,21492,12085,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2013,China,245,132,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2014,China,4979,2687,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2015,China,1893,1009,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2016,China,4788,2491,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2017,China,6740,3487,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2018,China,6682,3432,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2019,China,5920,3115,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2020,China,7503,3913,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2021,China,17474,9116,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2022,China,7056,3624,Uncapped,2023,catchall_60_65,primary,2015
EB-3,2023,China,6225,3233,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2017,China,5876,2436,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2018,China,21266,8872,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2019,China,5457,2239,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2020,China,3915,1620,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2021,China,3421,1400,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2022,China,798,337,Uncapped,2023,catchall_60_65,primary,2015
EB-5,2023,China,3112,1289,Uncapped,2023,catchall_60_65,primary,2015
EB-1,2022,India,10439,4319,Uncapped,2023,catchall_60_65,primary,2015
EB-1,2023,India,26229,10838,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2013,India,22105,9780,Uncapped,2023,catchall_60_65,primary,2015
EB-2,2014,India,47725,21078,Uncapped,2023,catchall_60_65,primary,2015
