dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
nationality,India,principal_backlog_2040,Capped,1,-8617.0,,,,,0,0,1
nationality,India,principal_backlog_2040,Capped minus uncapped,1,-5539.0,,,,,0,0,1
nationality,India,principal_backlog_2040,Uncapped,1,-3078.0,,,,,0,0,1
nationality,India,principal_exits_2025_2040,Capped,1,-15200.0,,,,,0,0,1
nationality,India,principal_exits_2025_2040,Capped minus uncapped,1,-9472.0,,,,,0,0,1
nationality,India,principal_exits_2025_2040,Uncapped,1,-5728.0,,,,,0,0,1
nationality,ROW,age21_events_2025_2040,Capped,1,1651.0,,,,,1,0,0
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,1,-2312.0,,,,,0,0,1
nationality,ROW,age21_events_2025_2040,Uncapped,1,3963.0,,,,,1,0,0
nationality,ROW,principal_backlog_2040,Capped,1,15566.0,,,,,1,0,0
nationality,ROW,principal_backlog_2040,Capped minus uncapped,1,15813.0,,,,,1,0,0
nationality,ROW,principal_backlog_2040,Uncapped,1,-247.0,,,,,0,0,1
nationality,ROW,principal_exits_2025_2040,Capped,1,11960.0,,,,,1,0,0
nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,1,2623.0,,,,,1,0,0
nationality,ROW,principal_exits_2025_2040,Uncapped,1,9337.0,,,,,1,0,0
overall,All,age21_events_2025_2040,Capped,1,-7882.0,,,,,0,0,1
overall,All,age21_events_2025_2040,Capped minus uncapped,1,-4883.0,,,,,0,0,1
overall,All,age21_events_2025_2040,Uncapped,1,-2999.0,,,,,0,0,1
overall,All,principal_backlog_2040,Capped,1,3310.0,,,,,1,0,0
overall,All,principal_backlog_2040,Capped minus uncapped,1,6126.0,,,,,1,0,0
overall,All,principal_backlog_2040,Uncapped,1,-2816.0,,,,,0,0,1
overall,All,principal_conversions_2025_2040,Capped,1,224.0,,,,,1,0,0
overall,All,principal_conversions_2025_2040,Capped minus uncapped,1,2202.0,,,,,1,0,0
overall,All,principal_conversions_2025_2040,Uncapped,1,-1978.0,,,,,0,0,1
overall,All,principal_exits_2025_2040,Capped,1,-6143.0,,,,,0,0,1
overall,All,principal_exits_2025_2040,Capped minus uncapped,1,-8328.0,,,,,0,0,1
overall,All,principal_exits_2025_2040,Uncapped,1,2185.0,,,,,1,0,0
