dimension,group,quantity,policy,value,case,role,seed
category,EB-3,age21_events_2025_2040,Capped,50820.0,catchall_55_60,sensitivity,2014
category,EB-3,age21_events_2025_2040,Uncapped,33266.0,catchall_55_60,sensitivity,2014
category,EB-3,age21_events_2025_2040,Capped minus uncapped,17554.0,catchall_55_60,sensitivity,2014
category,EB-4,age21_events_2025_2040,Capped,38340.0,catchall_55_60,sensitivity,2014
category,EB-4,age21_events_2025_2040,Uncapped,38713.0,catchall_55_60,sensitivity,2014
category,EB-4,age21_events_2025_2040,Capped minus uncapped,-373.0,catchall_55_60,sensitivity,2014
category,EB-5,age21_events_2025_2040,Capped,431.0,catchall_55_60,sensitivity,2014
category,EB-5,age21_events_2025_2040,Uncapped,166.0,catchall_55_60,sensitivity,2014
category,EB-5,age21_events_2025_2040,Capped minus uncapped,265.0,catchall_55_60,sensitivity,2014
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1233.0,catchall_55_60,sensitivity,2014
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,742.0,catchall_55_60,sensitivity,2014
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-417.0,catchall_55_60,sensitivity,2014
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,59706.0,catchall_55_60,sensitivity,2014
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,738.0,catchall_55_60,sensitivity,2014
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-29264.0,catchall_55_60,sensitivity,2014
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,34824.0,catchall_55_60,sensitivity,2014
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,1821.0,catchall_55_60,sensitivity,2014
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-19091.0,catchall_55_60,sensitivity,2014
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-806.0,catchall_55_60,sensitivity,2014
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-95.0,catchall_55_60,sensitivity,2014
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,528.0,catchall_55_60,sensitivity,2014
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,206.0,catchall_55_60,sensitivity,2014
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,163.0,catchall_55_60,sensitivity,2014
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-104.0,catchall_55_60,sensitivity,2014
overall,All,age21_events_2025_2040,Capped,292179.0,catchall_65_70,sensitivity,2014
overall,All,age21_events_2025_2040,Uncapped,217247.0,catchall_65_70,sensitivity,2014
overall,All,age21_events_2025_2040,Capped minus uncapped,74932.0,catchall_65_70,sensitivity,2014
nationality,India,age21_events_2025_2040,Capped,210635.0,catchall_65_70,sensitivity,2014
nationality,India,age21_events_2025_2040,Uncapped,78805.0,catchall_65_70,sensitivity,2014
nationality,India,age21_events_2025_2040,Capped minus uncapped,131830.0,catchall_65_70,sensitivity,2014
nationality,China,age21_events_2025_2040,Capped,20723.0,catchall_65_70,sensitivity,2014
nationality,China,age21_events_2025_2040,Uncapped,15806.0,catchall_65_70,sensitivity,2014
nationality,China,age21_events_2025_2040,Capped minus uncapped,4917.0,catchall_65_70,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Capped,60821.0,catchall_65_70,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Uncapped,122636.0,catchall_65_70,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-61815.0,catchall_65_70,sensitivity,2014
category,EB-1,age21_events_2025_2040,Capped,2613.0,catchall_65_70,sensitivity,2014
category,EB-1,age21_events_2025_2040,Uncapped,735.0,catchall_65_70,sensitivity,2014
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1878.0,catchall_65_70,sensitivity,2014
category,EB-2,age21_events_2025_2040,Capped,163133.0,catchall_65_70,sensitivity,2014
category,EB-2,age21_events_2025_2040,Uncapped,116188.0,catchall_65_70,sensitivity,2014
category,EB-2,age21_events_2025_2040,Capped minus uncapped,46945.0,catchall_65_70,sensitivity,2014
category,EB-3,age21_events_2025_2040,Capped,68507.0,catchall_65_70,sensitivity,2014
category,EB-3,age21_events_2025_2040,Uncapped,43083.0,catchall_65_70,sensitivity,2014
category,EB-3,age21_events_2025_2040,Capped minus uncapped,25424.0,catchall_65_70,sensitivity,2014
category,EB-4,age21_events_2025_2040,Capped,56405.0,catchall_65_70,sensitivity,2014
category,EB-4,age21_events_2025_2040,Uncapped,56537.0,catchall_65_70,sensitivity,2014
category,EB-4,age21_events_2025_2040,Capped minus uncapped,-132.0,catchall_65_70,sensitivity,2014
category,EB-5,age21_events_2025_2040,Capped,1521.0,catchall_65_70,sensitivity,2014
category,EB-5,age21_events_2025_2040,Uncapped,704.0,catchall_65_70,sensitivity,2014
category,EB-5,age21_events_2025_2040,Capped minus uncapped,817.0,catchall_65_70,sensitivity,2014
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1490.0,catchall_65_70,sensitivity,2014
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,958.0,catchall_65_70,sensitivity,2014
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-570.0,catchall_65_70,sensitivity,2014
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,83698.0,catchall_65_70,sensitivity,2014
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,482.0,catchall_65_70,sensitivity,2014
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-37235.0,catchall_65_70,sensitivity,2014
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,47252.0,catchall_65_70,sensitivity,2014
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,2682.0,catchall_65_70,sensitivity,2014
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-24510.0,catchall_65_70,sensitivity,2014
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-799.0,catchall_65_70,sensitivity,2014
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-119.0,catchall_65_70,sensitivity,2014
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,786.0,catchall_65_70,sensitivity,2014
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,189.0,catchall_65_70,sensitivity,2014
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,914.0,catchall_65_70,sensitivity,2014
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-286.0,catchall_65_70,sensitivity,2014
