case,role,scenario,entry_cohort_window,dimension,group,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,Uncapped,all_entries_2009_2040,overall,All,total_created,50,2550122.66,1729.4162234342405,244.57638781687615,2549631.165347457,2550614.1546525434,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,nationality,India,total_created,50,895565.32,1003.8408370466153,141.96453262152835,895280.031590693,895850.6084093068,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,nationality,China,total_created,50,233452.44,590.0682132826091,83.44824699495258,233284.7444692571,233620.1355307429,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,nationality,ROW,total_created,50,1421104.9,1481.2106087072625,209.4748131564718,1420683.9446026783,1421525.8553973215,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,category,EB-1,total_created,50,417536.4,886.5543942012532,125.37772480608754,417284.4440289421,417788.35597105796,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,category,EB-2,total_created,50,979908.32,1000.0110293269321,141.42291601968262,979624.1200100041,980192.5199899958,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,category,EB-3,total_created,50,706967.12,894.01645056316,126.43301893710765,706713.0433359885,707221.1966640115,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,category,EB-4,total_created,50,342456.04,775.8756464637295,109.72538619439989,342235.53858101927,342676.5414189807,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,category,EB-5,total_created,50,103254.78,314.3877944611121,44.461148277146975,103165.43197740792,103344.12802259208,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-1 / India,total_created,50,128442.66,511.8573864677862,72.387565794359,128297.19174030359,128588.12825969642,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-1 / China,total_created,50,49208.72,243.7710568612798,34.47443347272448,49139.44103217915,49277.99896782085,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-1 / ROW,total_created,50,239885.02,717.4439746312557,101.46189991663806,239681.12467841542,240088.91532158456,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-2 / India,total_created,50,537052.54,589.2519370406197,83.33280810174615,536885.0764523983,537220.0035476018,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-2 / China,total_created,50,66691.94,287.668843765656,40.682518032557766,66610.18541917771,66773.6945808223,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-2 / ROW,total_created,50,376163.84,847.8416140111192,119.90291092788195,375922.88607933966,376404.7939206604,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-3 / India,total_created,50,190513.7,471.04639270631577,66.61601970721946,190379.83009640026,190647.56990359977,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-3 / China,total_created,50,63897.98,282.8072459597649,39.99498427736832,63817.60706998683,63978.35293001318,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-3 / ROW,total_created,50,452555.44,880.4020454500619,124.50765130164915,452305.2325071111,452805.6474928889,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-4 / India,total_created,50,24269.4,198.6710952343915,28.09633573319932,24212.938299456495,24325.861700543508,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-4 / China,total_created,50,1399.1,53.55799831653036,7.574244759279263,1383.8789852917964,1414.3210147082034,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-4 / ROW,total_created,50,316787.54,723.5390688011482,102.32387640053837,316581.9124718184,316993.16752818157,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-5 / India,total_created,50,15287.02,160.74132978808163,22.732256862019142,15241.337819526025,15332.702180473976,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-5 / China,total_created,50,52254.7,214.72281610276548,30.366391868347492,52193.6764508604,52315.72354913959,50,0,0
catchall_60_65,primary,Uncapped,all_entries_2009_2040,joint,EB-5 / ROW,total_created,50,35713.06,226.53083855476837,32.036298417990345,35648.68064800992,35777.43935199008,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,overall,All,total_created,50,1138983.86,1256.926897197271,177.75630649279137,1138626.6453282286,1139341.0746717716,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,nationality,India,total_created,50,427317.14,651.9791536043879,92.20377614118567,427131.84957469685,427502.4304253032,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,nationality,China,total_created,50,99697.12,382.0302712655966,54.02723908608792,99588.54819820213,99805.69180179786,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,nationality,ROW,total_created,50,611969.6,1129.6382119049968,159.75496798509386,611648.5603723287,612290.6396276712,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,category,EB-1,total_created,50,182345.76,599.8429236568724,84.83059979290779,182175.28652730535,182516.23347269467,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,category,EB-2,total_created,50,439431.5,689.2434554033332,97.47374424082892,439235.61917730334,439627.38082269666,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,category,EB-3,total_created,50,320456.96,633.2954934632145,89.56150758454396,320276.97941215814,320636.9405878419,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,category,EB-4,total_created,50,150093.92,438.45656197016126,62.007121644968144,149969.31202381663,150218.5279761834,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,category,EB-5,total_created,50,46655.72,216.8382299300187,30.665556560800802,46594.09525690263,46717.344743097376,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-1 / India,total_created,50,53589.42,303.03721668118186,42.85593417343217,53503.297775921026,53675.54222407897,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-1 / China,total_created,50,18978.54,150.363262176121,21.264576465213175,18935.807233707466,19021.272766292535,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-1 / ROW,total_created,50,109777.8,531.5008399402045,75.16556962561287,109626.74913259565,109928.85086740436,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-2 / India,total_created,50,244711.98,453.3582846774881,64.11454348051062,244583.13700108172,244840.8229989183,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-2 / China,total_created,50,25700.3,194.75492186806662,27.542505184473228,25644.951263612777,25755.648736387222,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-2 / ROW,total_created,50,169019.22,537.2462396711738,75.97809184769203,168866.53630805854,169171.90369194146,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-3 / India,total_created,50,115719.3,288.1121699077975,40.74521381683488,115637.41942728216,115801.18057271784,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-3 / China,total_created,50,26963.62,198.4627544350808,28.06687189480124,26907.217509256527,27020.02249074347,50,0,0
catchall_60_65,primary,Uncapped,entries_2009_2024,joint,EB-3 / ROW,total_created,50,177774.04,563.5107865255219,79.6924596847923,177613.89200643153,177934.18799356848,50,0,0
