scenario,nationality,category,period,n,mean,sd_across_runs,mcse_mean,interval_scope
Uncapped,India,EB-4,projection,2,0.04003734135957959,0.007895690926985848,0.0055830965966247904,No interval: descriptive long-follow-up comparison
Uncapped,India,EB-5,full,2,96.19634237021923,0.09713526408071273,0.06868500392381804,No interval: descriptive long-follow-up comparison
Uncapped,India,EB-5,projection,2,95.12970952934384,0.12343842169706729,0.08728414504096094,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-1,full,2,96.7871988876139,0.07852297470680825,0.05552412789412386,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-1,projection,2,93.72192179664384,0.16461545975187147,0.11640070787868949,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-2,full,2,46.23036845206267,0.028193247879133358,0.019935636759008446,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-2,projection,2,2.3957376849353493,0.017709294463065073,0.012522362204862691,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-3,full,2,61.59187214287236,0.04338612156329398,0.030678620766789066,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-3,projection,2,34.55226471517723,0.004052173758426603,0.0028653195431296297,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-4,full,2,25.828017457792278,0.05188535750079939,0.03668848813310354,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-4,projection,2,0.019236075056081957,5.663891729122639e-05,4.004976249569018e-05,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-5,full,2,96.45313122781911,0.041336428953353675,0.029229269222952322,No interval: descriptive long-follow-up comparison
Uncapped,ROW,EB-5,projection,2,92.93409289918856,0.0891117385113649,0.06301151458470854,No interval: descriptive long-follow-up comparison
