seed,metric,period,dimension,group,scenario,value
2014,exits,full,nationality,India,Capped minus uncapped,147121.0
2014,exits,historical,nationality,China,Uncapped,32512.0
2014,exits,historical,nationality,China,Capped,32512.0
2014,exits,historical,nationality,China,Capped minus uncapped,0.0
2014,exits,projection,nationality,China,Uncapped,95429.0
2014,exits,projection,nationality,China,Capped,104784.0
2014,exits,projection,nationality,China,Capped minus uncapped,9355.0
2014,exits,full,nationality,China,Uncapped,127941.0
2014,exits,full,nationality,China,Capped,137296.0
2014,exits,full,nationality,China,Capped minus uncapped,9355.0
2014,exits,historical,nationality,ROW,Uncapped,110819.0
2014,exits,historical,nationality,ROW,Capped,110819.0
2014,exits,historical,nationality,ROW,Capped minus uncapped,0.0
2014,exits,projection,nationality,ROW,Uncapped,789917.0
2014,exits,projection,nationality,ROW,Capped,654141.0
2014,exits,projection,nationality,ROW,Capped minus uncapped,-135776.0
2014,exits,full,nationality,ROW,Uncapped,900736.0
2014,exits,full,nationality,ROW,Capped,764960.0
2014,exits,full,nationality,ROW,Capped minus uncapped,-135776.0
2014,exits,historical,category,EB-1,Uncapped,2318.0
2014,exits,historical,category,EB-1,Capped,2318.0
2014,exits,historical,category,EB-1,Capped minus uncapped,0.0
2014,exits,projection,category,EB-1,Uncapped,16473.0
2014,exits,projection,category,EB-1,Capped,15797.0
2014,exits,projection,category,EB-1,Capped minus uncapped,-676.0
2014,exits,full,category,EB-1,Uncapped,18791.0
2014,exits,full,category,EB-1,Capped,18115.0
2014,exits,full,category,EB-1,Capped minus uncapped,-676.0
2014,exits,historical,category,EB-2,Uncapped,68863.0
2014,exits,historical,category,EB-2,Capped,68863.0
2014,exits,historical,category,EB-2,Capped minus uncapped,0.0
2014,exits,projection,category,EB-2,Uncapped,282530.0
2014,exits,projection,category,EB-2,Capped,309702.0
2014,exits,projection,category,EB-2,Capped minus uncapped,27172.0
2014,exits,full,category,EB-2,Uncapped,351393.0
2014,exits,full,category,EB-2,Capped,378565.0
2014,exits,full,category,EB-2,Capped minus uncapped,27172.0
2014,exits,historical,category,EB-3,Uncapped,85079.0
2014,exits,historical,category,EB-3,Capped,85079.0
2014,exits,historical,category,EB-3,Capped minus uncapped,0.0
2014,exits,projection,category,EB-3,Uncapped,249751.0
2014,exits,projection,category,EB-3,Capped,244447.0
2014,exits,projection,category,EB-3,Capped minus uncapped,-5304.0
2014,exits,full,category,EB-3,Uncapped,334830.0
2014,exits,full,category,EB-3,Capped,329526.0
2014,exits,full,category,EB-3,Capped minus uncapped,-5304.0
2014,exits,historical,category,EB-4,Uncapped,81452.0
2014,exits,historical,category,EB-4,Capped,81452.0
2014,exits,historical,category,EB-4,Capped minus uncapped,0.0
2014,exits,projection,category,EB-4,Uncapped,520474.0
2014,exits,projection,category,EB-4,Capped,519634.0
2014,exits,projection,category,EB-4,Capped minus uncapped,-840.0
2014,exits,full,category,EB-4,Uncapped,601926.0
2014,exits,full,category,EB-4,Capped,601086.0
2014,exits,full,category,EB-4,Capped minus uncapped,-840.0
2014,exits,historical,category,EB-5,Uncapped,2034.0
2014,exits,historical,category,EB-5,Capped,2034.0
2014,exits,historical,category,EB-5,Capped minus uncapped,0.0
2014,exits,projection,category,EB-5,Uncapped,3364.0
2014,exits,projection,category,EB-5,Capped,3712.0
2014,exits,projection,category,EB-5,Capped minus uncapped,348.0
2014,exits,full,category,EB-5,Uncapped,5398.0
2014,exits,full,category,EB-5,Capped,5746.0
2014,exits,full,category,EB-5,Capped minus uncapped,348.0
2014,visas,historical,overall,All,Uncapped,2571033.0
2014,visas,historical,overall,All,Capped,2571033.0
2014,visas,historical,overall,All,Capped minus uncapped,0.0
2014,visas,projection,overall,All,Uncapped,2678304.0
2014,visas,projection,overall,All,Capped,2678304.0
2014,visas,projection,overall,All,Capped minus uncapped,0.0
2014,visas,full,overall,All,Uncapped,5249337.0
2014,visas,full,overall,All,Capped,5249337.0
2014,visas,full,overall,All,Capped minus uncapped,0.0
2014,conversions,historical,overall,All,Uncapped,1163366.0
2014,conversions,historical,overall,All,Capped,1163366.0
2014,conversions,historical,overall,All,Capped minus uncapped,0.0
2014,conversions,projection,overall,All,Uncapped,1267093.0
2014,conversions,projection,overall,All,Capped,1263371.0
2014,conversions,projection,overall,All,Capped minus uncapped,-3722.0
2014,conversions,full,overall,All,Uncapped,2430459.0
2014,conversions,full,overall,All,Capped,2426737.0
2014,conversions,full,overall,All,Capped minus uncapped,-3722.0
2014,backlog,end2040,overall,All,Uncapped,2790625.0
2014,backlog,end2040,overall,All,Capped,2773647.0
2014,backlog,end2040,overall,All,Capped minus uncapped,-16978.0
2014,relative_ageout_change_pct,historical,overall,All,Capped minus uncapped,0.0
2014,relative_ageout_change_pct,projection,overall,All,Capped minus uncapped,33.372538813425294
2014,relative_ageout_change_pct,full,overall,All,Capped minus uncapped,29.879994264102244
2015,ageouts,historical,overall,All,Uncapped,23064.0
2015,ageouts,historical,overall,All,Capped,23064.0
2015,ageouts,historical,overall,All,Capped minus uncapped,0.0
2015,ageouts,projection,overall,All,Uncapped,200127.0
2015,ageouts,projection,overall,All,Capped,267097.0
2015,ageouts,projection,overall,All,Capped minus uncapped,66970.0
2015,ageouts,full,overall,All,Uncapped,223191.0
2015,ageouts,full,overall,All,Capped,290161.0
2015,ageouts,full,overall,All,Capped minus uncapped,66970.0
2015,ageouts,historical,nationality,India,Uncapped,14172.0
2015,ageouts,historical,nationality,India,Capped,14172.0
2015,ageouts,historical,nationality,India,Capped minus uncapped,0.0
2015,ageouts,projection,nationality,India,Uncapped,73691.0
2015,ageouts,projection,nationality,India,Capped,193965.0
2015,ageouts,projection,nationality,India,Capped minus uncapped,120274.0
2015,ageouts,full,nationality,India,Uncapped,87863.0
2015,ageouts,full,nationality,India,Capped,208137.0
2015,ageouts,full,nationality,India,Capped minus uncapped,120274.0
2015,ageouts,historical,nationality,China,Uncapped,2053.0
2015,ageouts,historical,nationality,China,Capped,2053.0
2015,ageouts,historical,nationality,China,Capped minus uncapped,0.0
2015,ageouts,projection,nationality,China,Uncapped,14413.0
2015,ageouts,projection,nationality,China,Capped,18575.0
2015,ageouts,projection,nationality,China,Capped minus uncapped,4162.0
2015,ageouts,full,nationality,China,Uncapped,16466.0
2015,ageouts,full,nationality,China,Capped,20628.0
2015,ageouts,full,nationality,China,Capped minus uncapped,4162.0
2015,ageouts,historical,nationality,ROW,Uncapped,6839.0
2015,ageouts,historical,nationality,ROW,Capped,6839.0
2015,ageouts,historical,nationality,ROW,Capped minus uncapped,0.0
2015,ageouts,projection,nationality,ROW,Uncapped,112023.0
2015,ageouts,projection,nationality,ROW,Capped,54557.0
2015,ageouts,projection,nationality,ROW,Capped minus uncapped,-57466.0
2015,ageouts,full,nationality,ROW,Uncapped,118862.0
2015,ageouts,full,nationality,ROW,Capped,61396.0
2015,ageouts,full,nationality,ROW,Capped minus uncapped,-57466.0
2015,ageouts,historical,category,EB-1,Uncapped,2.0
2015,ageouts,historical,category,EB-1,Capped,2.0
2015,ageouts,historical,category,EB-1,Capped minus uncapped,0.0
2015,ageouts,projection,category,EB-1,Uncapped,788.0
2015,ageouts,projection,category,EB-1,Capped,2508.0
2015,ageouts,projection,category,EB-1,Capped minus uncapped,1720.0
2015,ageouts,full,category,EB-1,Uncapped,790.0
2015,ageouts,full,category,EB-1,Capped,2510.0
2015,ageouts,full,category,EB-1,Capped minus uncapped,1720.0
2015,ageouts,historical,category,EB-2,Uncapped,6337.0
2015,ageouts,historical,category,EB-2,Capped,6337.0
2015,ageouts,historical,category,EB-2,Capped minus uncapped,0.0
2015,ageouts,projection,category,EB-2,Uncapped,108289.0
2015,ageouts,projection,category,EB-2,Capped,150087.0
2015,ageouts,projection,category,EB-2,Capped minus uncapped,41798.0
2015,ageouts,full,category,EB-2,Uncapped,114626.0
2015,ageouts,full,category,EB-2,Capped,156424.0
2015,ageouts,full,category,EB-2,Capped minus uncapped,41798.0
2015,ageouts,historical,category,EB-3,Uncapped,9482.0
2015,ageouts,historical,category,EB-3,Capped,9482.0
2015,ageouts,historical,category,EB-3,Capped minus uncapped,0.0
2015,ageouts,projection,category,EB-3,Uncapped,40542.0
2015,ageouts,projection,category,EB-3,Capped,63668.0
2015,ageouts,projection,category,EB-3,Capped minus uncapped,23126.0
2015,ageouts,full,category,EB-3,Uncapped,50024.0
2015,ageouts,full,category,EB-3,Capped,73150.0
2015,ageouts,full,category,EB-3,Capped minus uncapped,23126.0
2015,ageouts,historical,category,EB-4,Uncapped,7046.0
2015,ageouts,historical,category,EB-4,Capped,7046.0
2015,ageouts,historical,category,EB-4,Capped minus uncapped,0.0
2015,ageouts,projection,category,EB-4,Uncapped,49894.0
2015,ageouts,projection,category,EB-4,Capped,49707.0
2015,ageouts,projection,category,EB-4,Capped minus uncapped,-187.0
2015,ageouts,full,category,EB-4,Uncapped,56940.0
2015,ageouts,full,category,EB-4,Capped,56753.0
2015,ageouts,full,category,EB-4,Capped minus uncapped,-187.0
2015,ageouts,historical,category,EB-5,Uncapped,197.0
2015,ageouts,historical,category,EB-5,Capped,197.0
2015,ageouts,historical,category,EB-5,Capped minus uncapped,0.0
2015,ageouts,projection,category,EB-5,Uncapped,614.0
2015,ageouts,projection,category,EB-5,Capped,1127.0
2015,ageouts,projection,category,EB-5,Capped minus uncapped,513.0
2015,ageouts,full,category,EB-5,Uncapped,811.0
2015,ageouts,full,category,EB-5,Capped,1324.0
2015,ageouts,full,category,EB-5,Capped minus uncapped,513.0
2015,exits,historical,overall,All,Uncapped,240172.0
2015,exits,historical,overall,All,Capped,240172.0
2015,exits,historical,overall,All,Capped minus uncapped,0.0
2015,exits,projection,overall,All,Uncapped,1072476.0
2015,exits,projection,overall,All,Capped,1093559.0
2015,exits,projection,overall,All,Capped minus uncapped,21083.0
2015,exits,full,overall,All,Uncapped,1312648.0
2015,exits,full,overall,All,Capped,1333731.0
2015,exits,full,overall,All,Capped minus uncapped,21083.0
2015,exits,historical,nationality,India,Uncapped,96676.0
2015,exits,historical,nationality,India,Capped,96676.0
2015,exits,historical,nationality,India,Capped minus uncapped,0.0
2015,exits,projection,nationality,India,Uncapped,187149.0
2015,exits,projection,nationality,India,Capped,335262.0
2015,exits,projection,nationality,India,Capped minus uncapped,148113.0
2015,exits,full,nationality,India,Uncapped,283825.0
2015,exits,full,nationality,India,Capped,431938.0
2015,exits,full,nationality,India,Capped minus uncapped,148113.0
2015,exits,historical,nationality,China,Uncapped,32304.0
2015,exits,historical,nationality,China,Capped,32304.0
2015,exits,historical,nationality,China,Capped minus uncapped,0.0
2015,exits,projection,nationality,China,Uncapped,94925.0
2015,exits,projection,nationality,China,Capped,104230.0
2015,exits,projection,nationality,China,Capped minus uncapped,9305.0
2015,exits,full,nationality,China,Uncapped,127229.0
2015,exits,full,nationality,China,Capped,136534.0
2015,exits,full,nationality,China,Capped minus uncapped,9305.0
2015,exits,historical,nationality,ROW,Uncapped,111192.0
2015,exits,historical,nationality,ROW,Capped,111192.0
2015,exits,historical,nationality,ROW,Capped minus uncapped,0.0
2015,exits,projection,nationality,ROW,Uncapped,790402.0
2015,exits,projection,nationality,ROW,Capped,654067.0
2015,exits,projection,nationality,ROW,Capped minus uncapped,-136335.0
2015,exits,full,nationality,ROW,Uncapped,901594.0
2015,exits,full,nationality,ROW,Capped,765259.0
2015,exits,full,nationality,ROW,Capped minus uncapped,-136335.0
2015,exits,historical,category,EB-1,Uncapped,2321.0
2015,exits,historical,category,EB-1,Capped,2321.0
2015,exits,historical,category,EB-1,Capped minus uncapped,0.0
2015,exits,projection,category,EB-1,Uncapped,16624.0
2015,exits,projection,category,EB-1,Capped,15843.0
2015,exits,projection,category,EB-1,Capped minus uncapped,-781.0
2015,exits,full,category,EB-1,Uncapped,18945.0
2015,exits,full,category,EB-1,Capped,18164.0
2015,exits,full,category,EB-1,Capped minus uncapped,-781.0
2015,exits,historical,category,EB-2,Uncapped,68562.0
2015,exits,historical,category,EB-2,Capped,68562.0
2015,exits,historical,category,EB-2,Capped minus uncapped,0.0
2015,exits,projection,category,EB-2,Uncapped,282869.0
2015,exits,projection,category,EB-2,Capped,309315.0
2015,exits,projection,category,EB-2,Capped minus uncapped,26446.0
2015,exits,full,category,EB-2,Uncapped,351431.0
2015,exits,full,category,EB-2,Capped,377877.0
2015,exits,full,category,EB-2,Capped minus uncapped,26446.0
2015,exits,historical,category,EB-3,Uncapped,84938.0
2015,exits,historical,category,EB-3,Capped,84938.0
2015,exits,historical,category,EB-3,Capped minus uncapped,0.0
2015,exits,projection,category,EB-3,Uncapped,249889.0
2015,exits,projection,category,EB-3,Capped,245309.0
2015,exits,projection,category,EB-3,Capped minus uncapped,-4580.0
2015,exits,full,category,EB-3,Uncapped,334827.0
2015,exits,full,category,EB-3,Capped,330247.0
2015,exits,full,category,EB-3,Capped minus uncapped,-4580.0
2015,exits,historical,category,EB-4,Uncapped,82442.0
2015,exits,historical,category,EB-4,Capped,82442.0
2015,exits,historical,category,EB-4,Capped minus uncapped,0.0
2015,exits,projection,category,EB-4,Uncapped,519707.0
2015,exits,projection,category,EB-4,Capped,519270.0
2015,exits,projection,category,EB-4,Capped minus uncapped,-437.0
2015,exits,full,category,EB-4,Uncapped,602149.0
2015,exits,full,category,EB-4,Capped,601712.0
2015,exits,full,category,EB-4,Capped minus uncapped,-437.0
2015,exits,historical,category,EB-5,Uncapped,1909.0
2015,exits,historical,category,EB-5,Capped,1909.0
2015,exits,historical,category,EB-5,Capped minus uncapped,0.0
2015,exits,projection,category,EB-5,Uncapped,3387.0
2015,exits,projection,category,EB-5,Capped,3822.0
2015,exits,projection,category,EB-5,Capped minus uncapped,435.0
2015,exits,full,category,EB-5,Uncapped,5296.0
2015,exits,full,category,EB-5,Capped,5731.0
2015,exits,full,category,EB-5,Capped minus uncapped,435.0
2015,visas,historical,overall,All,Uncapped,2571033.0
2015,visas,historical,overall,All,Capped,2571033.0
2015,visas,historical,overall,All,Capped minus uncapped,0.0
2015,visas,projection,overall,All,Uncapped,2678304.0
2015,visas,projection,overall,All,Capped,2678304.0
