metric,period,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
ageouts,historical,overall,All,Uncapped,50,23263.84,166.59180958380924,23.559639649369917,23216.495131564938,23311.184868435063,22954.275,23503.9
ageouts,historical,overall,All,Capped,50,23263.84,166.59180958380924,23.559639649369917,23216.495131564938,23311.184868435063,22954.275,23503.9
ageouts,historical,overall,All,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,overall,All,Uncapped,50,199826.34,492.952190006955,69.71396727093546,199686.24453769028,199966.43546230972,198848.8,200689.575
ageouts,projection,overall,All,Capped,50,266684.3,587.251858147728,83.04995423213178,266517.4048685304,266851.1951314696,265614.7,267661.875
ageouts,projection,overall,All,Capped minus uncapped,50,66857.96,508.1552856024566,71.86400966905677,66713.54386572825,67002.37613427176,66006.275,67921.65
ageouts,full,overall,All,Uncapped,50,223090.18,581.4512347285428,82.22962220116871,222924.93338746604,223255.42661253395,222002.175,224035.975
ageouts,full,overall,All,Capped,50,289948.14,646.3342475777039,91.40546587505986,289764.45383923926,290131.8261607608,288811.875,291012.325
ageouts,full,overall,All,Capped minus uncapped,50,66857.96,508.1552856024566,71.86400966905677,66713.54386572825,67002.37613427176,66006.275,67921.65
ageouts,historical,nationality,India,Uncapped,50,14221.6,123.30268050779823,17.43763230510849,14186.557765925489,14256.642234074512,14009.925,14453.65
ageouts,historical,nationality,India,Capped,50,14221.6,123.30268050779823,17.43763230510849,14186.557765925489,14256.642234074512,14009.925,14453.65
ageouts,historical,nationality,India,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,nationality,India,Uncapped,50,73477.4,325.69586414071546,46.060350827662475,73384.83825956324,73569.96174043675,72795.525,74120.575
ageouts,projection,nationality,India,Capped,50,193500.98,489.8328115442106,69.27282053811669,193361.7710552405,193640.18894475952,192588.425,194380.925
ageouts,projection,nationality,India,Capped minus uncapped,50,120023.58,321.6149992694713,45.483229382949936,119932.17802852736,120114.98197147265,119409.8,120540.175
ageouts,full,nationality,India,Uncapped,50,87699.0,347.70612738404276,49.17307210667403,87600.18301196086,87797.81698803914,87051.95,88362.15
ageouts,full,nationality,India,Capped,50,207722.58,500.6290773229462,70.79964308684394,207580.30279045508,207864.8572095449,206769.075,208643.9
ageouts,full,nationality,India,Capped minus uncapped,50,120023.58,321.6149992694713,45.483229382949936,119932.17802852736,120114.98197147265,119409.8,120540.175
ageouts,historical,nationality,China,Uncapped,50,2080.78,55.67628374297777,7.873815557185183,2064.956975234558,2096.6030247654426,1974.6,2175.1
ageouts,historical,nationality,China,Capped,50,2080.78,55.67628374297777,7.873815557185183,2064.956975234558,2096.6030247654426,1974.6,2175.1
ageouts,historical,nationality,China,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,nationality,China,Uncapped,50,14679.26,145.87271639259723,20.62951739026151,14637.803432698604,14720.716567301397,14413.45,14904.65
ageouts,projection,nationality,China,Capped,50,18742.12,173.5967224368488,24.550283925370934,18692.78435735908,18791.455642640918,18511.475,19086.3
ageouts,projection,nationality,China,Capped minus uncapped,50,4062.86,111.3672010485482,15.749700612638803,4031.2097916566418,4094.5102083433585,3875.125,4271.9
ageouts,full,nationality,China,Uncapped,50,16760.04,158.71203032986685,22.44527058042677,16714.93454005091,16805.145459949093,16469.375,17021.75
ageouts,full,nationality,China,Capped,50,20822.9,188.11408284141118,26.60334872276996,20769.43856918201,20876.361430817993,20551.225,21164.45
ageouts,full,nationality,China,Capped minus uncapped,50,4062.86,111.3672010485482,15.749700612638803,4031.2097916566418,4094.5102083433585,3875.125,4271.9
ageouts,historical,nationality,ROW,Uncapped,50,6961.46,104.93267229174006,14.839720829103028,6931.6384644959235,6991.281535504077,6722.425,7152.425
ageouts,historical,nationality,ROW,Capped,50,6961.46,104.93267229174006,14.839720829103028,6931.6384644959235,6991.281535504077,6722.425,7152.425
ageouts,historical,nationality,ROW,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,nationality,ROW,Uncapped,50,111669.68,417.46428125343726,59.03836483549472,111551.03796398597,111788.32203601401,111002.575,112551.6
ageouts,projection,nationality,ROW,Capped,50,54441.2,310.5582202474526,43.91956469803982,54352.94033035732,54529.459669642674,53950.8,55116.8
ageouts,projection,nationality,ROW,Capped minus uncapped,50,-57228.48,398.6157804304331,56.372784286065425,-57341.765351349306,-57115.1946486507,-57786.7,-56416.325
ageouts,full,nationality,ROW,Uncapped,50,118631.14,445.6614442120193,63.02604586314182,118504.48441893926,118757.79558106074,117964.55,119585.675
ageouts,full,nationality,ROW,Capped,50,61402.66,347.7411428763925,49.17802404509144,61303.83306066804,61501.48693933197,60824.65,62144.025
ageouts,full,nationality,ROW,Capped minus uncapped,50,-57228.48,398.6157804304331,56.372784286065425,-57341.765351349306,-57115.1946486507,-57786.7,-56416.325
ageouts,historical,category,EB-1,Uncapped,50,2.1,1.359021256460032,0.19219462924391012,1.7137704323622032,2.486229567637797,0.0,4.774999999999999
ageouts,historical,category,EB-1,Capped,50,2.1,1.359021256460032,0.19219462924391012,1.7137704323622032,2.486229567637797,0.0,4.774999999999999
ageouts,historical,category,EB-1,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,category,EB-1,Uncapped,50,749.94,32.23030010561427,4.558052752871469,740.7802500583008,759.0997499416993,693.475,805.325
ageouts,projection,category,EB-1,Capped,50,2513.86,63.49289209776773,8.979250911895463,2495.8155197194847,2531.9044802805156,2385.125,2609.65
ageouts,projection,category,EB-1,Capped minus uncapped,50,1763.92,64.39921409078067,9.107424197335055,1745.6179458590038,1782.2220541409963,1641.375,1888.875
ageouts,full,category,EB-1,Uncapped,50,752.04,32.05031758255848,4.532599380361907,742.9314005253973,761.1485994746026,697.475,807.1
ageouts,full,category,EB-1,Capped,50,2515.96,63.46426280247194,8.975202118126616,2497.923656075183,2533.996343924817,2386.675,2611.875
