aged_out,ageout_pct,eb_category,entry_year,exit_pct,exited,nationality,save_pct,saved,scenario,still_dependent,total_created,seed,observation_end_year
0,0.0,EB-5,2012,0.0,0,India,100.0,28,Uncapped,0,28,2014,2061
0,0.0,EB-1,2012,0.0,0,ROW,100.0,5754,Uncapped,0,5754,2014,2061
0,0.0,EB-2,2012,0.6055169320475443,54,ROW,99.39448306795245,8864,Uncapped,0,8918,2014,2061
1,0.039936102236421724,EB-3,2012,9.824281150159745,246,ROW,90.13578274760383,2257,Uncapped,0,2504,2014,2061
31,0.5340223944875108,EB-4,2012,10.801033591731265,627,ROW,88.66494401378122,5147,Uncapped,0,5805,2014,2061
0,0.0,EB-5,2012,0.0,0,ROW,100.0,551,Uncapped,0,551,2014,2061
0,0.0,EB-1,2013,0.0,0,China,100.0,962,Uncapped,0,962,2014,2061
10,1.4641288433382138,EB-2,2013,12.152269399707174,83,China,86.3836017569546,590,Uncapped,0,683,2014,2061
15,13.157894736842104,EB-3,2013,37.719298245614034,43,China,49.122807017543856,56,Uncapped,0,114,2014,2061
0,0.0,EB-4,2013,9.375,3,China,90.625,29,Uncapped,0,32,2014,2061
0,0.0,EB-5,2013,0.0,0,China,100.0,1598,Uncapped,0,1598,2014,2061
0,0.0,EB-1,2013,0.0,0,India,100.0,2510,Uncapped,0,2510,2014,2061
852,8.457415128052412,EB-2,2013,15.654159221758984,1577,India,75.88842565018861,7645,Uncapped,0,10074,2014,2061
216,13.4411947728687,EB-3,2013,26.13565650280025,420,India,60.42314872433106,971,Uncapped,0,1607,2014,2061
12,1.7045454545454544,EB-4,2013,11.505681818181818,81,India,86.78977272727273,611,Uncapped,0,704,2014,2061
0,0.0,EB-5,2013,0.0,0,India,100.0,27,Uncapped,0,27,2014,2061
0,0.0,EB-1,2013,0.0,0,ROW,100.0,6331,Uncapped,0,6331,2014,2061
0,0.0,EB-2,2013,0.0,0,ROW,100.0,7655,Uncapped,0,7655,2014,2061
0,0.0,EB-3,2013,6.82015638575152,157,ROW,93.17984361424848,2145,Uncapped,0,2302,2014,2061
