scenario,entry_year,nationality,eb_category,seed,fate,value,observation_end_year
Uncapped,2010,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2010,ROW,EB-2,2014,saved,99.97833622183708,2061
Uncapped,2010,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2010,ROW,EB-2,2014,exited,0.021663778162911613,2061
Uncapped,2010,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2010,ROW,EB-3,2014,saved,86.14097968936679,2061
Uncapped,2010,ROW,EB-3,2014,aged_out,1.0240655401945724,2061
Uncapped,2010,ROW,EB-3,2014,exited,12.83495477043864,2061
Uncapped,2010,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2010,ROW,EB-4,2014,saved,98.74342489772063,2061
Uncapped,2010,ROW,EB-4,2014,aged_out,0.0,2061
Uncapped,2010,ROW,EB-4,2014,exited,1.2565751022793687,2061
Uncapped,2010,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2010,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2010,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2010,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2010,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2011,China,EB-1,2014,saved,100.0,2061
Uncapped,2011,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2011,China,EB-1,2014,exited,0.0,2061
Uncapped,2011,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2011,China,EB-2,2014,saved,87.1559633027523,2061
Uncapped,2011,China,EB-2,2014,aged_out,0.6553079947575361,2061
Uncapped,2011,China,EB-2,2014,exited,12.18872870249017,2061
Uncapped,2011,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2011,China,EB-3,2014,saved,49.12280701754386,2061
Uncapped,2011,China,EB-3,2014,aged_out,15.789473684210526,2061
Uncapped,2011,China,EB-3,2014,exited,35.08771929824562,2061
Uncapped,2011,China,EB-3,2014,still_dependent,0.0,2061
Uncapped,2011,China,EB-4,2014,saved,100.0,2061
Uncapped,2011,China,EB-4,2014,aged_out,0.0,2061
Uncapped,2011,China,EB-4,2014,exited,0.0,2061
Uncapped,2011,China,EB-4,2014,still_dependent,0.0,2061
Uncapped,2011,China,EB-5,2014,saved,100.0,2061
Uncapped,2011,China,EB-5,2014,aged_out,0.0,2061
Uncapped,2011,China,EB-5,2014,exited,0.0,2061
Uncapped,2011,China,EB-5,2014,still_dependent,0.0,2061
Uncapped,2011,India,EB-1,2014,saved,100.0,2061
Uncapped,2011,India,EB-1,2014,aged_out,0.0,2061
Uncapped,2011,India,EB-1,2014,exited,0.0,2061
Uncapped,2011,India,EB-1,2014,still_dependent,0.0,2061
Uncapped,2011,India,EB-2,2014,saved,80.86832061068702,2061
Uncapped,2011,India,EB-2,2014,aged_out,4.971374045801527,2061
Uncapped,2011,India,EB-2,2014,exited,14.16030534351145,2061
Uncapped,2011,India,EB-2,2014,still_dependent,0.0,2061
Uncapped,2011,India,EB-3,2014,saved,54.65416936005171,2061
Uncapped,2011,India,EB-3,2014,aged_out,18.32579185520362,2061
Uncapped,2011,India,EB-3,2014,exited,27.020038784744667,2061
Uncapped,2011,India,EB-3,2014,still_dependent,0.0,2061
Uncapped,2011,India,EB-4,2014,saved,99.4949494949495,2061
Uncapped,2011,India,EB-4,2014,aged_out,0.0,2061
Uncapped,2011,India,EB-4,2014,exited,0.5050505050505051,2061
Uncapped,2011,India,EB-4,2014,still_dependent,0.0,2061
Uncapped,2011,India,EB-5,2014,saved,100.0,2061
Uncapped,2011,India,EB-5,2014,aged_out,0.0,2061
Uncapped,2011,India,EB-5,2014,exited,0.0,2061
Uncapped,2011,India,EB-5,2014,still_dependent,0.0,2061
Uncapped,2011,ROW,EB-1,2014,saved,100.0,2061
Uncapped,2011,ROW,EB-1,2014,aged_out,0.0,2061
Uncapped,2011,ROW,EB-1,2014,exited,0.0,2061
Uncapped,2011,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2011,ROW,EB-2,2014,saved,99.65224506494835,2061
