annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,seed
0,22513,EB-1,ROW,0,Uncapped,2022,2029
5622,59432,EB-2,India,329506,Uncapped,2022,2029
1357,8523,EB-2,China,54728,Uncapped,2022,2029
807,41355,EB-2,ROW,31820,Uncapped,2022,2029
3769,13919,EB-3,India,162726,Uncapped,2022,2029
1358,5510,EB-3,China,36545,Uncapped,2022,2029
1574,61946,EB-3,ROW,41685,Uncapped,2022,2029
200,1368,EB-4,India,5054,Uncapped,2022,2029
0,176,EB-4,China,0,Uncapped,2022,2029
9397,17999,EB-4,ROW,184752,Uncapped,2022,2029
8,1368,EB-5,India,1418,Uncapped,2022,2029
259,8544,EB-5,China,21816,Uncapped,2022,2029
0,973,EB-5,ROW,0,Uncapped,2022,2029
129,15354,EB-1,India,15321,Uncapped,2023,2029
120,9487,EB-1,China,9370,Uncapped,2023,2029
0,30623,EB-1,ROW,0,Uncapped,2023,2029
6046,3882,EB-2,India,361008,Uncapped,2023,2029
1595,3882,EB-2,China,63416,Uncapped,2023,2029
1055,47699,EB-2,ROW,39297,Uncapped,2023,2029
4017,3882,EB-3,India,169485,Uncapped,2023,2029
1363,3882,EB-3,China,36453,Uncapped,2023,2029
2214,47699,EB-3,ROW,58024,Uncapped,2023,2029
229,964,EB-4,India,5997,Uncapped,2023,2029
0,190,EB-4,China,0,Uncapped,2023,2029
12049,12615,EB-4,ROW,232334,Uncapped,2023,2029
16,964,EB-5,India,1386,Uncapped,2023,2029
236,11181,EB-5,China,18210,Uncapped,2023,2029
0,1624,EB-5,ROW,0,Uncapped,2023,2029
172,12403,EB-1,India,18717,Uncapped,2024,2029
145,5630,EB-1,China,12864,Uncapped,2024,2029
0,29842,EB-1,ROW,0,Uncapped,2024,2029
6478,3351,EB-2,India,391798,Uncapped,2024,2029
1834,3351,EB-2,China,71951,Uncapped,2024,2029
1065,41173,EB-2,ROW,43720,Uncapped,2024,2029
4242,3351,EB-3,India,173793,Uncapped,2024,2029
1508,3351,EB-3,China,40310,Uncapped,2024,2029
2867,41172,EB-3,ROW,73280,Uncapped,2024,2029
296,832,EB-4,India,6971,Uncapped,2024,2029
0,330,EB-4,China,0,Uncapped,2024,2029
15207,10723,EB-4,ROW,294772,Uncapped,2024,2029
14,832,EB-5,India,2021,Uncapped,2024,2029
248,7105,EB-5,China,17976,Uncapped,2024,2029
0,3948,EB-5,ROW,0,Uncapped,2024,2029
0,5511,EB-1,India,0,Capped,2009,2029
0,4442,EB-1,China,0,Capped,2009,2029
0,29390,EB-1,ROW,0,Capped,2009,2029
211,9466,EB-2,India,11896,Capped,2009,2029
262,5558,EB-2,China,9094,Capped,2009,2029
0,33039,EB-2,ROW,0,Capped,2009,2029
2282,2304,EB-3,India,81844,Capped,2009,2029
1149,1077,EB-3,China,29839,Capped,2009,2029
2910,36941,EB-3,ROW,74081,Capped,2009,2029
0,527,EB-4,India,0,Capped,2009,2029
0,31,EB-4,China,0,Capped,2009,2029
2,9452,EB-4,ROW,8,Capped,2009,2029
0,50,EB-5,India,0,Capped,2009,2029
0,1533,EB-5,China,0,Capped,2009,2029
0,1666,EB-5,ROW,0,Capped,2009,2029
0,6337,EB-1,India,0,Capped,2010,2029
0,5586,EB-1,China,0,Capped,2010,2029
0,27828,EB-1,ROW,0,Capped,2010,2029
405,10316,EB-2,India,22250,Capped,2010,2029
241,6058,EB-2,China,9123,Capped,2010,2029
9,36959,EB-2,ROW,440,Capped,2010,2029
2328,3008,EB-3,India,84912,Capped,2010,2029
1026,3008,EB-3,China,27868,Capped,2010,2029
2547,36959,EB-3,ROW,66909,Capped,2010,2029
0,662,EB-4,India,0,Capped,2010,2029
0,39,EB-4,China,0,Capped,2010,2029
57,9968,EB-4,ROW,1085,Capped,2010,2029
0,105,EB-5,India,0,Capped,2010,2029
0,1421,EB-5,China,0,Capped,2010,2029
0,2008,EB-5,ROW,0,Capped,2010,2029
0,7330,EB-1,India,0,Capped,2011,2029
0,5173,EB-1,China,0,Capped,2011,2029
0,20111,EB-1,ROW,0,Capped,2011,2029
652,13968,EB-2,India,37617,Capped,2011,2029
193,8307,EB-2,China,8060,Capped,2011,2029
92,34262,EB-2,ROW,2949,Capped,2011,2029
2316,2789,EB-3,India,88311,Capped,2011,2029
962,2789,EB-3,China,26015,Capped,2011,2029
2323,34262,EB-3,ROW,57935,Capped,2011,2029
5,157,EB-4,India,177,Capped,2011,2029
0,14,EB-4,China,14,Capped,2011,2029
264,6210,EB-4,ROW,4863,Capped,2011,2029
0,50,EB-5,India,0,Capped,2011,2029
0,2627,EB-5,China,0,Capped,2011,2029
0,1253,EB-5,ROW,0,Capped,2011,2029
0,8694,EB-1,India,0,Capped,2012,2029
0,5665,EB-1,China,0,Capped,2012,2029
0,20807,EB-1,ROW,0,Capped,2012,2029
988,12749,EB-2,India,53487,Capped,2012,2029
226,3323,EB-2,China,9863,Capped,2012,2029
80,35577,EB-2,ROW,3324,Capped,2012,2029
2467,2896,EB-3,India,88656,Capped,2012,2029
918,2896,EB-3,China,23975,Capped,2012,2029
1785,35577,EB-3,ROW,44588,Capped,2012,2029
9,282,EB-4,India,457,Capped,2012,2029
1,21,EB-4,China,18,Capped,2012,2029
602,7175,EB-4,ROW,11074,Capped,2012,2029
0,113,EB-5,India,0,Capped,2012,2029
0,6990,EB-5,China,0,Capped,2012,2029
0,1882,EB-5,ROW,0,Capped,2012,2029
0,11389,EB-1,India,0,Capped,2013,2029
0,6756,EB-1,China,0,Capped,2013,2029
0,23103,EB-1,ROW,0,Capped,2013,2029
1200,16252,EB-2,India,65994,Capped,2013,2029
269,3229,EB-2,China,11111,Capped,2013,2029
0,38834,EB-2,ROW,0,Capped,2013,2029
2321,3229,EB-3,India,88321,Capped,2013,2029
873,3229,EB-3,China,21755,Capped,2013,2029
1216,39665,EB-3,ROW,29392,Capped,2013,2029
46,306,EB-4,India,1219,Capped,2013,2029
4,13,EB-4,China,49,Capped,2013,2029
1281,6127,EB-4,ROW,24249,Capped,2013,2029
0,137,EB-5,India,0,Capped,2013,2029
0,7264,EB-5,China,0,Capped,2013,2029
0,1736,EB-5,ROW,0,Capped,2013,2029
2,14802,EB-1,India,169,Capped,2014,2029
0,7737,EB-1,China,120,Capped,2014,2029
0,23207,EB-1,ROW,0,Capped,2014,2029
1503,3030,EB-2,India,88209,Capped,2014,2029
342,3030,EB-2,China,13010,Capped,2014,2029
2,37229,EB-2,ROW,290,Capped,2014,2029
1975,3030,EB-3,India,88969,Capped,2014,2029
817,3030,EB-3,China,23212,Capped,2014,2029
694,37229,EB-3,ROW,16741,Capped,2014,2029
72,371,EB-4,India,1753,Capped,2014,2029
7,7,EB-4,China,91,Capped,2014,2029
1865,7911,EB-4,ROW,34625,Capped,2014,2029
0,345,EB-5,India,0,Capped,2014,2029
3,7805,EB-5,China,782,Capped,2014,2029
0,2596,EB-5,ROW,0,Capped,2014,2029
34,9119,EB-1,India,2606,Capped,2015,2029
19,5141,EB-1,China,1863,Capped,2015,2029
0,26910,EB-1,ROW,0,Capped,2015,2029
2124,2882,EB-2,India,116570,Capped,2015,2029
414,2882,EB-2,China,16036,Capped,2015,2029
80,35406,EB-2,ROW,2480,Capped,2015,2029
2128,2882,EB-3,India,91869,Capped,2015,2029
795,2882,EB-3,China,22254,Capped,2015,2029
367,35406,EB-3,ROW,9162,Capped,2015,2029
104,715,EB-4,India,2670,Capped,2015,2029
0,339,EB-4,China,0,Capped,2015,2029
2719,9167,EB-4,ROW,52621,Capped,2015,2029
0,715,EB-5,India,84,Capped,2015,2029
29,4743,EB-5,China,5348,Capped,2015,2029
0,4763,EB-5,ROW,0,Capped,2015,2029
66,8967,EB-1,India,6616,Capped,2016,2029
48,5146,EB-1,China,3926,Capped,2016,2029
24,26027,EB-1,ROW,1712,Capped,2016,2029
2839,2810,EB-2,India,159992,Capped,2016,2029
523,2810,EB-2,China,21214,Capped,2016,2029
273,34520,EB-2,ROW,9522,Capped,2016,2029
2246,2810,EB-3,India,98404,Capped,2016,2029
856,2810,EB-3,China,23355,Capped,2016,2029
395,34520,EB-3,ROW,10519,Capped,2016,2029
122,698,EB-4,India,3273,Capped,2016,2029
0,234,EB-4,China,0,Capped,2016,2029
3959,9033,EB-4,ROW,74828,Capped,2016,2029
1,698,EB-5,India,259,Capped,2016,2029
70,4978,EB-5,China,8797,Capped,2016,2029
0,4289,EB-5,ROW,0,Capped,2016,2029
94,11547,EB-1,India,10289,Capped,2017,2029
80,5971,EB-1,China,5807,Capped,2017,2029
77,22409,EB-1,ROW,6001,Capped,2017,2029
3365,2795,EB-2,India,196370,Capped,2017,2029
631,2795,EB-2,China,25213,Capped,2017,2029
331,34337,EB-2,ROW,12316,Capped,2017,2029
2400,2795,EB-3,India,103411,Capped,2017,2029
1056,2795,EB-3,China,25460,Capped,2017,2029
471,34336,EB-3,ROW,12589,Capped,2017,2029
129,694,EB-4,India,3578,Capped,2017,2029
0,123,EB-4,China,0,Capped,2017,2029
4740,9095,EB-4,ROW,87375,Capped,2017,2029
4,694,EB-5,India,819,Capped,2017,2029
112,2880,EB-5,China,15585,Capped,2017,2029
0,6338,EB-5,ROW,0,Capped,2017,2029
121,12040,EB-1,India,12640,Capped,2018,2029
88,5880,EB-1,China,7370,Capped,2018,2029
117,21972,EB-1,ROW,7853,Capped,2018,2029
4077,2792,EB-2,India,229929,Capped,2018,2029
775,2792,EB-2,China,30734,Capped,2018,2029
397,34308,EB-2,ROW,15604,Capped,2018,2029
2532,2792,EB-3,India,107714,Capped,2018,2029
1053,2792,EB-3,China,27228,Capped,2018,2029
685,34308,EB-3,ROW,17956,Capped,2018,2029
127,693,EB-4,India,3728,Capped,2018,2029
0,98,EB-4,China,0,Capped,2018,2029
4951,9113,EB-4,ROW,91008,Capped,2018,2029
9,693,EB-5,India,1741,Capped,2018,2029
179,1117,EB-5,China,24277,Capped,2018,2029
0,8093,EB-5,ROW,0,Capped,2018,2029
137,9837,EB-1,India,15160,Capped,2019,2029
128,4571,EB-1,China,8770,Capped,2019,2029
58,25800,EB-1,ROW,5836,Capped,2019,2029
4608,2814,EB-2,India,267251,Capped,2019,2029
987,2814,EB-2,China,38670,Capped,2019,2029
494,34579,EB-2,ROW,19430,Capped,2019,2029
2361,2814,EB-3,India,115511,Capped,2019,2029
1045,2814,EB-3,China,28499,Capped,2019,2029
1086,34579,EB-3,ROW,26899,Capped,2019,2029
177,699,EB-4,India,4028,Capped,2019,2029
0,198,EB-4,China,0,Capped,2019,2029
6171,9085,EB-4,ROW,114389,Capped,2019,2029
8,699,EB-5,India,1863,Capped,2019,2029
186,6933,EB-5,China,23628,Capped,2019,2029
0,2350,EB-5,ROW,0,Capped,2019,2029
158,10588,EB-1,India,16803,Capped,2020,2029
123,4766,EB-1,China,9340,Capped,2020,2029
0,33584,EB-1,ROW,0,Capped,2020,2029
4980,2599,EB-2,India,296212,Capped,2020,2029
1229,3118,EB-2,China,46184,Capped,2020,2029
552,36369,EB-2,ROW,20550,Capped,2020,2029
2469,2946,EB-3,India,120701,Capped,2020,2029
1091,2946,EB-3,China,30425,Capped,2020,2029
1303,36193,EB-3,ROW,33116,Capped,2020,2029
177,731,EB-4,India,4412,Capped,2020,2029
0,184,EB-4,China,0,Capped,2020,2029
7974,9533,EB-4,ROW,151689,Capped,2020,2029
6,731,EB-5,India,1891,Capped,2020,2029
237,1174,EB-5,China,24539,Capped,2020,2029
0,1691,EB-5,ROW,0,Capped,2020,2029
119,30825,EB-1,India,11161,Capped,2021,2029
104,9118,EB-1,China,8238,Capped,2021,2029
0,18819,EB-1,ROW,0,Capped,2021,2029
5252,28246,EB-2,India,316117,Capped,2021,2029
1322,6091,EB-2,China,51023,Capped,2021,2029
704,25404,EB-2,ROW,27614,Capped,2021,2029
3397,21087,EB-3,India,156029,Capped,2021,2029
1433,3914,EB-3,China,37050,Capped,2021,2029
1650,35173,EB-3,ROW,40258,Capped,2021,2029
191,972,EB-4,India,4411,Capped,2021,2029
0,81,EB-4,China,0,Capped,2021,2029
8574,12828,EB-4,ROW,165156,Capped,2021,2029
12,972,EB-5,India,1844,Capped,2021,2029
303,972,EB-5,China,25305,Capped,2021,2029
4,1005,EB-5,ROW,213,Capped,2021,2029
94,20199,EB-1,India,10873,Capped,2022,2029
72,11425,EB-1,China,6941,Capped,2022,2029
0,22513,EB-1,ROW,0,Capped,2022,2029
5622,59432,EB-2,India,329506,Capped,2022,2029
1357,8523,EB-2,China,54728,Capped,2022,2029
807,41355,EB-2,ROW,31820,Capped,2022,2029
3769,13919,EB-3,India,162726,Capped,2022,2029
1358,5510,EB-3,China,36545,Capped,2022,2029
1574,61946,EB-3,ROW,41685,Capped,2022,2029
200,1368,EB-4,India,5054,Capped,2022,2029
0,176,EB-4,China,0,Capped,2022,2029
9397,17999,EB-4,ROW,184752,Capped,2022,2029
8,1368,EB-5,India,1418,Capped,2022,2029
259,8544,EB-5,China,21816,Capped,2022,2029
0,973,EB-5,ROW,0,Capped,2022,2029
129,15354,EB-1,India,15321,Capped,2023,2029
120,9487,EB-1,China,9370,Capped,2023,2029
0,30623,EB-1,ROW,0,Capped,2023,2029
6046,3882,EB-2,India,361008,Capped,2023,2029
1595,3882,EB-2,China,63416,Capped,2023,2029
1055,47699,EB-2,ROW,39297,Capped,2023,2029
4017,3882,EB-3,India,169485,Capped,2023,2029
1363,3882,EB-3,China,36453,Capped,2023,2029
2214,47699,EB-3,ROW,58024,Capped,2023,2029
229,964,EB-4,India,5997,Capped,2023,2029
0,190,EB-4,China,0,Capped,2023,2029
12049,12615,EB-4,ROW,232334,Capped,2023,2029
16,964,EB-5,India,1386,Capped,2023,2029
236,11181,EB-5,China,18210,Capped,2023,2029
0,1624,EB-5,ROW,0,Capped,2023,2029
172,12403,EB-1,India,18717,Capped,2024,2029
145,5630,EB-1,China,12864,Capped,2024,2029
0,29842,EB-1,ROW,0,Capped,2024,2029
6478,3351,EB-2,India,391798,Capped,2024,2029
1834,3351,EB-2,China,71951,Capped,2024,2029
1065,41173,EB-2,ROW,43720,Capped,2024,2029
4242,3351,EB-3,India,173793,Capped,2024,2029
1508,3351,EB-3,China,40310,Capped,2024,2029
2867,41172,EB-3,ROW,73280,Capped,2024,2029
296,832,EB-4,India,6971,Capped,2024,2029
0,330,EB-4,China,0,Capped,2024,2029
15207,10723,EB-4,ROW,294772,Capped,2024,2029
14,832,EB-5,India,2021,Capped,2024,2029
248,7105,EB-5,China,17976,Capped,2024,2029
0,3948,EB-5,ROW,0,Capped,2024,2029
0,5460,EB-1,India,0,Uncapped,2009,2030
0,4326,EB-1,China,0,Uncapped,2009,2030
0,29363,EB-1,ROW,0,Uncapped,2009,2030
200,9482,EB-2,India,11734,Uncapped,2009,2030
217,5744,EB-2,China,9175,Uncapped,2009,2030
0,33041,EB-2,ROW,0,Uncapped,2009,2030
2211,2304,EB-3,India,82061,Uncapped,2009,2030
1164,1077,EB-3,China,29459,Uncapped,2009,2030
2943,36941,EB-3,ROW,74398,Uncapped,2009,2030
0,504,EB-4,India,0,Uncapped,2009,2030
0,35,EB-4,China,0,Uncapped,2009,2030
5,9471,EB-4,ROW,64,Uncapped,2009,2030
0,59,EB-5,India,0,Uncapped,2009,2030
0,1457,EB-5,China,0,Uncapped,2009,2030
0,1723,EB-5,ROW,0,Uncapped,2009,2030
0,6276,EB-1,India,0,Uncapped,2010,2030
0,5670,EB-1,China,0,Uncapped,2010,2030
0,27963,EB-1,ROW,0,Uncapped,2010,2030
415,9983,EB-2,India,22411,Uncapped,2010,2030
242,6228,EB-2,China,9070,Uncapped,2010,2030
8,36959,EB-2,ROW,355,Uncapped,2010,2030
2273,3008,EB-3,India,85181,Uncapped,2010,2030
1084,3008,EB-3,China,27457,Uncapped,2010,2030
2604,36959,EB-3,ROW,67147,Uncapped,2010,2030
0,564,EB-4,India,0,Uncapped,2010,2030
0,31,EB-4,China,0,Uncapped,2010,2030
69,10074,EB-4,ROW,1150,Uncapped,2010,2030
0,125,EB-5,India,0,Uncapped,2010,2030
0,1362,EB-5,China,0,Uncapped,2010,2030
0,2052,EB-5,ROW,0,Uncapped,2010,2030
0,7460,EB-1,India,0,Uncapped,2011,2030
0,5070,EB-1,China,0,Uncapped,2011,2030
0,19945,EB-1,ROW,0,Uncapped,2011,2030
685,14079,EB-2,India,37947,Uncapped,2011,2030
213,8375,EB-2,China,7883,Uncapped,2011,2030
61,34262,EB-2,ROW,2894,Uncapped,2011,2030
2375,2789,EB-3,India,88523,Uncapped,2011,2030
1031,2789,EB-3,China,25503,Uncapped,2011,2030
2321,34262,EB-3,ROW,58155,Uncapped,2011,2030
7,175,EB-4,India,163,Uncapped,2011,2030
1,2,EB-4,China,8,Uncapped,2011,2030
229,6204,EB-4,ROW,4927,Uncapped,2011,2030
0,50,EB-5,India,0,Uncapped,2011,2030
0,2682,EB-5,China,0,Uncapped,2011,2030
0,1158,EB-5,ROW,0,Uncapped,2011,2030
0,8574,EB-1,India,0,Uncapped,2012,2030
0,5524,EB-1,China,0,Uncapped,2012,2030
0,21013,EB-1,ROW,0,Uncapped,2012,2030
989,12779,EB-2,India,53751,Uncapped,2012,2030
266,3177,EB-2,China,9690,Uncapped,2012,2030
58,35577,EB-2,ROW,3334,Uncapped,2012,2030
2502,2896,EB-3,India,88900,Uncapped,2012,2030
908,2896,EB-3,China,23423,Uncapped,2012,2030
1786,35577,EB-3,ROW,44800,Uncapped,2012,2030
19,282,EB-4,India,451,Uncapped,2012,2030
0,11,EB-4,China,18,Uncapped,2012,2030
520,7185,EB-4,ROW,11142,Uncapped,2012,2030
0,87,EB-5,India,0,Uncapped,2012,2030
0,7175,EB-5,China,0,Uncapped,2012,2030
0,1894,EB-5,ROW,0,Uncapped,2012,2030
0,11271,EB-1,India,0,Uncapped,2013,2030
0,6855,EB-1,China,0,Uncapped,2013,2030
0,22883,EB-1,ROW,0,Uncapped,2013,2030
1200,16373,EB-2,India,66309,Uncapped,2013,2030
269,3229,EB-2,China,10956,Uncapped,2013,2030
0,38963,EB-2,ROW,0,Uncapped,2013,2030
2448,3229,EB-3,India,88427,Uncapped,2013,2030
864,3229,EB-3,China,21259,Uncapped,2013,2030
1249,39665,EB-3,ROW,29611,Uncapped,2013,2030
42,280,EB-4,India,1297,Uncapped,2013,2030
4,7,EB-4,China,57,Uncapped,2013,2030
1275,6159,EB-4,ROW,24299,Uncapped,2013,2030
0,100,EB-5,India,0,Uncapped,2013,2030
0,7079,EB-5,China,0,Uncapped,2013,2030
0,1947,EB-5,ROW,0,Uncapped,2013,2030
2,15140,EB-1,India,158,Uncapped,2014,2030
2,7620,EB-1,China,90,Uncapped,2014,2030
0,22986,EB-1,ROW,0,Uncapped,2014,2030
1667,3030,EB-2,India,88363,Uncapped,2014,2030
329,3030,EB-2,China,12929,Uncapped,2014,2030
6,37229,EB-2,ROW,207,Uncapped,2014,2030
1836,3030,EB-3,India,89073,Uncapped,2014,2030
747,3030,EB-3,China,22880,Uncapped,2014,2030
689,37229,EB-3,ROW,17138,Uncapped,2014,2030
79,370,EB-4,India,1818,Uncapped,2014,2030
6,7,EB-4,China,101,Uncapped,2014,2030
1861,7912,EB-4,ROW,34715,Uncapped,2014,2030
0,340,EB-5,India,0,Uncapped,2014,2030
7,7746,EB-5,China,800,Uncapped,2014,2030
0,2660,EB-5,ROW,0,Uncapped,2014,2030
18,8740,EB-1,India,2647,Uncapped,2015,2030
18,5426,EB-1,China,1669,Uncapped,2015,2030
0,27004,EB-1,ROW,0,Uncapped,2015,2030
2114,2882,EB-2,India,116593,Uncapped,2015,2030
429,2882,EB-2,China,15828,Uncapped,2015,2030
69,35406,EB-2,ROW,2676,Uncapped,2015,2030
2105,2882,EB-3,India,91901,Uncapped,2015,2030
795,2882,EB-3,China,21904,Uncapped,2015,2030
387,35406,EB-3,ROW,9800,Uncapped,2015,2030
92,715,EB-4,India,2743,Uncapped,2015,2030
0,437,EB-4,China,0,Uncapped,2015,2030
2792,9069,EB-4,ROW,52607,Uncapped,2015,2030
0,715,EB-5,India,96,Uncapped,2015,2030
36,4845,EB-5,China,5326,Uncapped,2015,2030
0,4661,EB-5,ROW,0,Uncapped,2015,2030
63,9184,EB-1,India,6477,Uncapped,2016,2030
37,4929,EB-1,China,3918,Uncapped,2016,2030
30,26027,EB-1,ROW,1787,Uncapped,2016,2030
2862,2810,EB-2,India,159938,Uncapped,2016,2030
529,2810,EB-2,China,21059,Uncapped,2016,2030
265,34520,EB-2,ROW,9746,Uncapped,2016,2030
2187,2810,EB-3,India,98443,Uncapped,2016,2030
868,2810,EB-3,China,23026,Uncapped,2016,2030
450,34520,EB-3,ROW,11243,Uncapped,2016,2030
126,698,EB-4,India,3309,Uncapped,2016,2030
0,270,EB-4,China,0,Uncapped,2016,2030
4030,8997,EB-4,ROW,74708,Uncapped,2016,2030
2,698,EB-5,India,290,Uncapped,2016,2030
68,4957,EB-5,China,8762,Uncapped,2016,2030
0,4310,EB-5,ROW,0,Uncapped,2016,2030
78,11512,EB-1,India,10076,Uncapped,2017,2030
65,6006,EB-1,China,5925,Uncapped,2017,2030
81,22409,EB-1,ROW,6030,Uncapped,2017,2030
3416,2795,EB-2,India,196234,Uncapped,2017,2030
614,2795,EB-2,China,25051,Uncapped,2017,2030
336,34337,EB-2,ROW,12658,Uncapped,2017,2030
2320,2795,EB-3,India,103524,Uncapped,2017,2030
997,2795,EB-3,China,25093,Uncapped,2017,2030
520,34336,EB-3,ROW,13412,Uncapped,2017,2030
120,694,EB-4,India,3562,Uncapped,2017,2030
0,142,EB-4,China,0,Uncapped,2017,2030
4619,9076,EB-4,ROW,87416,Uncapped,2017,2030
4,694,EB-5,India,907,Uncapped,2017,2030
120,2714,EB-5,China,15534,Uncapped,2017,2030
0,6504,EB-5,ROW,0,Uncapped,2017,2030
123,11882,EB-1,India,12559,Uncapped,2018,2030
90,6038,EB-1,China,7370,Uncapped,2018,2030
93,21972,EB-1,ROW,7898,Uncapped,2018,2030
4017,2792,EB-2,India,230136,Uncapped,2018,2030
771,2792,EB-2,China,30598,Uncapped,2018,2030
422,34308,EB-2,ROW,15831,Uncapped,2018,2030
2585,2792,EB-3,India,107898,Uncapped,2018,2030
1076,2792,EB-3,China,26666,Uncapped,2018,2030
708,34308,EB-3,ROW,18864,Uncapped,2018,2030
152,693,EB-4,India,3660,Uncapped,2018,2030
0,138,EB-4,China,0,Uncapped,2018,2030
4825,9073,EB-4,ROW,91136,Uncapped,2018,2030
9,693,EB-5,India,1834,Uncapped,2018,2030
161,825,EB-5,China,24247,Uncapped,2018,2030
0,8385,EB-5,ROW,0,Uncapped,2018,2030
141,9656,EB-1,India,15314,Uncapped,2019,2030
125,4752,EB-1,China,8614,Uncapped,2019,2030
73,25800,EB-1,ROW,5588,Uncapped,2019,2030
4553,2814,EB-2,India,267833,Uncapped,2019,2030
1020,2814,EB-2,China,38488,Uncapped,2019,2030
483,34579,EB-2,ROW,19380,Uncapped,2019,2030
2356,2814,EB-3,India,115529,Uncapped,2019,2030
1032,2814,EB-3,China,28005,Uncapped,2019,2030
1091,34579,EB-3,ROW,28058,Uncapped,2019,2030
197,699,EB-4,India,3945,Uncapped,2019,2030
0,181,EB-4,China,0,Uncapped,2019,2030
6120,9102,EB-4,ROW,114580,Uncapped,2019,2030
13,699,EB-5,India,1981,Uncapped,2019,2030
180,7082,EB-5,China,23585,Uncapped,2019,2030
0,2201,EB-5,ROW,0,Uncapped,2019,2030
155,11382,EB-1,India,16589,Uncapped,2020,2030
111,4766,EB-1,China,9141,Uncapped,2020,2030
0,32790,EB-1,ROW,0,Uncapped,2020,2030
5010,2599,EB-2,India,296757,Uncapped,2020,2030
1225,3118,EB-2,China,45989,Uncapped,2020,2030
558,36369,EB-2,ROW,20731,Uncapped,2020,2030
2443,2946,EB-3,India,120812,Uncapped,2020,2030
1139,2946,EB-3,China,29860,Uncapped,2020,2030
1267,36193,EB-3,ROW,34284,Uncapped,2020,2030
216,731,EB-4,India,4321,Uncapped,2020,2030
0,161,EB-4,China,0,Uncapped,2020,2030
8015,9556,EB-4,ROW,151779,Uncapped,2020,2030
10,731,EB-5,India,2005,Uncapped,2020,2030
222,1194,EB-5,China,24515,Uncapped,2020,2030
0,1671,EB-5,ROW,0,Uncapped,2020,2030
98,30825,EB-1,India,10768,Uncapped,2021,2030
117,9118,EB-1,China,8005,Uncapped,2021,2030
0,19088,EB-1,ROW,0,Uncapped,2021,2030
5503,28246,EB-2,India,316452,Uncapped,2021,2030
1298,6091,EB-2,China,50851,Uncapped,2021,2030
705,25404,EB-2,ROW,27855,Uncapped,2021,2030
3497,20818,EB-3,India,156282,Uncapped,2021,2030
1356,3914,EB-3,China,36485,Uncapped,2021,2030
1640,35173,EB-3,ROW,41354,Uncapped,2021,2030
185,972,EB-4,India,4344,Uncapped,2021,2030
0,84,EB-4,China,0,Uncapped,2021,2030
8561,12825,EB-4,ROW,165298,Uncapped,2021,2030
15,972,EB-5,India,2008,Uncapped,2021,2030
282,972,EB-5,China,25262,Uncapped,2021,2030
0,1005,EB-5,ROW,209,Uncapped,2021,2030
79,20290,EB-1,India,10386,Uncapped,2022,2030
85,11425,EB-1,China,6737,Uncapped,2022,2030
0,22422,EB-1,ROW,0,Uncapped,2022,2030
5473,59432,EB-2,India,329978,Uncapped,2022,2030
1303,8523,EB-2,China,54668,Uncapped,2022,2030
879,41355,EB-2,ROW,31896,Uncapped,2022,2030
3821,13919,EB-3,India,163096,Uncapped,2022,2030
1428,5510,EB-3,China,35901,Uncapped,2022,2030
1643,61946,EB-3,ROW,42584,Uncapped,2022,2030
207,1368,EB-4,India,5049,Uncapped,2022,2030
0,195,EB-4,China,0,Uncapped,2022,2030
9639,17980,EB-4,ROW,184515,Uncapped,2022,2030
12,1368,EB-5,India,1555,Uncapped,2022,2030
276,8555,EB-5,China,21766,Uncapped,2022,2030
0,962,EB-5,ROW,0,Uncapped,2022,2030
127,15214,EB-1,India,14803,Uncapped,2023,2030
106,9475,EB-1,China,9161,Uncapped,2023,2030
0,30775,EB-1,ROW,0,Uncapped,2023,2030
6018,3882,EB-2,India,361418,Uncapped,2023,2030
1639,3882,EB-2,China,63100,Uncapped,2023,2030
970,47699,EB-2,ROW,39802,Uncapped,2023,2030
4045,3882,EB-3,India,169858,Uncapped,2023,2030
1428,3882,EB-3,China,35839,Uncapped,2023,2030
2333,47699,EB-3,ROW,58797,Uncapped,2023,2030
221,964,EB-4,India,6007,Uncapped,2023,2030
0,216,EB-4,China,0,Uncapped,2023,2030
11891,12589,EB-4,ROW,232218,Uncapped,2023,2030
12,964,EB-5,India,1543,Uncapped,2023,2030
234,11232,EB-5,China,18168,Uncapped,2023,2030
0,1573,EB-5,ROW,0,Uncapped,2023,2030
178,12454,EB-1,India,18305,Uncapped,2024,2030
155,5834,EB-1,China,12547,Uncapped,2024,2030
0,29587,EB-1,ROW,0,Uncapped,2024,2030
6447,3351,EB-2,India,392559,Uncapped,2024,2030
1814,3351,EB-2,China,71495,Uncapped,2024,2030
1118,41173,EB-2,ROW,43852,Uncapped,2024,2030
4278,3351,EB-3,India,174024,Uncapped,2024,2030
1471,3351,EB-3,China,39766,Uncapped,2024,2030
2933,41172,EB-3,ROW,74215,Uncapped,2024,2030
298,832,EB-4,India,6858,Uncapped,2024,2030
0,278,EB-4,China,0,Uncapped,2024,2030
15142,10775,EB-4,ROW,295071,Uncapped,2024,2030
12,832,EB-5,India,2264,Uncapped,2024,2030
241,7133,EB-5,China,17799,Uncapped,2024,2030
0,3920,EB-5,ROW,0,Uncapped,2024,2030
0,5460,EB-1,India,0,Capped,2009,2030
0,4326,EB-1,China,0,Capped,2009,2030
0,29363,EB-1,ROW,0,Capped,2009,2030
