annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,seed
0,20304,EB-1,ROW,0,Capped,2011,2014
697,14130,EB-2,India,37750,Capped,2011,2014
230,8157,EB-2,China,8004,Capped,2011,2014
72,34262,EB-2,ROW,2955,Capped,2011,2014
2352,2789,EB-3,India,87880,Capped,2011,2014
1020,2789,EB-3,China,25703,Capped,2011,2014
2350,34262,EB-3,ROW,58666,Capped,2011,2014
7,93,EB-4,India,209,Capped,2011,2014
0,14,EB-4,China,12,Capped,2011,2014
245,6274,EB-4,ROW,4896,Capped,2011,2014
0,54,EB-5,India,0,Capped,2011,2014
0,2656,EB-5,China,0,Capped,2011,2014
0,1181,EB-5,ROW,0,Capped,2011,2014
0,8479,EB-1,India,0,Capped,2012,2014
0,5557,EB-1,China,0,Capped,2012,2014
0,20952,EB-1,ROW,0,Capped,2012,2014
939,12757,EB-2,India,53654,Capped,2012,2014
257,3486,EB-2,China,9661,Capped,2012,2014
81,35577,EB-2,ROW,3409,Capped,2012,2014
2416,2896,EB-3,India,88328,Capped,2012,2014
945,2896,EB-3,China,23607,Capped,2012,2014
1869,35577,EB-3,ROW,45384,Capped,2012,2014
13,390,EB-4,India,532,Capped,2012,2014
1,17,EB-4,China,22,Capped,2012,2014
592,7071,EB-4,ROW,11107,Capped,2012,2014
0,98,EB-5,India,0,Capped,2012,2014
0,7045,EB-5,China,0,Capped,2012,2014
0,1849,EB-5,ROW,0,Capped,2012,2014
0,11129,EB-1,India,0,Capped,2013,2014
0,6792,EB-1,China,0,Capped,2013,2014
0,23213,EB-1,ROW,0,Capped,2013,2014
1168,16533,EB-2,India,66252,Capped,2013,2014
322,3229,EB-2,China,10876,Capped,2013,2014
0,38690,EB-2,ROW,0,Capped,2013,2014
2401,3229,EB-3,India,87893,Capped,2013,2014
848,3229,EB-3,China,21437,Capped,2013,2014
1205,39665,EB-3,ROW,30192,Capped,2013,2014
47,301,EB-4,India,1304,Capped,2013,2014
3,23,EB-4,China,59,Capped,2013,2014
1320,6122,EB-4,ROW,24240,Capped,2013,2014
0,97,EB-5,India,0,Capped,2013,2014
0,7193,EB-5,China,0,Capped,2013,2014
0,1824,EB-5,ROW,0,Capped,2013,2014
1,15178,EB-1,India,114,Capped,2014,2014
2,7580,EB-1,China,75,Capped,2014,2014
0,22988,EB-1,ROW,0,Capped,2014,2014
1632,3030,EB-2,India,88378,Capped,2014,2014
344,3030,EB-2,China,12736,Capped,2014,2014
8,37229,EB-2,ROW,170,Capped,2014,2014
2010,3030,EB-3,India,88392,Capped,2014,2014
776,3030,EB-3,China,22984,Capped,2014,2014
687,37229,EB-3,ROW,17811,Capped,2014,2014
63,474,EB-4,India,1757,Capped,2014,2014
5,15,EB-4,China,94,Capped,2014,2014
1800,7800,EB-4,ROW,34822,Capped,2014,2014
0,347,EB-5,India,0,Capped,2014,2014
3,8032,EB-5,China,783,Capped,2014,2014
0,2367,EB-5,ROW,0,Capped,2014,2014
20,8935,EB-1,India,2481,Capped,2015,2014
17,5370,EB-1,China,1808,Capped,2015,2014
0,26865,EB-1,ROW,0,Capped,2015,2014
2165,2882,EB-2,India,116384,Capped,2015,2014
403,2882,EB-2,China,15899,Capped,2015,2014
72,35406,EB-2,ROW,2559,Capped,2015,2014
2071,2882,EB-3,India,91386,Capped,2015,2014
776,2882,EB-3,China,22044,Capped,2015,2014
352,35406,EB-3,ROW,10417,Capped,2015,2014
105,715,EB-4,India,2733,Capped,2015,2014
0,411,EB-4,China,0,Capped,2015,2014
2750,9095,EB-4,ROW,52679,Capped,2015,2014
1,715,EB-5,India,61,Capped,2015,2014
44,4801,EB-5,China,5330,Capped,2015,2014
0,4705,EB-5,ROW,0,Capped,2015,2014
63,8835,EB-1,India,6450,Capped,2016,2014
51,5278,EB-1,China,3856,Capped,2016,2014
35,26027,EB-1,ROW,1863,Capped,2016,2014
2853,2810,EB-2,India,159618,Capped,2016,2014
541,2810,EB-2,China,21215,Capped,2016,2014
225,34520,EB-2,ROW,9747,Capped,2016,2014
2259,2810,EB-3,India,97997,Capped,2016,2014
860,2810,EB-3,China,23152,Capped,2016,2014
490,34520,EB-3,ROW,11720,Capped,2016,2014
103,698,EB-4,India,3294,Capped,2016,2014
0,247,EB-4,China,0,Capped,2016,2014
4122,9020,EB-4,ROW,74737,Capped,2016,2014
0,698,EB-5,India,261,Capped,2016,2014
60,4874,EB-5,China,8751,Capped,2016,2014
0,4393,EB-5,ROW,0,Capped,2016,2014
90,11650,EB-1,India,10054,Capped,2017,2014
63,5868,EB-1,China,5846,Capped,2017,2014
74,22409,EB-1,ROW,6049,Capped,2017,2014
3424,2795,EB-2,India,195766,Capped,2017,2014
675,2795,EB-2,China,25190,Capped,2017,2014
311,34337,EB-2,ROW,12767,Capped,2017,2014
2332,2795,EB-3,India,102844,Capped,2017,2014
1011,2795,EB-3,China,25253,Capped,2017,2014
589,34336,EB-3,ROW,13967,Capped,2017,2014
129,694,EB-4,India,3572,Capped,2017,2014
0,133,EB-4,China,0,Capped,2017,2014
4707,9085,EB-4,ROW,87315,Capped,2017,2014
6,694,EB-5,India,835,Capped,2017,2014
121,2573,EB-5,China,15535,Capped,2017,2014
0,6645,EB-5,ROW,0,Capped,2017,2014
112,11848,EB-1,India,12594,Capped,2018,2014
96,6072,EB-1,China,7305,Capped,2018,2014
93,21972,EB-1,ROW,7856,Capped,2018,2014
3887,2792,EB-2,India,229519,Capped,2018,2014
799,2792,EB-2,China,30786,Capped,2018,2014
411,34308,EB-2,ROW,16072,Capped,2018,2014
2530,2792,EB-3,India,107225,Capped,2018,2014
1023,2792,EB-3,China,27018,Capped,2018,2014
730,34308,EB-3,ROW,19457,Capped,2018,2014
138,693,EB-4,India,3711,Capped,2018,2014
0,119,EB-4,China,0,Capped,2018,2014
4846,9092,EB-4,ROW,90923,Capped,2018,2014
10,693,EB-5,India,1822,Capped,2018,2014
185,1070,EB-5,China,24147,Capped,2018,2014
0,8140,EB-5,ROW,0,Capped,2018,2014
170,9690,EB-1,India,15224,Capped,2019,2014
105,4718,EB-1,China,8646,Capped,2019,2014
70,25800,EB-1,ROW,5812,Capped,2019,2014
4574,2814,EB-2,India,267062,Capped,2019,2014
941,2814,EB-2,China,38562,Capped,2019,2014
531,34579,EB-2,ROW,20007,Capped,2019,2014
2271,2814,EB-3,India,114811,Capped,2019,2014
1062,2814,EB-3,China,28417,Capped,2019,2014
1139,34579,EB-3,ROW,28638,Capped,2019,2014
160,699,EB-4,India,4004,Capped,2019,2014
0,219,EB-4,China,0,Capped,2019,2014
6053,9064,EB-4,ROW,114476,Capped,2019,2014
19,699,EB-5,India,1929,Capped,2019,2014
186,6930,EB-5,China,23478,Capped,2019,2014
0,2353,EB-5,ROW,0,Capped,2019,2014
157,10666,EB-1,India,16881,Capped,2020,2014
130,4766,EB-1,China,9123,Capped,2020,2014
0,33506,EB-1,ROW,0,Capped,2020,2014
4997,2599,EB-2,India,295939,Capped,2020,2014
1162,3118,EB-2,China,46152,Capped,2020,2014
572,36369,EB-2,ROW,21203,Capped,2020,2014
2473,2946,EB-3,India,120108,Capped,2020,2014
1126,2946,EB-3,China,30307,Capped,2020,2014
1371,36193,EB-3,ROW,34613,Capped,2020,2014
162,731,EB-4,India,4440,Capped,2020,2014
