year,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
2018,nationality,China,Uncapped,50,46.68,7.06656398333817,0.9993630624614083,44.671704736775915,48.688295263224084,35.0,60.87499999999999
2019,nationality,China,Uncapped,50,169.48,12.752334720212081,1.8034524713245232,165.8558265722867,173.10417342771328,142.675,191.55
2020,nationality,China,Uncapped,50,157.8,13.457415829806498,1.9031659981006728,153.97544473807054,161.6245552619295,137.0,181.0
2021,nationality,China,Uncapped,50,214.86,14.059654247207519,1.988335371867736,210.86429047358646,218.85570952641356,190.125,239.55
2022,nationality,China,Uncapped,50,173.58,13.079178030716749,1.8496750955731855,169.86293873120147,177.29706126879856,150.575,200.64999999999998
2023,nationality,China,Uncapped,50,224.62,18.1579127632657,2.567916649419787,219.4595782903141,229.7804217096859,195.225,256.55
2024,nationality,China,Uncapped,50,412.16,22.372869867820913,3.164001599628069,405.8017007351502,418.5182992648499,376.675,452.1
2025,nationality,China,Uncapped,50,509.38,25.291678069907434,3.5767834141637276,502.192184622322,516.567815377678,467.9,564.3
2026,nationality,China,Uncapped,50,478.58,27.119606583143675,3.8352915436104453,470.87269308678924,486.2873069132107,435.125,526.0
2027,nationality,China,Uncapped,50,507.9,25.875881134558412,3.6594022038846616,500.5461559483772,515.2538440516228,464.225,551.325
2028,nationality,China,Uncapped,50,599.96,28.433926272418063,4.021164416597029,591.8791675639814,608.0408324360187,549.9,655.0749999999999
2029,nationality,China,Uncapped,50,623.22,26.44384886617572,3.7397249707890095,615.7047413050286,630.7352586949714,583.0,670.65
2030,nationality,China,Uncapped,50,661.9,26.344073414748006,3.7256145911289122,654.4130971745799,669.3869028254201,604.25,705.0
2031,nationality,China,Uncapped,50,777.74,25.395492127701782,3.5914649390135027,770.5226809935406,784.9573190064594,732.225,822.325
2032,nationality,China,Uncapped,50,842.32,28.759694017843795,4.0672349329735065,834.1465853951095,850.4934146048906,783.625,886.0
2033,nationality,China,Uncapped,50,913.94,29.13684111574351,4.12057158705945,905.6594013758271,922.220598624173,866.9,970.325
