category,year,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-1,2014,Married,336,175,289,36125.0,30540.0,50.286505190311416,84.53979238754326,232.4463887971088,123.83829894543443
EB-1,2014,Unmarried,82,3,4,11041.0,309.0,1.784258672221719,2.7986595417081785,55.35945594060777,2.396060998950423
EB-1,2015,Married,452,235,389,50665.0,41933.0,51.42603375111023,82.76522254021513,314.88237584406505,161.80753436362843
EB-1,2015,Unmarried,105,8,10,12551.0,1354.0,8.17464743845112,10.787985021113855,65.1043537055658,4.687226160367613
EB-1,2016,Married,565,303,475,61149.0,51948.0,55.10474414953638,84.95314723053525,401.1068412462502,208.41777081065604
EB-1,2016,Unmarried,112,2,2,14065.0,372.0,2.6448631354425878,2.6448631354425878,76.700344644021,1.7008849557522123
EB-1,2017,Married,593,295,464,62123.0,48056.0,49.839833877951804,77.35621267485472,435.4225431948415,206.0675136830855
EB-1,2017,Unmarried,128,3,4,14683.0,482.0,2.2815500919430636,3.282707893482258,85.03244233335214,2.4876421430629754
EB-1,2018,Married,618,302,488,69305.0,50339.0,45.97503787605512,72.63400909025323,435.9982518071271,218.72160019854584
EB-1,2018,Unmarried,117,2,2,14950.0,194.0,1.2976588628762542,1.2976588628762542,80.33110421505349,1.9532904297280465
EB-1,2019,Married,650,304,469,67477.0,46048.0,45.24208248736606,68.24251226343792,459.27538978908,238.38408956271468
EB-1,2019,Unmarried,133,6,10,15333.0,1093.0,4.395747733646384,7.128415835126851,84.0871602503506,5.026511463220324
EB-1,2021,Married,604,286,461,61402.0,48231.0,48.43001856617048,78.54955864629817,418.5226007640896,193.76520422506664
EB-1,2021,Unmarried,148,4,6,18054.0,538.0,2.603301207488645,2.9799490417635983,81.03866621450003,2.0217829031667582
EB-1,2022,Married,560,226,368,56883.0,36435.0,39.45642810681574,64.05252887505934,370.3957815750839,150.8931182646246
EB-1,2022,Unmarried,132,2,2,16847.0,382.0,2.2674660176886094,2.2674660176886094,85.9538994172959,1.610035968841715
EB-1,2023,Married,653,267,432,70476.0,43332.0,38.77915886259152,61.484760769623705,397.83710619916866,170.1124899050149
EB-1,2023,Unmarried,160,9,12,21287.0,1186.0,3.988349696998168,5.571475548456805,96.27567115074294,5.932957996888659
EB-1,2024,Married,630,285,445,68783.0,47561.0,43.35664335664335,69.146446069523,415.621544654203,185.03950747771665
EB-1,2024,Unmarried,166,6,9,21597.0,1076.0,3.1208038153447237,4.982173450016206,115.30770961260964,3.822906673398973
EB-2,2014,Married,937,426,656,107085.0,71691.0,43.9407946958024,66.94775178596441,655.615664376749,297.4114461445218
EB-2,2014,Unmarried,287,8,9,35044.0,879.0,2.1886770916562037,2.508275311037553,196.40091131619172,5.6195038543467675
EB-2,2015,Married,1245,563,865,143266.0,100014.0,45.5404631943378,69.81000376921251,868.5470066127587,395.72350462779707
EB-2,2015,Unmarried,373,11,14,47615.0,1728.0,2.7197311771500576,3.629108474220309,247.0204716882148,6.699872556500617
EB-2,2016,Married,1509,688,1005,173891.0,111072.0,44.434732102293964,63.87449609237971,1061.0029423648289,479.57388530795544
EB-2,2016,Unmarried,414,4,4,51601.0,655.0,1.2693552450533905,1.2693552450533905,282.38673390788574,3.3071882829061474
EB-2,2017,Married,1692,795,1188,187185.0,128474.0,46.701391671341185,68.63477308545022,1152.6373565804174,513.9389810729336
EB-2,2017,Unmarried,450,11,14,51075.0,1614.0,2.5335291238374937,3.1600587371512483,303.8791378711231,8.342397640423687
EB-2,2018,Married,1728,797,1220,204981.0,133750.0,44.06798678901947,65.24994999536543,1192.9188372374492,575.3551462575284
EB-2,2018,Unmarried,519,6,9,64083.0,731.0,0.7896009862209946,1.140708144125587,362.4784961730676,5.484918594687232
EB-2,2019,Married,1687,727,1108,186156.0,119179.0,42.67012613077204,64.02103612024324,1117.08232316642,497.3057087916986
EB-2,2019,Unmarried,513,10,16,62257.0,1671.0,1.7218947266973994,2.684035530141189,331.35160577036925,8.578945010973916
EB-2,2021,Married,1480,658,1015,161846.0,111744.0,44.10180047699665,69.04341163822399,956.2320521550964,422.36360821432135
EB-2,2021,Unmarried,511,11,15,64257.0,1647.0,2.060475901458207,2.563144871375881,288.63487792743575,7.071074753537602
EB-2,2022,Married,1371,582,914,151588.0,96346.0,40.96564371850015,63.557801409082515,882.741793439023,399.4501546252661
EB-2,2022,Unmarried,522,8,12,65956.0,1871.0,2.0195281702953483,2.8367396446115594,335.98437147618307,4.902146283238655
EB-2,2023,Married,1510,641,1011,167729.0,106662.0,40.76456665215914,63.591865449624095,924.3419514731454,399.35180139546645
EB-2,2023,Unmarried,553,15,19,72171.0,2071.0,2.3181056102866804,2.8695736514666557,327.1422091225429,9.559020508529567
EB-2,2024,Married,1554,670,1051,185377.0,125035.0,42.68922250333105,67.44903628821267,973.0903482647361,410.369792830472
EB-2,2024,Unmarried,571,15,25,81125.0,2680.0,1.8526964560862866,3.3035439137134053,328.7751591392883,9.819600871111188
EB-3,2014,Married,603,253,368,72121.0,41488.0,40.37658934290983,57.525547344046814,411.951448555278,169.61598022794036
EB-3,2014,Unmarried,208,7,7,24735.0,728.0,2.9431978977157875,2.9431978977157875,138.32406983077226,4.940746541373009
EB-3,2015,Married,831,322,469,98938.0,57924.0,39.797651054195555,58.54575592795488,570.6882452559674,212.86004614466856
EB-3,2015,Unmarried,258,4,5,33842.0,455.0,1.0342178358253058,1.3444831865728977,181.11383841524258,3.7944492627927144
EB-3,2016,Married,899,359,500,108451.0,56503.0,38.121363565112354,52.10002674018681,630.5272106598893,252.94588883895148
