category,nationality,marital_group,children,sample_principals,weight
EB-5,China,Married,2,18,1497.0
EB-5,China,Married,4,1,84.0
EB-5,China,Unmarried,0,20,2059.0
EB-5,China,Unmarried,1,5,521.0
EB-5,China,Unmarried,2,2,133.0
EB-5,ROW,Married,0,1049,110027.0
EB-5,ROW,Married,1,529,52903.0
EB-5,ROW,Married,2,791,80467.0
EB-5,ROW,Married,3,208,19681.0
EB-5,ROW,Married,4,31,3586.0
EB-5,ROW,Married,5,3,227.0
EB-5,ROW,Married,6,1,80.0
EB-5,ROW,Unmarried,0,480,60275.0
EB-5,ROW,Unmarried,1,20,2956.0
EB-5,ROW,Unmarried,2,11,1377.0
EB-5,ROW,Unmarried,3,2,190.0
Other_EB4,All,Married,0,124,13012.0
Other_EB4,All,Married,1,68,7255.0
Other_EB4,All,Married,2,61,6404.0
Other_EB4,All,Married,3,22,2367.0
Other_EB4,All,Married,4,9,1471.0
Other_EB4,All,Married,5,1,84.0
Other_EB4,All,Unmarried,0,110,11548.0
Other_EB4,All,Unmarried,2,1,73.0
Other_EB4,India,Married,0,14,1435.0
Other_EB4,India,Married,1,7,1087.0
Other_EB4,India,Married,2,7,1417.0
Other_EB4,India,Married,3,1,115.0
Other_EB4,India,Married,4,1,283.0
Other_EB4,India,Unmarried,0,21,2973.0
Other_EB4,China,Married,0,5,593.0
Other_EB4,China,Married,1,4,211.0
Other_EB4,China,Married,2,3,307.0
Other_EB4,China,Married,4,1,88.0
Other_EB4,China,Unmarried,0,3,188.0
Other_EB4,ROW,Married,0,105,10984.0
Other_EB4,ROW,Married,1,57,5957.0
Other_EB4,ROW,Married,2,51,4680.0
Other_EB4,ROW,Married,3,21,2252.0
Other_EB4,ROW,Married,4,7,1100.0
Other_EB4,ROW,Married,5,1,84.0
Other_EB4,ROW,Unmarried,0,86,8387.0
Other_EB4,ROW,Unmarried,2,1,73.0
Unique proxy union (not EB mix),All,Married,0,10030,1171143.0
Unique proxy union (not EB mix),All,Married,1,4358,499536.0
Unique proxy union (not EB mix),All,Married,2,2959,329491.0
Unique proxy union (not EB mix),All,Married,3,499,49130.0
Unique proxy union (not EB mix),All,Married,4,79,9366.0
Unique proxy union (not EB mix),All,Married,5,9,786.0
Unique proxy union (not EB mix),All,Married,6,3,277.0
Unique proxy union (not EB mix),All,Unmarried,0,5849,747191.0
Unique proxy union (not EB mix),All,Unmarried,1,101,13383.0
Unique proxy union (not EB mix),All,Unmarried,2,37,4186.0
Unique proxy union (not EB mix),All,Unmarried,3,9,1059.0
Unique proxy union (not EB mix),All,Unmarried,4,2,218.0
Unique proxy union (not EB mix),India,Married,0,4474,556735.0
Unique proxy union (not EB mix),India,Married,1,2354,293492.0
Unique proxy union (not EB mix),India,Married,2,960,119454.0
Unique proxy union (not EB mix),India,Married,3,26,2473.0
Unique proxy union (not EB mix),India,Married,4,2,371.0
Unique proxy union (not EB mix),India,Married,5,1,84.0
Unique proxy union (not EB mix),India,Unmarried,0,1529,214034.0
Unique proxy union (not EB mix),India,Unmarried,1,14,1845.0
Unique proxy union (not EB mix),India,Unmarried,2,2,99.0
Unique proxy union (not EB mix),China,Married,0,708,75590.0
Unique proxy union (not EB mix),China,Married,1,283,26719.0
Unique proxy union (not EB mix),China,Married,2,67,6419.0
Unique proxy union (not EB mix),China,Married,3,3,251.0
Unique proxy union (not EB mix),China,Married,4,3,284.0
Unique proxy union (not EB mix),China,Unmarried,0,690,84193.0
