category,nationality,definition,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-1,All,original,All,6944,2723,4341,764796.0,451409.0,37.36630421707226,59.02345200550212,4646.431025735814,1876.2298710470952
EB-1,All,original,Married,5661,2678,4280,604388.0,444423.0,46.427625962130286,73.53273062999266,3865.6917552667815,1847.8527801828284
EB-1,All,original,Unmarried,1283,45,61,160408.0,6986.0,3.2249015011720115,4.355144381826343,819.7031600018579,29.17844256923629
EB-1,All,own_unmarried,All,6944,2716,4327,764796.0,450009.0,37.29386659972071,58.84039665479422,4646.431025735814,1871.0966611961637
EB-1,All,own_unmarried,Married,5661,2672,4267,604388.0,443135.0,46.354494132908,73.31962249415938,3865.6917552667815,1843.6413543067456
EB-1,All,own_unmarried,Unmarried,1283,44,60,160408.0,6874.0,3.1550795471547555,4.285322427809087,819.7031600018579,28.315939414240372
EB-1,India,original,All,2233,887,1225,265758.0,142191.0,38.744271103786154,53.50393967444066,1494.2932154688988,599.684894181211
EB-1,India,original,Married,2005,879,1216,233650.0,141339.0,43.72523004493901,60.49176118125401,1352.9672315314447,594.6648036939185
EB-1,India,original,Unmarried,228,8,9,32108.0,852.0,2.49781985797932,2.6535442880279057,149.09319231437826,5.0485385074251985
EB-1,India,own_unmarried,All,2233,885,1223,265758.0,141995.0,38.67051979620557,53.43018836686007,1494.2932154688988,598.073359293307
EB-1,India,own_unmarried,Married,2005,877,1214,233650.0,141143.0,43.64134389043441,60.40787502674941,1352.9672315314447,593.0538243871666
EB-1,India,own_unmarried,Unmarried,228,8,9,32108.0,852.0,2.49781985797932,2.6535442880279057,149.09319231437826,5.0485385074251985
EB-1,China,original,All,595,167,197,61699.0,19172.0,26.465582910582018,31.073437170780725,413.7424161321396,131.14227346972703
EB-1,China,original,Married,475,162,192,46936.0,18611.0,33.59468212033407,39.651866371228905,336.5990229866441,127.07783836165919
EB-1,China,original,Unmarried,120,5,5,14763.0,561.0,3.8000406421459054,3.8000406421459054,82.05900332421048,4.105038673744897
EB-1,China,own_unmarried,All,595,166,194,61699.0,18822.0,26.284056467689915,30.506167036742898,413.7424161321396,130.15243643223752
EB-1,China,own_unmarried,Married,475,162,190,46936.0,18373.0,33.59468212033407,39.14479290949378,336.5990229866441,127.07783836165919
EB-1,China,own_unmarried,Unmarried,120,4,4,14763.0,449.0,3.0413872519135676,3.0413872519135676,82.05900332421048,3.143973301311542
EB-1,ROW,original,All,4116,1669,2919,437339.0,290046.0,38.066808585559485,66.32063456494848,2755.2378388516604,1163.790795764942
EB-1,ROW,original,Married,3181,1637,2872,323802.0,284473.0,50.2377996429917,87.8539971958172,2202.7236800032406,1145.4272644702755
EB-1,ROW,original,Unmarried,935,32,47,113537.0,5573.0,3.3557342540317254,4.908532020398637,590.7802855520077,20.357987327534705
EB-1,ROW,own_unmarried,All,4116,1665,2910,437339.0,289192.0,38.010559314399124,66.12536270490398,2755.2378388516604,1161.1983979001839
EB-1,ROW,own_unmarried,Married,3181,1633,2863,323802.0,283619.0,50.16182728951643,87.59025577359003,2202.7236800032406,1142.8222181291098
EB-1,ROW,own_unmarried,Unmarried,935,32,47,113537.0,5573.0,3.3557342540317254,4.908532020398637,590.7802855520077,20.357987327534705
EB-2,All,original,All,19426,6646,10170,2264288.0,1119514.0,32.64403644766037,49.442208764962764,12656.051797320744,4439.281301064471
EB-2,All,original,Married,14713,6547,10033,1669104.0,1103967.0,43.600278952060506,66.14129497023552,9760.071535821144,4374.194234040144
EB-2,All,original,Unmarried,4713,99,137,595184.0,15547.0,1.9189023898491895,2.612133390682545,2960.33866026163,65.26011440098581
EB-2,All,own_unmarried,All,19426,6634,10146,2264288.0,1117086.0,32.597575926737235,49.334978589296064,12656.051797320744,4430.631951445125
EB-2,All,own_unmarried,Married,14713,6536,10010,1669104.0,1101651.0,43.54396131097882,66.00253788859172,9760.071535821144,4366.434139096832
EB-2,All,own_unmarried,Unmarried,4713,98,136,595184.0,15435.0,1.9000846796956907,2.5933156805290465,2960.33866026163,64.39055238229497
EB-2,India,original,All,7739,2839,3742,970096.0,458774.0,35.96932674704359,47.291608253203805,5098.447962391833,1898.7382668297912
EB-2,India,original,Married,6502,2827,3728,800073.0,457445.0,43.45940932889874,57.175407744043355,4337.155691603112,1891.2214612121074
EB-2,India,original,Unmarried,1237,12,14,170023.0,1329.0,0.7234315357334008,0.7816589520241379,781.423155592161,7.632890700678075
